battle,combatant,description,strength,ships,guns,commanders,cavalry_regiments,strength_other,brigades,regiments,cavalry_brigades,companies,corps,divisions,armies,artillery_batteries,cavalry_divisions,cavalry_corps,artillery_regiments,artillery_sections,cavalry_companies,artillery_companies,infantry_regiments
VA058,US,,,,,,,,,,,,,,,,,,,,,,
VA058,CS,,,,,,,,,,,,,,,,,,,,,,
VA105,US,,,,,,,,,,,,,,,,,,,,,,
VA105,CS,,,,,,,,,,,,,,,,,,,,,,
GA001,US,,,,,,,,,,,,,,,,,,,,,,
GA001,CS,,,,,,,,,,,,,,,,,,,,,,
TN002,US,,,,,,,,,,,,,,,,,,,,,,
TN002,CS,,,,,,,,,,,,,,,,,,,,,,
AR004,US,,,,,,,,,,,,,,,,,,,,,,
AR004,CS,,,,,,,,,,,,,,,,,,,,,,
AR015,US,,,,,,,,,,,,,,,,,,,,,,
AR015,CS,,,,,,,,,,,,,,,,,,,,,,
MS009,US,,,,,,,,,,,,,,,,,,,,,,
MS009,CS,,,,,,,,,,,,,,,,,,,,,,
TN001,US,,,,,,,,,,,,,,,,,,,,,,
TN001,CS,,,,,,,,,,,,,,,,,,,,,,
VA078,US,,,,,,,,,,,,,,,,,,,,,,
VA078,CS,,,,,,,,,,,,,,,,,,,,,,
TN006,US,,,,,,,,,,,,,,,,,,,,,,
TN006,CS,,,,,,,,,,,,,,,,,,,,,,
OK003,US,,,,,,,,,,,,,,,,,,,,,,
OK003,CS,,,,,,,,,,,,,,,,,,,,,,
TN029,US,,,,,,,,,,,,,,,,,,,,,,
TN029,CS,,,,,,,,,,,,,,,,,,,,,,
MS004,US,,,,,,,,,,,,,,,,,,,,,,
MS004,CS,,,,,,,,,,,,,,,,,,,,,,
NC001,US,,,,,,,,,,,,,,,,,,,,,,
NC001,CS,,,,,,,,,,,,,,,,,,,,,,
VA084,US,,,,,,,,,,,,,,,,,,,,,,
VA084,CS,,,,,,,,,,,,,,,,,,,,,,
MS010,US,,,,,,,,,,,,,,,,,,,,,,
MS010,CS,,,,,,,,,,,,,,,,,,,,,,
VA031,US,,45000,,,,,,,,,,,,,,,,,,,,
