battle,belligerent,description,commanders,strength,regiments,companies,brigades,divisions,corps,armies,cavalry_regiments,cavalry_brigades,cavalry_divisions,cavalry_corps,cavalry_companies,artillery_batteries,artillery_companies,artillery_regiments,artillery_sections,infantry_regiments,strength_other,ships,guns
AL001,CS,"Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana","[{'fullname': 'Nathan Bedford Forrest', 'last_name': 'Forrest', 'first_name': 'Nathan', 'middle_name': 'Bedford', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,1,,,,,,,,,
AL001,US,"Elements of the 51st Indiana Infantry, 73rd Indiana Infantry, 3rd Ohio Infantry, 80th Illinois Infantry, and the 1st Middle Tennessee Cavalry (5th Tennessee Volunteer Cavalry Regiment)","[{'fullname': 'Abel Streight', 'last_name': 'Streight', 'first_name': 'Abel', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,4,,,,,,1,,,,,,,,,,,,
AL002,CS,"Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana","[{'fullname': 'Nathan Bedford Forrest', 'last_name': 'Forrest', 'first_name': 'Nathan', 'middle_name': 'Bedford', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,1,,,,,,,,,
AL002,US,"110th USCT, 102th Ohio Infantry (detachment), 18th Michigan Infantry (detachment), 111th USCT, 4th Cavalry Division","[{'fullname': 'Wallace Campbell', 'last_name': 'Campbell', 'first_name': 'Wallace', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}, {'fullname': 'Jonas Elliott', 'last_name': 'Elliott', 'first_name': 'Jonas', 'middle_name': '', 'rank': 'Lieutenant Colonel', 'suffix': ''}, {'fullname': 'W. H. Lathrop', 'last_name': 'Lathrop', 'first_name': 'W.', 'middle_name': 'H.', 'rank': 'Colonel', 'suffix': ''}, {'fullname': 'George Spalding', 'last_name': 'Spalding', 'first_name': 'George', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,4,,,,,,,,1,,,,,,,,,,
AL003,CS,"Buchanan’s Flotilla (CSS Tennessee, gunboats Selma, Morgan and Gaines), Fort Morgan garrison, Fort Gaines garrison, and Fort Powell garrison","[{'fullname': 'Franklin Buchanan', 'last_name': 'Buchanan', 'first_name': 'Franklin', 'middle_name': '', 'rank': 'Admiral', 'suffix': ''}, {'fullname': 'Dabney H. Maury', 'last_name': 'Maury', 'first_name': 'Dabney', 'middle_name': 'H.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,3,
AL003,US,West Gulf Blockading Squadron and U.S. Army forces near Mobile,"[{'fullname': 'David G. Farragut', 'last_name': 'Farragut', 'first_name': 'David', 'middle_name': 'G.', 'rank': 'Rear Admiral', 'suffix': ''}, {'fullname': 'Gordon Granger', 'last_name': 'Granger', 'first_name': 'Gordon', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
AL004,CS,Army of Tennessee,"[{'fullname': 'John Bell Hood', 'last_name': 'Hood', 'first_name': 'John', 'middle_name': 'Bell', 'rank': 'General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
AL004,US,"Garrison at Decatur; US Army Gunboat Stone River, USS General Thomas; detachments of 102 Ohio Infantry, 18th Michigan Infantry, 13th Wisconsin Infantry, 14th US Colored Infantry, 73rd Indiana Infantry, 68th Indiana Infantry, and 13th Indiana Cavalry","[{'fullname': 'Robert S. Granger', 'last_name': 'Granger', 'first_name': 'Robert', 'middle_name': 'S.', 'rank': 'Brigadier General', 'suffix': ''}]",,7,,,,,,,,,,,,,,,,,2,
AL005,CS,Spanish Fort garrison,"[{'fullname': 'Randall L. Gibson', 'last_name': 'Gibson', 'first_name': 'Randall', 'middle_name': 'L.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
AL005,US,Army of West Mississippi,"[{'fullname': 'E.R.S. Canby', 'last_name': 'Canby', 'first_name': 'E.R.S.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
AL006,CS,"Fort Blakely Garrison, CSS Huntsville, CSS Nashville, CSS Morgan",[],,,,,,,,,,,,,,,,,,,3,
AL006,US,Army of West Mississippi,"[{'fullname': 'E.R.S. Canby', 'last_name': 'Canby', 'first_name': 'E.R.S.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
AL007,CS,"Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana; General Daniel W. Adams' state reserves; citizens of Selma who volunteered to man the defenses","[{'fullname': 'Nathan B. Forrest', 'last_name': 'Forrest', 'first_name': 'Nathan', 'middle_name': 'B.', 'rank': 'Lieutenant General', 'suffix': ''}]",,,,,,,,,,,1,,,,,,,,,
AL007,US,"Cavalry Corps, Military Division of the Mississippi","[{'fullname': 'James H. Wilson', 'last_name': 'Wilson', 'first_name': 'James', 'middle_name': 'H.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,1,,,,,,,,,
AR001,CS,Army of the West,"[{'fullname': 'Earl Van Dorn', 'last_name': 'Van Dorn', 'first_name': 'Earl', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
AR001,US,Army of the Southwest,"[{'fullname': 'Samuel R. Curtis', 'last_name': 'Curtis', 'first_name': 'Samuel', 'middle_name': 'R.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
