battle,state,location
LA007,LA,St. Mary Parish
VA097,VA,Appomattox County
VA102,VA,Highland County
VA102,VA,Augusta County
VA015,VA,Henrico County
AR008,AR,Phillips County
LA003,LA,East Baton Rouge Parish
LA003,LA,West Baton Rouge Parish
VA116,VA,Frederick County
VA116,VA,City of Winchester
MO018,MO,Greene County
NC002,NC,Dare County
ND001,ND,Kidder County
DC001,DC,District of Columbia
SC009,SC,Charleston County
VA121,VA,Shenandoah County
LA009,LA,East Baton Rouge Parish
GA022,GA,Clayton County
ND004,ND,Dickey County
MO003,MO,Clay County
MO003,MO,Jackson County
FL003,FL,Duval County
VA091,VA,Amelia County
VA027,VA,Fairfax County
MO008,MO,Greene County
GA009,GA,Gordon County
GA009,GA,Bartow County
KS003,KS,Linn County
TN002,TN,Stewart County
TN026,TN,Grainger County
OH001,OH,Meigs County
VA075,VA,Henrico County
VA115,VA,Frederick County County
VA115,VA,City of Winchester
SC001,SC,City of Charleston
KY009,KY,Boyle County
NC005,NC,Camden County
VA029,VA,Culpeper County
VA029,VA,Fauquier Counties
VA026,VA,Prince William County
VA070,VA,City of Petersburg
KS002,KS,Cherokee County
WV008,WV,Pocahontas County
WV008,WV,Randolph County
AL006,AL,Baldwin County
KY006,KY,Pulaski County
KY006,KY,Wayne County
VA008,VA,City of Hampton
VA039,VA,Fauquier County
AL004,AL,Lawrence County
AL004,AL,Limestone County
AL004,AL,Morgan County
TX006,TX,Jefferson County
MS004,MS,Claiborne County
MS004,LA,Tensas Parish
AR014,AR,Ouachita County
VA108,VA,Warren County
TN033,TN,Hamblen County County
TN033,TN,Greene County
MO015,MO,Jackson County
MO015,MO,Johnson County
MO015,MO,Lafayette County
MO004,MO,Greene County
MO004,MO,Christian County
VA082,VA,Smyth County
VA082,VA,Washington County
VA056,VA,Charles City County
VA056,VA,Prince George County
NC001,NC,Dare County
NC001,NC,Hyde County
VA017,VA,Hanover County
VA036,VA,Loudoun County
MD003,MD,Washington County
MD003,WV,Jefferson County
MO002,MO,Jasper County
MD004,MD,Washington County
MD004,WV,Berkeley County
MD004,PA,Franklin County
LA011,LA,Madison Parish
LA011,MS,Warren County
VA010,VA,York County
VA010,VA,City of Williamsburg
KY004,KY,Hart County
VA086,VA,Dinwiddie County
AR017,AR,Chicot County
GA005,GA,Catoosa County
TN019,TN,Sullivan County
MO025,MO,Jackson County
VA125,VA,King County
VA125,VA,Queen County
GA023,GA,Bartow County
GA023,GA,Cobb County
TX001,TX,Jefferson County
FL002,FL,City of Tampa
VA119,VA,Frederick County
VA119,VA,Clarke County
KS004,KS,Linn County
GA007,GA,Whitfield County
GA007,GA,Catoosa County
GA007,GA,Walker County
GA007,GA,Gordon County
VA071,VA,Henrico County
VA110,VA,Shenandoah County
VA110,VA,Rockingham County
GA014,GA,Cobb County
MO005,MO,Vernon County
TN025,TN,Knox County
VA022,VA,Culpeper County
LA013,LA,Ascension Parish
MS015,MS,Lee County
TN027,TN,Jefferson County
VA076,VA,Smyth County
VA076,VA,Washington County
WV010,WV,Jefferson County
WV010,MD,Washington County
WV010,VA,Loudoun County
VA007,VA,Fairfax County
AR013,AR,Nevada County
TN031,TN,Shelby County
ND005,ND,Dunn County
VA078,VA,Henrico County
WV009,WV,Mercer County
NC017,NC,Lenoir County
NC017,NC,Craven County
NC017,NC,Jones County
MS005,MS,Warren County
MD007,MD,Frederick County
MO027,MO,Jackson County
TN007,TN,Hardeman County
TN007,TN,McNairy County
TN007,MS,Alcorn County
VA025,VA,Fauquier County
VA025,VA,Prince William County
MS011,MS,Warren County
SC003,SC,City of Charleston
TN020,TN,Greene County
VA031,VA,City of Suffolk
GA011,GA,Paulding County
SC011,SC,Bamberg County
FL005,FL,Baker County
MS012,MS,Lauderdale County
VA034,VA,City of Fredericksburg
LA018,LA,DeSoto Parish
VA080,VA,Henrico County
MO026,MO,Jackson County
MO029,MO,Newton County
GA016,GA,Fulton County
MO012,MO,New Madrid County
MO012,TN,Lake County
MO012,KY,Fulton County
MO024,MO,Jackson County
VA067,VA,Sussex County
VA113,VA,Halifax County
VA113,VA,Charlotte County
AR001,AR,Benton County
VA045,VA,Orange County
VA045,VA,Culpeper County
TN037,TN,Rutherford County
VA089,VA,City of Petersburg
VA085,VA,Dinwiddie County
MS007,MS,Hinds County
NC009,NC,Wayne County
VA038,VA,Loudoun County
VA012,VA,Chesterfield County
VA079,VA,Dinwiddie County
LA017,LA,Avoyelles Parish
VA081,VA,Smyth County
NC018,NC,Cumberland County
NC018,NC,Hoke County
NC018,NC,Moore County
VA104,VA,Frederick County
VA104,VA,City of Winchester
GA028,GA,Bryan County
GA028,GA,Chatham County
VA072,VA,Dinwiddie County
LA004,LA,Ascension Parish
OK001,OK,Not determined
MO028,MO,Vernon County
MO028,KS,Bourbon County
TN036,TN,Williamson County
TN036,TN,City of Franklin
VA087,VA,Dinwiddie County
LA010,LA,East Baton Rouge Parish
LA010,LA,East Feliciana Parish
NC016,NC,New Hanover County
NC016,NC,Brunswick County
TN003,TN,Hardin County
AR002,AR,Arkansas County
GA013,GA,Cobb County
GA013,GA,Fulton County
GA013,GA,Paulding County
OK004,OK,Delaware County
OK004,AR,Benton County
VA064,VA,City of Lynchburg
TX003,TX,Galveston County
NC011,NC,Beaufort County
NC011,NC,Craven County
FL006,FL,Leon County
FL006,FL,Wakulla County
NM001,NM,Socorro County
AL002,AL,Limestone County
AL002,AL,Morgan County
AL002,TN,Giles County
TN009,TN,Madison County
WV013,WV,Hardy County
WV013,WV,Hampshire County
WV013,WV,Mineral County
SC002,SC,City of Charleston
VA016,VA,Hanover County
VA122,VA,Frederick County
VA122,VA,Shenandoah County
VA122,VA,Warren County
KY007,KY,Madison County
AR005,AR,Washington County
VA103,VA,Warren County
SC008,SC,City of Charleston
VA043,VA,Fauquier County
VA043,VA,Culpeper County
TN018,TN,Hamilton County
TN018,TN,City of Chattanooga
LA020,LA,Red River Parish
LA020,LA,Natchitoches Parish
WV015,WV,Jefferson County
WV015,WV,Berkeley County
GA008,GA,Gordon County
GA008,GA,Whitfield County
WV003,WV,Randolph County
OK005,OK,
NC019,NC,Harnett County
NC019,NC,Cumberland County
VA013,VA,Hanover County
VA052,VA,Henrico County
KY003,KY,Floyd County
VA020,VA,Henrico County
TN021,TN,Hamilton County
TN021,TN,Marion County
TN021,TN,Dade County
TN012,TN,Stewart County
VA033,VA,Spotsylvania County
VA033,VA,Stafford County
LA023,LA,Avoyelles Parish
LA023,LA,Point Coupee Parish
TN017,TN,Bedford County
TN017,TN,Rutherford County
KS001,KS,Douglas County
FL004,FL,City of Tampa
AR004,AR,Washington County
MO007,MO,Madison County
