number,name,start_date,end_date,campaign,url
1,First Kernstown,1862-03-23,1862-03-23,Jackson's Valley Campaign,http://www.nps.gov/abpp/shenandoah/svs3-1.html
2,McDowell,1862-05-08,1862-05-08,Jackson's Valley Campaign,http://www.nps.gov/abpp/shenandoah/svs3-2.html
3,Front Royal,1862-05-23,1862-05-23,Jackson's Valley Campaign,http://www.nps.gov/abpp/shenandoah/svs3-3.html
4,First Winchester,1862-05-25,1862-05-25,Jackson's Valley Campaign,http://www.nps.gov/abpp/shenandoah/svs3-4.html
5,Cross Keys,1862-06-08,1862-06-08,Jackson's Valley Campaign,http://www.nps.gov/abpp/shenandoah/svs3-5.html
6,Port Republic,1862-06-09,1862-06-09,Jackson's Valley Campaign,http://www.nps.gov/abpp/shenandoah/svs3-6.html
7,Second Winchester,1863-06-13,1863-06-15,Gettysburg Campaign,http://www.nps.gov/abpp/shenandoah/svs3-7.html
8,New Market,1864-05-15,1864-05-15,Lynchburg Campaign,http://www.nps.gov/abpp/shenandoah/svs3-8.html
9,Piedmont,1864-06-05,1864-06-05,Lynchburg Campaign,http://www.nps.gov/abpp/shenandoah/svs3-9.html
10,Cool Spring,1864-07-18,1864-07-18,Early's Maryland Campaign,http://www.nps.gov/abpp/shenandoah/svs3-10.html
11,Second Kernstown,1864-07-24,1864-07-24,Early's Maryland Campaign,http://www.nps.gov/abpp/shenandoah/svs3-11.html
12,Opequon or Third Winchester,1864-09-19,1864-09-19,Sheridan's Valley Campaign,http://www.nps.gov/abpp/shenandoah/svs3-12.html
13,Fisher's Hill,1864-09-21,1864-09-22,Sheridan's Valley Campaign,http://www.nps.gov/abpp/shenandoah/svs3-13.html
14,Tom's Brook,1864-10-09,1864-10-09,Sheridan's Valley Campaign,http://www.nps.gov/abpp/shenandoah/svs3-14.html
15,Cedar Creek,1864-10-19,1864-10-19,Sheridan's Valley Campaign,http://www.nps.gov/abpp/shenandoah/svs3-15.html
