number,belligerent,rank,name
1,Confederate,Maj. Gen.,Thomas J. Jackson
1,Union,Col.,Nathan Kimball
2,Confederate,Maj. Gen.,Thomas J. Jackson
2,Union,Brig. Gen.,Edward Johnson
3,Confederate,Maj. Gen.,Thomas J. Jackson
3,Union,Col. ,J. R. Kenly
4,Confederate,Maj. Gen.,Thomas J. Jackson
4,Union,Maj. Gen.,Nathaniel Banks
5,Confederate,Maj. Gen.,Thomas J. Jackson
5,Confederate,Brig. Gen.,Richard Ewell
5,Confederate,Brig. Gen.,Isaac Trimble
5,Union,Maj. Gen.,John C. Fremont
6,Confederate,Maj. Gen.,Thomas J. Jackson
6,Union,Brig. Gen.,E. B. Taylor
7,Confederate,Lt. Gen.,Richard S. Ewell
7,Union,Maj. Gen.,Robert H. Milroy
8,Confederate,Maj. Gen.,John C. Breckinridge
8,Union,Maj. Gen.,Franz Sigel
9,Confederate,Brig. Gen.,William E. “Grumble” Jones
9,Union,Maj. Gen.,David Hunter
10,Confederate,Lt. Gen.,Jubal Early
10,Confederate,Maj. Gen.,Robert E. Rodes
10,Union,Maj. Gen.,Horatio Wright
10,Union,Brig. Gen.,George Crook
10,Union,Col. ,Joseph Thoburn
11,Confederate,Lt. Gen.,Jubal Early
11,Union,Brig. Gen.,George Crook
12,Confederate,Lt. Gen.,Jubal Early
12,Union,Maj. Gen.,Philip Sheridan
13,Confederate,Lt. Gen.,Jubal A. Early
13,Union,Maj. Gen.,Philip Sheridan
14,Confederate,Maj. Gen.,Thomas Rosser
14,Confederate,Maj. Gen.,Lunsford Lomax
14,Union,Brig. Gen.,Alfred Torbert
15,Confederate,Lt. Gen.,Jubal A. Early
15,Union,Maj. Gen.,Philip Sheridan
15,Union,Maj. Gen.,Horatio Wright
