battle,start_date,end_date,battle_name,state,us_killed,us_wounded,us_missing,us_losses,cs_losses,page
2262,1861-07-21,1861-07-21,"Bull Run, Va",VA,481,1011,1460,2952,1752,213
2263,1861-08-10,1861-08-10,"Wilson's Creek, Va",VA,223,721,291,1235,1095,213
2264,1861-09-12,1861-09-20,"Lexington, Mo",MO,42,108,1624,1774,100,213
2265,1861-10-21,1861-10-21,"Ball's Bluff, Va",VA,223,226,445,894,302,213
2266,1861-11-7,1861-11-7,"Belmont, Mo",MO,90,173,235,498,966,213
2267,1862-2-14,1862-2-16,"Fort Donelson, Tenn",TN,446,1735,150,2331,15067,213
2268,1862-3-6,1862-3-8,"Pea Ridge, Ark",AR,203,972,174,1349,5200,213
2269,1862-3-14,1862-3-14,"Newbern, N.C.",NC,91,466,0,557,583,213
2270,1862-3-23,1862-3-23,"Winchester, Tenn",TN,103,440,24,567,691,213
2271,1862-4-6,1862-4-7,"Shiloh, Tenn",TN,1735,7882,3956,13573,10699,213
2272,1862-5-5,1862-5-5,"Williamsburg, Va",VA,456,1400,372,2228,1000,213
2273,1862-5-23,1862-5-23,"Front Royal, Va",VA,32,122,750,904,,213
2274,1862-5-25,1862-5-25,"Winchester, Va",VA,38,155,711,904,,213
2275,1862-5-31,1862-6-1,"Seven Pines and Fair Oaks, Va",VA,890,3627,1222,5739,7997,213
2276,1862-6-8,1862-6-8,"Cross Keys, Va",VA,125,500,0,625,287,213
2277,1862-6-09,1862-6-09,"Fort Republic, Va",VA,67,361,574,1002,657,214
2278,1862-6-16,1862-6-16,"Secessionville, James Island, S.C.",SC,85,472,128,685,204,214
2279,1862-6-25,1862-6-25,"Oak Grove, Va",VA,51,401,64,516,541,214
2280,1862-6-26,1862-7-1,"Seven Day's retreat; includes Mechanicsville, Gaines' Mills, Chickahominy, Peach Orchard, Savage Station, Charles City Cross Roads, and Malvern Hill",VA,1582,7709,5958,15249,17583,214
2281,1862-7-13,1862-7-13,"Murfreesboro, Tenn",TN,33,62,800,895,150,214
2282,1862-8-8,1862-8-8,"Cedar Mountain, Va",VA,450,660,290,1400,1367,214
2283,1862-7-20,1862-9-20,Guerilla campaign in Missouri; includes with Porter's and Poindexter's Guerillas,MO,77,156,347,580,2866,214
2284,1862-8-28,1862-8-29,"Groveton and Gainesville, Va",VA,,,,7000,7000,214
2285,1862-8-30,1862-8-30,"Bull Run, Va (2d)",VA,800,4000,3000,7800,3700,214
2286,1862-8-30,1862-8-30,"Richmond, Ky",KY,200,700,4000,4900,750,214
2287,1862-9-1,1862-9-1,"Chantilly, Va",VA,,,,1300,800,214
2288,1862-9-12,1862-9-15,"Harper's Ferry, Va",VA,80,120,11583,11783,500,214
2289,1862-9-14,,"Turner's and Crampton's Gaps, South Mountain, Md",MD,443,1806,76,2325,4343,214
2290,1862-9-14,1862-9-16,"Mumfordsville, Ky",KY,50,0,3566,3616,714,214
2291,1862-9-17,,"Antietam, Md",MD,2010,9416,1043,12469,25899,214
2292,1862-9-19,1862-9-20,"Iuka, Miss",MS,144,598,40,782,1516,214
2293,1862-10-3,1862-10-4,"Corith, Miss",MS,315,1812,232,2359,14221,214
2294,1862-10-5,,"Big Hatchie River, Miss",MS,,,,500,400,214
2295,1862-10-8,,"Perryville, Ky",KY,916,2943,489,4348,7000,214
2296,1862-12-7,,"Prarie Grove, Ark",AR,167,798,183,1148,1500,214
2297,1862-12-7,,"Hartsville, Tenn",TN,55,0,1800,1855,149,215
2298,1862-12-12,1862-12-18,"Foster's expedition to Goldsboro, N.C.",NC,90,478,9,577,789,215
2299,1862-12-13,,"Fredericksburg, Va",VA,1180,9028,2145,12353,4576,215
2300,1862-12-20,,"Holly Springs, Miss",MS,0,0,1000,1000,,215
2301,1862-12-27,,"Elizabethtown, Ky",KY,0,0,500,500,,215
2302,1862-12-28,1862-12-29,"Chickasaw Bayou, Vicksburg, Miss",MS,191,982,756,1929,207,215
2303,1862-12-31,1863-1-2,"Stone's River, Tenn",TN,1533,7245,2800,11578,25560,215
2304,1863-1-1,,"Galveston, Texas",TX,0,0,600,600,50,215
2305,1863-1-11,,"Fort Hindman, Arkansas Post, Ark",AR,129,831,17,977,5500,215
2306,1863-3-4,1863-3-5,"Thompson's Station, Tenn",TN,100,300,1306,1706,600,215
2307,1863-4-27,1863-5-3,"Streight's raid from Tuscumbia, Ala., to Rome, Ga.",AL,12,69,1466,1547,,215
2308,1863-5-1,,"Port Gibson, Miss",MS,130,718,5,853,1650,215
2309,1863-5-1,1863-5-4,"Chancellorsville, Va.",VA,1512,9518,5000,16030,12281,215
2310,1863-5-16,,"Champion Mills, Miss",MS,426,1842,189,2457,4300,215
2311,1863-5-18,1863-7-4,"Siege of Vicksburg, Miss.",MS,545,3688,303,4536,31277,215
2312,1863-5-27,1863-7-9,"Siege of Port Hudson, La.",LA,500,2500,0,3000,7208,215
2313,1863-6-6,1863-6-8,"Milliken's Bend, La.",LA,154,223,115,492,725,215
2314,1863-6-9,,"Beverly Ford and Brandy Station, Va.",VA,,,,500,700,215
2315,1863-6-13,1863-6-15,"Winchester, Va.",VA,0,0,3000,3000,850,215
2316,1863-6-23,1863-6-30,"Rosecrans' campaign from Murfreesboro to Tullahoma, Tenn.",TN,85,462,13,560,1634,215
2317,1863-7-1,1863-7-3,"Gettysburg, Va.",VA,2834,13709,6643,23186,31621,215
2318,1863-7-9,1863-7-16,"Jackson, Miss",MS,100,800,100,1000,1339,215
2319,1863-7-18,,"Second assault on Fort Wagner, S.C.",SC,,,,1500,174,215
2320,1863-9-19,1863-9-20,"Chickamauga, Ga.",GA,1644,9262,4945,15851,17804,215
2321,1863-11-3,,"Grand Coteau, La.",LA,26,124,576,726,445,215
2322,1863-11-6,,"Rogersville, Tenn.",TN,5,12,650,667,30,215
2323,1863-11-23,1863-11-25,"Chattanooga, Tenn.; includes Orchard Knob, Lookout Mountain, and Missionary Ridge",TN,757,4529,330,5616,8684,215
2324,1863-11-26,1863-11-28,"Operations at Mine Run, Va.",VA,100,400,0,500,500,215
2325,1863-12-14,,"Bean's Station, Tenn.",TN,,,,700,900,215
2326,1864-2-20,,"Olustee, Fla.",FL,193,1175,460,1828,500,215
2327,1864-4-8,,"Sabine Cross Roads, La.",LA,200,900,1800,2900,1500,215
2328,1864-4-9,,"Pleasant Hills, La.",LA,100,700,300,1100,2000,215
2329,1864-4-12,,"Fort Pillow, Tenn.",TN,350,60,164,574,80,216
2330,1864-4-17,1864-4-20,"Plymouth, N.C.",NC,20,80,1500,1600,500,216
2331,1864-4-30,,"Jenkins' Ferry, Saline River, Ark.",AR,200,955,0,1155,1100,216
2332,1864-5-7,,"Wilderness, Va.",VA,5597,21463,10677,37737,11400,216
2333,1864-5-5,1864-5-9,"Rocky Face Ridge, Ga.; includes Tennell Hill, Mill Creek gap, Buzzard Roost, Snake Creek Gap, and near Dalton",GA,200,637,0,837,600,216
2334,1864-5-8,1864-5-18,"Spottsylvania Court House Va.; includes engagements on the Fredericksburg Road, Laurel Hill, and Nye River",VA,4177,19687,2577,26461,9000,216
2335,1864-5-9,1864-5-10,"Swift Creek, Va.",VA,90,400,0,490,500,216
2336,1864-5-9,1864-5-10,"Cloyd's Mountain and New River Bridge, Va.",VA,126,585,34,745,900,216
2337,1864-5-12,1864-5-16,"Fort Darling, Drury's Bluff, Va.",VA,422,2380,210,3012,2500,216
2338,1864-5-13,1864-5-16,"Resaca, Ga.",GA,600,2147,0,2747,2800,216
2339,1864-5-15,,"New Market, Va.",VA,120,560,240,920,405,216
2340,1864-5-16,1864-5-30,"Bermuda Hundred, Va.",VA,200,1000,0,1200,3000,216
2341,1864-5-23,1864-5-27,"North Anna River, Va.",VA,223,1460,290,1973,2000,216
2342,1864-5-25,1864-6-4,"Dallas, Ga.",GA,,,,2400,3000,216
2343,1864-6-1,1864-6-12,"Cold Harbor, Va.",VA,1905,10570,2456,14931,1700,216
2344,1864-6-5,,"Piedmont, Va.",VA,130,650,0,780,2970,216
2345,1864-6-9,1864-6-30,"Kenesaw Mountain, Ga.; includes Pine Mountain, Pine Knob, Golgotha, Culp's House, general assault, June 27th; McAfee's Cross Roads, Lattemore's Mills, and Powder Springs.",GA,1370,6500,800,8670,4600,216
2346,1864-6-10,,"Brice's Cross Roads, near Guntown, Miss.",MS,223,394,1623,2240,606,216
2347,1864-6-10,,"Kellar's Bridge, Licking River, Ky.",KY,13,54,700,767,,217
2348,1864-6-11,1864-6-12,"Trevellian Station, Central Railroad, Va.",VA,85,490,160,735,370,217
2349,1864-6-15,1864-6-19,"Petersburg, Va.; includes Baylor's Farm, Walthal, and Weir Bottom Church",VA,1298,7474,1814,10586,,217
2350,1864-6-17,1864-6-19,"Lynchburg, Va.",VA,100,500,400,700,200,217
2351,1864-6-20,1864-6-30,"Trenches in front of Petersburg, Va.",VA,112,506,800,1418,,217
2352,1864-6-22,1864-6-30,"Wilson's raid on the Weldon Railroad, Va.",VA,76,265,700,1041,300,217
2353,1864-6-22,1864-6-23,"Weldon Railroad, Va.",VA,604,2494,2217,5315,500,217
