from,to,relation
2370,VA073,=
2371,GA022,=
2369,WV014,=
2368,VA072,=
2361,VA116,=
2360,GA017,=
2365,VA070,=
2364,GA018,=
2367,VA071,=
2323,TN024,=
2271,TN003,=
2270,VA101,=
2329,TN030,=
2328,LA019,=
2376,MO026,>
2376,MO021,>
2376,MO022,>
2376,MO024,>
2376,KS004,>
2376,MO028,>
2376,KS003,>
2376,MO027,>
2376,MO025,>
2376,MO023,>
2376,MO029,>
2377,VA075,=
2374,VA119,=
2375,AL008,=
2372,GA009,>
2372,GA017,>
2372,GA011,>
2372,GA018,>
2372,GA022,>
2372,GA015,>
2372,GA014,>
2372,GA021,>
2372,GA013,>
2372,GA010,>
2372,GA016,>
2372,GA012,>
2372,GA008,>
2372,GA007,>
2372,GA019,>
2372,GA020,>
2279,VA015,=
2278,SC002,=
2277,VA106,=
2276,VA105,=
2275,VA014,=
2274,VA104,=
2273,VA103,=
2272,VA010,=
2378,VA074,=
2379,GA023,=
2309,VA032,=
2308,MS006,=
2307,AL001,>
2306,TN013,=
2305,AR006,=
2304,TX003,=
2303,TN010,=
2302,MS003,=
2394,VA084,=
2396,AL005,=
2397,AL007,>
2390,VA083,=
2391,NC017,=
2392,NC019,=
2393,NC020,=
2398,VA087,=
2399,VA088,=
2319,SC007,=
2314,VA035,=
2315,VA107,=
2316,TN017,=
2317,PA002,=
2310,MS009,=
2311,MS011,=
2312,LA010,=
2313,LA011,=
2400,VA089,=
2401,VA093,=
2402,VA095,=
2403,VA094,=
2404,AL006,=
2325,TN026,=
2324,VA044,=
2327,LA018,=
2326,FL005,=
2320,GA004,=
2288,WV010,=
2289,MD002,=
2286,KY007,=
2287,VA027,=
2284,VA026,<
2285,VA026,<
2282,VA022,=
2283,MO013,>
2283,MO015,>
2283,MO014,>
2280,VA016,>
2280,VA017,>
2280,VA018,>
2280,VA021,>
2280,VA019,>
2280,VA020,>
2281,TN006,=
2332,VA046,=
2333,GA007,=
2330,NC012,=
2331,AR016,=
2336,VA049,=
2337,VA053,=
2334,VA048,=
2335,VA050,=
2338,GA008,=
2339,VA110,=
2387,TN038,=
2385,SC010,=
2384,TN036,=
2382,VA080,=
2381,VA079,=
2380,VA122,=
2268,AR001,=
2389,NC015,=
2269,NC003,=
2343,VA062,=
2342,GA011,=
2341,VA055,=
2340,VA054,=
2347,KY011,=
2346,MS014,=
2345,GA013,>
2345,GA014,>
2345,GA015,>
2344,VA111,=
2264,MO006,=
2265,VA006,=
2349,VA063,=
2267,TN002,=
2266,MO009,=
2262,VA005,=
2263,MO004,=
2348,VA099,=
2291,MD003,=
2290,KY008,=
2293,MS002,=
2292,MS001,=
2295,KY009,=
2294,TN007,=
2297,TN008,=
2296,AR005,=
2299,VA028,=
2298,NC009,>
2298,NC007,>
2298,NC008,>
2350,VA064,=
2352,VA113,>
2352,VA067,>
2352,VA068,>
2353,VA065,=
2354,GA015,=
2357,MD007,=
2358,MS015,=
2359,GA016,=
