number,belligerent,strength_min,strength_max,casualties,killed,wounded,missing_captured,missing,captured
1,Confederate,3600,3800,718,80,375,263,,
1,Union,8500,9000,590,118,450,22,,
2,Confederate,6000,6000,500,,,,,
2,Union,6500,6500,260,,,,,
3,Confederate,3000,3000,50,,,,,
3,Union,1063,1063,904,32,122,0,750,0
4,Confederate,16000,16000,400,68,329,3,3,0
4,Union,6500,6500,2019,62,243,1714,,
5,Confederate,8500,8500,287,42,230,15,15,0
5,Union,11500,11500,664,114,443,127,127,0
6,Confederate,6000,6000,816,88,535,34,34,0
6,Union,3500,3500,1002,67,361,574,,
7,Confederate,12500,12500,269,47,219,3,3,0
7,Union,7000,7000,4443,95,373,3975,,
8,Confederate,4087,4087,540,50,480,10,10,0
8,Union,6275,6275,841,96,520,225,225,0
9,Confederate,5500,5500,1500,100,500,900,,
9,Union,8500,8500,875,150,650,75,75,0
10,Confederate,8000,8000,397,80,300,17,17,0
10,Union,5000,5000,422,65,301,56,56,0
11,Confederate,13000,13000,600,100,500,0,0,0
11,Union,10000,10000,1200,120,600,480,,
12,Confederate,15200,15200,3611,226,1567,1818,,
12,Union,39236,39236,5018,697,3983,338,338,0
13,Confederate,9500,9500,1235,30,210,995,,
13,Union,29444,29444,528,52,457,19,19,0
14,Confederate,3500,3500,350,20,50,280,,
14,Union,6300,6300,57,10,47,0,0,0
15,Confederate,15265,15265,2910,320,1540,1050,1050,0
15,Union,31944,31944,5665,644,3430,1591,1591,0
