"belligerent","unit_type","mean","sd","p025","p25","median","p75","p975"
"Union","infantry company",45.4761904761905,9.48504013668671,29.8690476190476,37.2619047619048,45.4761904761905,53.6904761904762,61.0833333333333
"Union","infantry regiment",477.5,99.5929214352104,313.625,391.25,477.5,563.75,641.375
"Union","infantry brigade",2310.072,708.827477747025,1218.75,1807.75,2287.5,2790.25,3540.8
"Union","infantry division",6310.489,2093.29291718004,3276.6,4661.5,6130,7609.25,10204
"Union","infantry corps",18461.604,6411.98501003807,9213.75,13648.5,17845.5,22715.25,29924.5
"Union","army",54876.136,19863.8087161102,26591.9,39487.75,53134,67794.5,90951.55
"Union","cavalry company",46062.6190476191,370.523953341751,45826.8190476191,45931.6190476191,46062.6190476191,46193.6190476191,46298.4190476191
"Union","cavalry regiment",477.5,99.5929214352104,313.625,391.25,477.5,563.75,641.375
"Union","cavalry brigade",1818.423,576.925635814755,903.85,1399,1781.5,2166.75,2863.25
"Union","cavalry division",4658.573,1468.94577039023,2612.7,3527.75,4475.5,5594.25,7233.15
"Union","cavalry corps",13729.536,4814.51218216927,7234.9,9963.5,13047.5,16739.75,22490.3
"Union","artillery gun",12,0,12,12,12,12,12
"Union","artillery section",25,0,25,25,25,25,25
"Union","artillery battery",118,21.9393102292058,81.9,99,118,137,154.1
"Union","artillery brigade",115.8,23.1235810375469,87.4,113,116,124,140.8
"Union","artillery regiment",686.632,160.199120891266,436,558.75,684,804.25,962.05
"Confederate","infantry company",45.4761904761905,9.48504013668671,29.8690476190476,37.2619047619048,45.4761904761905,53.6904761904762,61.0833333333333
"Confederate","infantry regiment",477.5,99.5929214352104,313.625,391.25,477.5,563.75,641.375
"Confederate","infantry brigade",2231.386,730.705372462352,1097.55,1735.25,2193.5,2704.25,3496.25
"Confederate","infantry division",8145.194,2772.46980311295,3806.45,6161.5,7963,10001.25,12926.25
"Confederate","infantry corps",25289.031,8988.20375630214,12589.55,18643.25,24230,30509.25,41807.25
"Confederate","army",79159.539,27886.0464923849,39417.8,57156.5,76920.5,97039.5,128529.35
"Confederate","cavalry company",45864.1190476191,364.159992311072,45632.3690476191,45735.3690476191,45864.1190476191,45992.8690476191,46095.8690476191
"Confederate","cavalry regiment",477.5,99.5929214352104,313.625,391.25,477.5,563.75,641.375
"Confederate","cavalry brigade",2026.907,596.027016632263,1044.95,1583,1998,2415.5,3052.85
"Confederate","cavalry division",5628.507,1959.88957165553,3025.85,4053.25,5360.5,6777,9297.95
"Confederate","cavalry corps",13814.832,4224.83456775539,7803.5,10442.75,13439.5,16705.75,21304.5
"Confederate","artillery gun",12,0,12,12,12,12,12
"Confederate","artillery section",25,0,25,25,25,25,25
"Confederate","artillery battery",118,21.9393102292058,81.9,99,118,137,154.1
"Confederate","artillery brigade",115.8,23.1235810375469,87.4,113,116,124,140.8
"Confederate","artillery regiment",686.632,160.199120891266,436,558.75,684,804.25,962.05
