cwsac_id,battle_name,start_date,end_date
SC001,Fort Sumter I,1861-04-12,1861-04-14
VA001,Sewell's Point,1861-05-18,1861-05-19
VA002,Aquia Creek,1861-05-29,1861-06-01
WV001,Philippi,1861-06-03,1861-06-03
VA003,Big Bethel,1861-06-10,1861-06-10
MO001,Boonville,1861-06-17,1861-06-17
WV002,Hoke's Run,1861-07-02,1861-07-02
MO002,Carthage,1861-07-05,1861-07-05
WV003,Rich Mountain,1861-07-11,1861-07-11
VA004,Blackburn's Ford,1861-07-18,1861-07-18
VA005,Manassas I,1861-07-21,1861-07-21
MO004,Wilson's Creek,1861-08-10,1861-08-10
WV004,Kessler's Cross Lanes,1861-08-26,1861-08-26
NC001,Hatteras Inlet Batteries,1861-08-28,1861-08-29
MO005,Dry Wood Creek,1861-09-02,1861-09-02
WV006,Carnifex Ferry,1861-09-10,1861-09-10
WV005,Cheat Mountain,1861-09-12,1861-09-15
MO006,Lexington I,1861-09-13,1861-09-20
MO003,Liberty,1861-09-17,1861-09-17
KY001,Barbourville,1861-09-19,1861-09-19
WV007,Greenbrier River,1861-10-03,1861-10-03
FL001,Santa Rosa Island,1861-10-09,1861-10-09
KY002,Camp Wildcat,1861-10-21,1861-10-21
MO007,Fredericktown,1861-10-21,1861-10-21
VA006,Ball's Bluff,1861-10-21,1861-10-21
MO008,Springfield I,1861-10-25,1861-10-25
MO009,Belmont,1861-11-07,1861-11-07
KY003,Ivy Mountain,1861-11-08,1861-11-09
OK001,Round Mountain,1861-11-19,1861-11-19
OK002,Chusto-Talasah,1861-12-09,1861-12-09
WV008,Camp Allegheny,1861-12-13,1861-12-13
KY004,Rowlett's Station,1861-12-17,1861-12-17
VA007,Dranesville,1861-12-20,1861-12-20
OK003,Chustenahlah,1861-12-26,1861-12-26
MO010,Mount Zion Church,1861-12-28,1861-12-28
VA100,Cockpit Point,1862-01-03,1862-01-03
MD001,Hancock,1862-01-05,1862-01-06
MO011,Roan's Tan Yard,1862-01-08,1862-01-08
KY005,Middle Creek,1862-01-10,1862-01-10
KY006,Mill Springs,1862-01-19,1862-01-19
TN001,Fort Henry,1862-02-06,1862-02-06
NC002,Roanoke Island,1862-02-07,1862-02-08
TN002,Fort Donelson,1862-02-12,1862-02-16
NM001,Valverde,1862-02-20,1862-02-21
MO012,New Madrid/Island No. 10,1862-02-28,1862-04-08
AR001,Pea Ridge,1862-03-06,1862-03-08
VA008,Hampton Roads,1862-03-08,1862-03-09
NC003,New Berne,1862-03-14,1862-03-14
VA101,Kernstown I,1862-03-23,1862-03-23
NC004,Fort Macon,1862-03-23,1862-04-26
NM002,Glorieta Pass,1862-03-26,1862-03-28
VA009,Yorktown,1862-04-05,1862-05-04
TN003,Shiloh,1862-04-06,1862-04-07
GA001,Fort Pulaski,1862-04-10,1862-04-11
LA001,Forts Jackson and Saint Philip,1862-04-18,1862-04-28
NC005,South Mills,1862-04-19,1862-04-19
LA002,New Orleans,1862-04-25,1862-05-01
MS016,Corinth I,1862-04-29,1862-05-30
VA010,Williamsburg,1862-05-05,1862-05-05
VA011,Eltham's Landing,1862-05-07,1862-05-07
VA102,McDowell,1862-05-08,1862-05-08
VA012,Drewry's Bluff,1862-05-15,1862-05-15
WV009,Princeton Court House,1862-05-15,1862-05-17
VA103,Front Royal,1862-05-23,1862-05-23
VA104,Winchester I,1862-05-25,1862-05-25
VA013,Hanover Court House,1862-05-27,1862-05-27
VA014,Seven Pines,1862-05-31,1862-06-01
NC006,Tranter's Creek,1862-06-05,1862-06-05
TN004,Memphis I,1862-06-06,1862-06-06
TN005,Chattanooga I,1862-06-07,1862-06-08
VA105,Cross Keys,1862-06-08,1862-06-08
VA106,Port Republic,1862-06-09,1862-06-09
SC002,Secessionville,1862-06-16,1862-06-16
AR002,Saint Charles,1862-06-17,1862-06-17
SC003,Simmon's Bluff,1862-06-21,1862-06-21
VA015,Oak Grove,1862-06-25,1862-06-25
VA016,Beaver Dam Creek,1862-06-26,1862-06-26
VA017,Gaines' Mill,1862-06-27,1862-06-27
VA018,Garnett's & Golding's Farms,1862-06-27,1862-06-28
VA019,Savage's Station,1862-06-29,1862-06-29
VA020,Glendale/White Oak Swamp,1862-06-30,1862-06-30
FL002,Tampa,1862-06-30,1862-07-01
VA021,Malvern Hill,1862-07-01,1862-07-01
AR003,Hill's Plantation,1862-07-07,1862-07-07
TN006,Murfreesboro I,1862-07-13,1862-07-13
LA003,Baton Rouge,1862-08-05,1862-08-05
MO013,Kirksville,1862-08-06,1862-08-09
LA004,Donaldsonville I,1862-08-09,1862-08-09
VA022,Cedar Mountain,1862-08-09,1862-08-09
MO014,Independence I,1862-08-11,1862-08-11
MO015,Lone Jack,1862-08-15,1862-08-16
MN001,Fort Ridgley,1862-08-20,1862-08-22
VA023,Rappahannock Station I,1862-08-22,1862-08-25
VA024,Manassas Station Operations,1862-08-26,1862-08-27
VA025,Thoroughfare Gap,1862-08-28,1862-08-28
VA026,Manassas II,1862-08-28,1862-08-30
KY007,Richmond,1862-08-29,1862-08-30
VA027,Chantilly,1862-09-01,1862-09-01
WV010,Harpers Ferry,1862-09-12,1862-09-15
MD002,South Mountain,1862-09-14,1862-09-14
KY008,Munfordville,1862-09-14,1862-09-17
MD003,Antietam,1862-09-16,1862-09-17
MS001,Iuka,1862-09-19,1862-09-19
WV016,Shepherdstown,1862-09-19,1862-09-20
MN002,Wood Lake,1862-09-23,1862-09-23
TX001,Sabine Pass I,1862-09-24,1862-09-25
MO016,Newtonia I,1862-09-30,1862-09-30
FL003,Saint John's Bluff,1862-10-01,1862-10-03
MS002,Corinth II,1862-10-03,1862-10-04
TX002,Galveston I,1862-10-04,1862-10-04
TN007,Hatchie's Bridge,1862-10-06,1862-10-06
KY009,Perryville,1862-10-08,1862-10-08
OK004,Old Fort Wayne,1862-10-22,1862-10-22
LA005,Georgia Landing,1862-10-27,1862-10-27
MO017,Clark's Mill,1862-11-07,1862-11-07
AR004,Cane Hill,1862-11-28,1862-11-28
AR005,Prairie Grove,1862-12-07,1862-12-07
TN008,Hartsville,1862-12-07,1862-12-07
VA028,Fredericksburg I,1862-12-11,1862-12-15
NC007,Kinston,1862-12-14,1862-12-14
NC008,White Hall,1862-12-16,1862-12-16
NC009,Goldsborough Bridge,1862-12-17,1862-12-17
TN009,Jackson,1862-12-19,1862-12-19
MS003,Chickasaw Bayou,1862-12-26,1862-12-29
TN011,Parker's Cross Roads,1862-12-31,1862-12-31
TN010,Stones River,1862-12-31,1863-01-02
TX003,Galveston II,1863-01-01,1863-01-01
MO018,Springfield II,1863-01-08,1863-01-08
AR006,Arkansas Post,1863-01-09,1863-01-11
MO019,Hartville,1863-01-09,1863-01-11
ID001,Bear River,1863-01-29,1863-01-29
TN012,Dover,1863-02-03,1863-02-03
GA002,Fort Mcallister I,1863-02-27,1863-03-03
