battle_id,name,start_date,end_date,number,,,
"Bull-Run (July 21, 1861)",Bull-Run,1861-07-21,1861-07-21,1,,,
"Wilson's Creek (August 10, 1861)",Wilson's Creek,1861-08-10,1861-08-10,2,,,
"Lexington (September 20, 1861)",Lexington,1861-09-20,1861-09-20,3,,,
"Fort Donelson (February 12, 1862)",Fort Donelson,1862-02-12,1862-02-15,4,,,
"Pea Ridge (March 07, 1862)",Pea Ridge,1862-03-07,1862-03-08,5,,,
"Shiloh (April 06, 1862)",Shiloh,1862-04-06,1862-04-07,6,,,
"Williamsburg (May 05, 1862)",Williamsburg,1862-05-05,1862-05-05,7,,,
"Seven Pines (May 31, 1862)",Seven Pines,1862-05-31,1862-06-01,8,,,
"Chickahominy (June 25, 1862)",Chickahominy,1862-06-25,1862-07-01,9,,,
"Cedar Mountain (August 09, 1862)",Cedar Mountain,1862-08-09,1862-08-09,10,,,
"Bull-Run (August 29, 1862)",Bull Run,1862-08-29,1862-08-30,11,,,
"Richmond (August 30, 1862)",Richmond,1862-08-30,1862-08-30,12,,,
"Boonsborough (September 14, 1862)",Boonsborough,1862-09-14,1862-09-14,13,,,
"Harper's Ferry (September 15, 1862)",Harper's Ferry,1862-09-15,1862-09-15,14,,,
"Antietam (September 17, 1862)",Antietam,1862-09-17,1862-09-17,15,,,
"Corinth (October 03, 1862)",Corinth,1862-10-03,1862-10-04,16,,,
"Perryville (October 08, 1862)",Perryville,1862-10-08,1862-10-08,17,,,
"Prairie-Grove (December 07, 1862)",Prairie-Grove,1862-12-07,1862-12-07,18,,,
"Fredericksburg (December 11, 1862)",Fredericksburg,1862-12-11,1862-12-15,19,,,
"Murfreesborough (December 31, 1862)",Murfreesborough,1862-12-31,1863-01-03,20,,,
"Chickasaw Bluffs (January 03, 1863)",Chickasaw Bluffs,1863-01-03,1863-01-03,21,,,
"Arkansas Post (January 11, 1863)",Arkansas Post,1863-01-11,1863-01-11,22,,,
"Charleston (April 01, 1863)",Charleston,1863-04-01,1865-02-18,45,,,
"Chancellorsville (May 03, 1863)",Chancellorsville,1863-05-03,1863-05-05,23,,,
"Champion's Hill (May 16, 1863)",Champion's Hill,1863-05-16,1863-05-16,24,,,
"Vicksburg (May 19, 1863)",Vicksburg,1863-05-19,1863-07-04,27,,,
"Winchester (June 15, 1863)",Winchester,1863-06-15,1863-06-15,25,,,
"Gettysburg (July 01, 1863)",Gettysburg,1863-07-01,1863-07-03,26,,,
"Chickamauga (September 19, 1863)",Chickamauga,1863-09-19,1863-09-20,28,,,
"Ringgold (November 23, 1863)",Ringgold,1863-11-23,1863-11-25,29,,,
"Wilderness (May 05, 1864)",Wilderness,1864-05-05,1864-05-07,30,,,
"Spotsylvania-Court-House (May 08, 1864)",Spotsylvania-Court-House,1864-05-08,1864-05-12,31,,,
"Resaca (May 14, 1864)",Resaca,1864-05-14,1864-05-14,32,,,
"Drewry's Bluff (May 16, 1864)",Drewry's Bluff,1864-05-16,1864-05-16,33,,,
"Pamunkey (May 22, 1864)",Pamunkey,1864-05-22,1864-05-26,34,,,
"New-Hope-Church (May 28, 1864)",New Hope Church,1864-05-28,1864-05-28,35,,,
"Cold Harbor (June 03, 1864)",Cold Harbor,1864-06-03,1864-06-03,36,,,
"Petersburg (June 09, 1864)",Petersburg,1864-06-09,1865-04-03,47,,,
"Kenesaw-Mountain (June 27, 1864)",Kenesaw-Mountain,1864-06-27,1864-06-27,37,,,
"Peach-Tree-Creek (July 20, 1864)",Peach-Tree-Creek,1864-07-20,1864-07-20,38,,,
"Atlanta (July 22, 1864)",Atlanta,1864-07-22,1864-07-22,39,,,
"Ezra-Church (July 28, 1864)",Ezra-Church,1864-07-28,1864-07-28,40,,,
"Winchester (September 19, 1864)",Winchester,1864-09-19,1864-09-19,41,,,
"Middletown (October 19, 1864)",Middletown,1864-10-19,1864-10-19,42,,,
"Franklin (November 30, 1864)",Franklin,1864-11-30,1864-11-30,43,,,
"Nashville (December 15, 1864)",Nashville,1864-12-15,1864-12-16,44,,,
"Bentonville (March 05, 1865)",Bentonville,1865-03-20,1865-03-20,46,,,
"Mobile (April 02, 1865)",Mobile,1865-04-02,1865-04-09,48,,,
"Appomattox-Court-House (April 09, 1865)",Appomattox-Court-House,1865-04-09,1865-04-09,49,,,
"Durham's-Station (April 25, 1865)",Durham's-Station,1865-04-25,1865-04-25,50,,,
