"from","to","relation"
"Perryville (October 08, 1862)","http://dbpedia.org/resource/Battle_of_Perryville","="
"New-Hope-Church (May 28, 1864)","http://dbpedia.org/resource/Battle_of_Dallas","="
"Bentonville (March 05, 1865)","http://dbpedia.org/resource/Battle_of_Bentonville","="
"Fredericksburg (December 11, 1862)","http://dbpedia.org/resource/Battle_of_Fredericksburg","="
"Chancellorsville (May 03, 1863)","http://dbpedia.org/resource/Battle_of_Chancellorsville","="
"Seven Pines (May 31, 1862)","http://dbpedia.org/resource/Battle_of_Seven_Pines","="
"Ringgold (November 23, 1863)","http://dbpedia.org/resource/Battle_of_Lookout_Mountain",">"
"Ringgold (November 23, 1863)","http://dbpedia.org/resource/Battle_of_Missionary_Ridge",">"
"Cold Harbor (June 03, 1864)","http://dbpedia.org/resource/Battle_of_Cold_Harbor","="
"Bull-Run (July 21, 1861)","http://dbpedia.org/resource/First_Battle_of_Bull_Run","="
"Peach-Tree-Creek (July 20, 1864)","http://dbpedia.org/resource/Battle_of_Peachtree_Creek","="
"Vicksburg (May 19, 1863)","http://dbpedia.org/resource/Siege_of_Vicksburg","="
"Williamsburg (May 05, 1862)","http://dbpedia.org/resource/Battle_of_Williamsburg","="
"Lexington (September 20, 1861)","http://dbpedia.org/resource/First_Battle_of_Lexington","="
"Harper's Ferry (September 15, 1862)","http://dbpedia.org/resource/Battle_of_Harpers_Ferry","="
"Drewry's Bluff (May 16, 1864)","http://dbpedia.org/resource/Battle_of_Proctor's_Creek","="
"Petersburg (June 09, 1864)","http://dbpedia.org/resource/First_Battle_of_Petersburg",">"
"Petersburg (June 09, 1864)","http://dbpedia.org/resource/Second_Battle_of_Petersburg",">"
"Petersburg (June 09, 1864)","http://dbpedia.org/resource/Battle_of_Jerusalem_Plank_Road",">"
"Petersburg (June 09, 1864)","http://dbpedia.org/resource/Battle_of_Staunton_River_Bridge",">"
"Petersburg (June 09, 1864)","http://dbpedia.org/resource/Battle_of_Sappony_Church",">"
