isqno,cwsac_id,relation,name,locn,datetime_min,datetime_max
171,VA005,eq,FIRST BULL RUN (MANASSAS),VIRGINIA,1861-07-21T09:00:00,1861-07-21T16:00:00
172,MO004,eq,WILSON'S CREEK,MISSOURI,1861-08-10T05:30:00,1861-08-10T11:30:00
173,MO009,eq,BELMONT,MISSOURI,1861-11-07T10:30:00,1861-11-07T16:50:00
174,KY006,eq,MILL SPRINGS,KENTUCKY,1862-01-19T05:30:00,1862-01-19T16:00:00
175,TN002,eq,FORT DONELSON,TENNESSEE,1862-02-15T05:50:00,1862-02-15T15:30:00
176,AR001,eq,PEA RIDGE,MISSOURI,1862-03-07T10:30:00,1862-03-08T11:30:00
177,VA101,eq,KERNSTOWN,VIRGINIA,1862-03-23T06:00:00,1862-03-23T18:00:00
178,TN003,eq,SHILOH,TENNESSEE,1862-04-06T05:00:00,1862-04-07T16:00:00
179,VA103,eq,FRONT ROYAL,VIRGINIA,1862-05-23T14:00:00,1862-05-23T17:30:00
180,VA104,eq,FIRST WINCHESTER,VIRGINIA,1862-05-25T06:00:00,1862-05-25T07:30:00
181,VA105,eq,CROSS KEYS,VIRGINIA,1862-06-08T09:00:00,1862-06-08T12:00:00
182,VA106,eq,PORT REPUBLIC,VIRGINIA,1862-06-09T07:00:00,1862-06-09T11:00:00
183,VA014,eq,SEVEN PINES (FAIR OAKS),VIRGINIA,1862-05-31T13:00:00,1862-06-01T13:30:00
184,VA016,eq,MECHANICSVILLE,VIRGINIA,1862-06-26T15:00:00,1862-06-26T21:00:00
185,VA017,eq,GAINES'S MILL,VIRGINIA,1862-06-27T12:30:00,1862-06-27T21:00:00
186,VA020,eq,GLENDALE-FRAYSER'S FARM,VIRGINIA,1862-06-29T09:00:00,1862-06-30T21:00:00
187,VA021,eq,MALVERN HILL,VIRGINIA,1862-07-01T15:00:00,1862-07-01T20:30:00
188,VA022,eq,CEDAR MOUNTAIN,VIRGINIA,1862-08-09T15:00:00,1862-08-09T21:30:00
189,VA026,eq,SECOND BULL RUN (MANASSAS),VIRGINIA,1862-08-29T05:30:00,1862-08-30T20:00:00
190,MD002,eq,SOUTH MOUNTAIN,MARYLAND,1862-09-14T09:00:00,1862-09-14T22:00:00
191,MD003,eq,ANTIETAM (SHARPSBURG),MARYLAND,1862-09-17T05:30:00,1862-09-17T16:30:00
192,MS002,eq,CORINTH,MISSISSIPPI,1862-10-03T10:00:00,1862-10-04T13:00:00
193,KY009,eq,PERRYVILLE,KENTUCKY,1862-10-08T14:00:00,1862-10-08T18:00:00
194,VA028,eq,FREDERICKSBURG,VIRGINIA,1862-12-13T11:00:00,1862-12-13T16:00:00
195,TN010,eq,MURFREESBORO (STONE'S RIVER),TENNESSEE,1862-12-31T07:00:00,1863-01-02T22:00:00
196,VA032,eq,CHANCELLORSVILLE,VIRGINIA,1863-05-01T11:15:00,1863-05-04T20:30:00
197,MS009,eq,CHAMPION'S HILL,MISSISSIPPI,1863-05-16T10:30:00,1863-05-16T16:00:00
198,VA035,eq,BRANDY STATION,VIRGINIA,1863-06-09T04:00:00,1863-06-09T16:00:00
199,PA002,eq,GETTYSBURG,PENNSYLVANIA,1863-07-01T10:00:00,1863-07-03T15:00:00
200,GA004,eq,CHICKAMAUGA,GEORGIA,1863-09-19T05:30:00,1863-09-20T19:00:00
201,TN024,eq,CHATTANOOGA,TENNESSEE,1863-11-24T10:00:00,1863-11-25T18:00:00
202,VA046,eq,THE WILDERNESS,VIRGINIA,1864-05-05T07:15:00,1864-05-06T20:00:00
203,VA048,eq,SPOTSYLVANIA,VIRGINIA,1864-05-08T00:00:00,1864-05-19T00:00:00
204,VA110,eq,NEW MARKET,VIRGINIA,1864-05-15T05:00:00,1864-05-15T16:00:00
205,VA062,eq,COLD HARBOR,VIRGINIA,1864-06-03T04:30:00,1864-06-03T13:30:00
206,GA015,eq,KENESAW MOUNTAIN,GEORGIA,1864-06-27T09:00:00,1864-06-27T11:30:00
207,GA016,eq,PEACHTREE CREEK,GEORGIA,1864-07-20T15:00:00,1864-07-20T18:00:00
208,GA017,eq,ATLANTA,GEORGIA,1864-07-22T12:30:00,1864-07-22T19:30:00
209,VA063,eq,PETERSBURG,VIRGINIA,1864-06-15T19:00:00,1864-06-18T20:30:00
210,VA072,eq,GLOBE TAVERN,VIRGINIA,1864-08-18T00:00:00,1864-08-22T00:00:00
211,VA119,eq,OPEQUON CREEK (THIRD WINCHESTER),VIRGINIA,1864-09-19T05:00:00,1864-09-19T17:00:00
212,VA122,eq,CEDAR CREEK,VIRGINIA,1864-10-19T05:30:00,1864-10-19T18:00:00
213,TN036,eq,FRANKLIN,TENNESSEE,1864-11-30T15:30:00,1864-11-30T23:00:00
214,TN038,eq,NASHVILLE,TENNESSEE,1864-12-15T08:00:00,1864-12-16T16:45:00
215,NC020,eq,BENTONVILLE,NORTH CAROLINA,1865-03-19T06:00:00,1865-03-21T08:00:00
216,VA086,eq,DINWIDDIE COURTHOUSE & WHITE OAK ROAD,VIRGINIA,1865-03-29T00:00:00,1865-04-01T00:00:00
217,VA088,eq,FIVE FORKS,VIRGINIA,1865-04-01T16:00:00,1865-04-01T19:30:00
218,AL007,eq,SELMA,ALABAMA,1865-04-02T00:00:00,1865-04-03T00:00:00
219,VA093,eq,SAYLOR'S CREEK,VIRGINIA,1865-04-06T08:30:00,1865-04-06T19:30:00
