"battle","belligerent","strength","infantry","cavalry","crewmen","corps","cavalry_corps","divisions","cavalry_divisions","brigades","companies","frigates","gunboats","ironclads","sloops","steamers","warships_and_transports","warships","wooden_warships","guns","casualties","captured","killed","wounded","missing","killed_wounded","killed_missing","captured_missing","wounded_missing","guns_lost","guns_captured","small_arms_lost","small_arms_captured","warships_sunk","warships_damaged","gunboats_sunk","gunboats_captured","ironclads_sunk","ironclads_captured","forts_captured","note","strength_mean","strength_var"
"Roanoake Island","union",13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",13000,NA
"Roanoake Island","confed",3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2675,24,NA,NA,NA,NA,NA,222,32,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,"",3000,NA
"New Bern","union",11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,385,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",11000,NA
"New Bern","confed",5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,116,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5000,NA
"Hampton Roads (first day)","union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,219,NA,NA,257,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,"",NA,NA
"Hampton Roads (first day)","confed",NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA
"Hampton Roads (second day)","union",NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA
"Hampton Roads (second day)","confed",NA,NA,NA,340,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA
"Secessionville","union",4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,487,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4500,NA
"Secessionville","confed",3100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,144,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3100,NA
