battle,theater,start_date,end_date,cwsac_id,relation,belligerent,PersonID,last_name,first_name,middle_name,middle_initial,rank,navy
Chattanooga (Lookout Mountain),West: 1863,1863-11-24,1863-11-24,TN024,<,Confederate,4b5a15e5-6c5d-492c-9ab7-32d50419cf80,Bragg,Braxton,,,General,0
Chattanooga (Lookout Mountain),West: 1863,1863-11-24,1863-11-24,TN024,<,US,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,0
Chattanooga (Missionary Ridge),West: 1863,1863-11-25,1863-11-25,TN024,<,Confederate,4b5a15e5-6c5d-492c-9ab7-32d50419cf80,Bragg,Braxton,,,General,0
Chattanooga (Missionary Ridge),West: 1863,1863-11-25,1863-11-25,TN024,<,US,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,0
Chattanooga (Orchard Knob/Indian Hill),West: 1863,1863-11-23,1863-11-23,TN024,<,Confederate,4b5a15e5-6c5d-492c-9ab7-32d50419cf80,Bragg,Braxton,,,General,0
Chattanooga (Orchard Knob/Indian Hill),West: 1863,1863-11-23,1863-11-23,TN024,<,US,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,0
Chattanooga (Tunnel Hill),West: 1863,1863-11-25,1863-11-25,TN024,<,Confederate,4b5a15e5-6c5d-492c-9ab7-32d50419cf80,Bragg,Braxton,,,General,0
Chattanooga (Tunnel Hill),West: 1863,1863-11-25,1863-11-25,TN024,<,US,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,0
Cold Harbor (assault),East: 1864,1864-6-3,1864-6-3,VA062,<,Confederate,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,0
Cold Harbor (assault),East: 1864,1864-6-3,1864-6-3,VA062,<,US,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Lieutenant General,0
Cold Harbor (assault),East: 1864,1864-6-3,1864-6-3,VA062,<,US,15a8b826-e060-430a-bb4c-61936b75252e,Meade,George,Gordon,G.,Major General,0
Fort Gregg,East: 1865,1865-4-2,1865-4-2,VA089,<,Confederate,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,0
Fort Gregg,East: 1865,1865-4-2,1865-4-2,VA089,<,US,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Lieutenant General,0
Groveton,East: 1862,1862-8-28,1862-8-28,VA026,<,Confederate,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,0
Groveton,East: 1862,1862-8-28,1862-8-28,VA026,<,Confederate,21d06a25-9c4f-4dea-a766-f60d20632999,Jackson,Thomas,Jonathan,J.,Major General,0
Groveton,East: 1862,1862-8-28,1862-8-28,VA026,<,US,60853683-b235-4e03-abcb-68edc8339fa5,Pope,John,,,Major General,0
Hampton Roads (first day),Blockade War: 1861-1862,1862-3-8,1862-3-8,VA008,<,Confederate,12c2d009-5e2f-47cb-b9e7-31e07bc73edd,Buchanan,Frankiln,,,Captain,1
Hampton Roads (first day),Blockade War: 1861-1862,1862-3-8,1862-3-8,VA008,<,Confederate,135f4732-a9b3-4a23-a530-8a6e922812c6,Jones,Catesby,Roger,R.,Lieutenant,0
Hampton Roads (first day),Blockade War: 1861-1862,1862-3-8,1862-3-8,VA008,<,US,ec3537d2-26fb-441d-bf2c-a1eed0e78171,Worden,John,,,Lieutenant,0
Hampton Roads (second day),Blockade War: 1861-1862,1862-3-9,1862-3-9,VA008,<,Confederate,12c2d009-5e2f-47cb-b9e7-31e07bc73edd,Buchanan,Frankiln,,,Captain,1
Hampton Roads (second day),Blockade War: 1861-1862,1862-3-9,1862-3-9,VA008,<,Confederate,135f4732-a9b3-4a23-a530-8a6e922812c6,Jones,Catesby,Roger,R.,Lieutenant,0
Hampton Roads (second day),Blockade War: 1861-1862,1862-3-9,1862-3-9,VA008,<,US,ec3537d2-26fb-441d-bf2c-a1eed0e78171,Worden,John,,,Lieutenant,0
Jackson (siege),West: 1863,1863-7-10,1863-7-16,,,US,033ec012-d845-474f-bf9c-28366e02d1a4,Sherman,William,,T.,Major General,
Jackson (siege),West: 1863,1863-7-10,1863-7-16,,,Confederate,b0f7a304-f6c5-4a8d-b816-066426e5dc1c,Johnston,Joseph,,E.,General,
Knoxville (siege),West: 1863,1863-11-17,1863-12-3,,,Confederate,4b5a15e5-6c5d-492c-9ab7-32d50419cf80,Bragg,Braxton,,,General,0
Knoxville (siege),West: 1863,1863-11-17,1863-12-3,,,US,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,0
Mobile Bay,Blockade War: 1864-65,1864-8-5,1864-8-5,AL003,<,Confederate,12c2d009-5e2f-47cb-b9e7-31e07bc73edd,Buchanan,Frankiln,,,Admiral,1
Mobile Bay,Blockade War: 1864-65,1864-8-5,1864-8-5,AL003,<,Confederate,0aae1532-be13-4465-b162-a89c8b8dda4a,Page,Richard,Lucian,L.,Brigadier General,0
Mobile Bay,Blockade War: 1864-65,1864-8-5,1864-8-5,AL003,<,US,7a5f39ff-efc9-4ccd-a5ed-56ad106e2f26,Farragut,David,Glasgow,G.,Rear Admiral,1
Mobile Bay,Blockade War: 1864-65,1864-8-5,1864-8-5,AL003,<,US,c66b4ad0-8194-4dda-a234-c04e1e4e502e,Granger,Gordon,,,Major General,0
Petersburg (second assault),East: 1865,1865-4-2,1865-4-2,VA089,<,Confederate,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,0
Petersburg (second assault),East: 1865,1865-4-2,1865-4-2,VA089,<,US,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Lieutenant General,0
Pocataligo,Blockade War: 1863,1863-10-22,1863-10-22,,,US,0bbf8c45-2f41-4b08-98ce-222e943adac8,Brannan,John,,M.,Brigadier General,
Pocataligo,Blockade War: 1863,1863-10-22,1863-10-22,,,Confederate,,Walker,William,,S. ,Colonel,
Port Hudson (first assault),West: 1863,1863-5-27,1863-5-27,LA010,<,Confederate,6420b474-c728-4537-84ce-09ae419a5398,Gardner,Franklin,,,Major General,0
Port Hudson (first assault),West: 1863,1863-5-27,1863-5-27,LA010,<,US,f2f4eda1-b51f-4f8e-ad2d-379a1eb685f3,Banks,Nathaniel,,P.,Major General,0
Port Hudson (second assault),West: 1863,1863-6-14,1863-6-14,LA010,<,Confederate,6420b474-c728-4537-84ce-09ae419a5398,Gardner,Franklin,,,Major General,0
Port Hudson (second assault),West: 1863,1863-6-14,1863-6-14,LA010,<,US,f2f4eda1-b51f-4f8e-ad2d-379a1eb685f3,Banks,Nathaniel,,P.,Major General,0
Second Bull Run/Chantilly (Second Manassas),East: 1862,1862-8-29,1862-9-1,VA026,<,Confederate,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,0
Second Bull Run/Chantilly (Second Manassas),East: 1862,1862-8-29,1862-9-1,VA026,<,Confederate,21d06a25-9c4f-4dea-a766-f60d20632999,Jackson,Thomas,Jonathan,J.,Major General,0
Second Bull Run/Chantilly (Second Manassas),East: 1862,1862-8-29,1862-9-1,VA026,<,US,60853683-b235-4e03-abcb-68edc8339fa5,Pope,John,,,Major General,0
Seven Days Battles,East: 1862,1862-6-25,1862-7-1,,,Confederate,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,0
Seven Days Battles,East: 1862,1862-6-25,1862-7-1,,,US,113829b2-e1ff-4458-8dce-9a4da30810dd,McClellan,George,Brinton,B.,Major General,0
Vicksburg (first assault),West: 1863,1863-5-19,1863-5-19,MS011,<,Confederate,03c2a063-2c1f-4006-9be2-08bcb50ee9ea,Pemberton,John,Clifford,C.,Lieutenant General,0
Vicksburg (first assault),West: 1863,1863-5-19,1863-5-19,MS011,<,US,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,0
Vicksburg (second assault),West: 1863,1863-5-22,1863-5-22,MS011,<,Confederate,03c2a063-2c1f-4006-9be2-08bcb50ee9ea,Pemberton,John,Clifford,C.,Lieutenant General,0
Vicksburg (second assault),West: 1863,1863-5-22,1863-5-22,MS011,<,US,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,0
