"battle","battle_name","belligerent","commander","commander_dbpedia","rank"
"AL001","Days Gap","US","Abel Streight","http://dbpedia.org/resource/Abel_Streight","Colonel"
"AL001","Days Gap","CS","Nathan Bedford Forrest","http://dbpedia.org/resource/Nathan_Bedford_Forrest","Brigadier General"
"AL002","Athens","US","Emil Adams","NA","Captain"
"AL002","Athens","CS","Moses W. Hannon","http://dbpedia.org/resource/Moses_Wright_Hannon","Lieutenant Colonel"
"AL003","Mobile Bay","US","David G. Farragut","http://dbpedia.org/resource/David_Farragut","Admiral"
"AL003","Mobile Bay","CS","Franklin Buchanan","http://dbpedia.org/resource/Franklin_Buchanan","Admiral"
"AL003","Mobile Bay","US","Gordon Granger","http://dbpedia.org/resource/Gordon_Granger","Major General"
"AL003","Mobile Bay","CS","Richard L. Page","http://dbpedia.org/resource/Richard_Lucian_Page","Brigadier General"
"AL004","Decatur","CS","John Bell Hood","http://dbpedia.org/resource/John_Bell_Hood","General"
"AL004","Decatur","US","Robert S. Granger","http://dbpedia.org/resource/Robert_S._Granger","Brigadier General"
"AL005","Spanish Fort","US","E.R.S. Canby","http://dbpedia.org/resource/Edward_Canby","Major General"
"AL005","Spanish Fort","CS","Randall L. Gibson","http://dbpedia.org/resource/Randall_L._Gibson","Brigadier General"
"AL006","Fort Blakely","US","E.R.S. Canby","http://dbpedia.org/resource/Edward_Canby","Major General"
"AL007","Selma","US","James Wilson","http://dbpedia.org/resource/James_H._Wilson","Major General"
"AL007","Selma","CS","Nathan Bedford Forrest","http://dbpedia.org/resource/Nathan_Bedford_Forrest","Lieutenant General"
"AL002A","Athens","CS","Nathan Bedford Forrest","http://dbpedia.org/resource/Nathan_Bedford_Forrest",
"AL002A","Athens","US","Wallace Campbell","NA",
"AL002A","Athens","US","Jonas Elliott","NA",
"AL002A","Athens","US","W. H. Lathrop","NA",
"AL002A","Athens","US","George Spalding","https://dbpedia.org/resource/George_Spalding",
"AR001","Pea Ridge","CS","Earl Van Dorn","http://dbpedia.org/resource/Earl_Van_Dorn","Major General"
"AR001","Pea Ridge","US","Samuel R. Curtis","http://dbpedia.org/resource/Samuel_Ryan_Curtis","Major General"
"AR002","Saint Charles","US","Augustus H. Kilty","http://dbpedia.org/resource/Augustus_Kilty","Commander"
"AR002","Saint Charles","US","Graham N. Fitch","http://dbpedia.org/resource/Graham_N._Fitch","Colonel"
"AR003","Hill's Plantation","US","Charles Hovey","http://dbpedia.org/resource/Charles_Edward_Hovey","Colonel"
"AR003","Hill's Plantation","CS","Thomas C. Hindman","http://dbpedia.org/resource/Thomas_C._Hindman","Major General"
"AR003","Hill's Plantation","US","William P. Benton","http://dbpedia.org/resource/William_Plummer_Benton","Brigadier General"
"AR003","Hill's Plantation","CS","William Parsons","NA","Colonel"
"AR004","Cane Hill","US","James G. Blunt","http://dbpedia.org/resource/James_G._Blunt","Brigadier General"
"AR004","Cane Hill","CS","John S. Marmaduke","http://dbpedia.org/resource/John_S._Marmaduke","Brigadier General"
"AR005","Prairie Grove","US","Francis J. Herron","http://dbpedia.org/resource/Francis_J._Herron","Brigadier General"
"AR005","Prairie Grove","US","James G. Blunt","http://dbpedia.org/resource/James_G._Blunt","Brigadier General"
"AR005","Prairie Grove","CS","Thomas C. Hindman","http://dbpedia.org/resource/Thomas_C._Hindman","Major General"
"AR006","Arkansas Post","US","David D. Porter","http://dbpedia.org/resource/David_Dixon_Porter","Rear Admiral"
"AR006","Arkansas Post","US","John A. McClernand","http://dbpedia.org/resource/John_Alexander_McClernand","Major General"
"AR006","Arkansas Post","CS","Thomas J. Churchill","http://dbpedia.org/resource/Thomas_James_Churchill","Brigadier General"
"AR007","Chalk Bluff","CS","John S. Marmaduke","http://dbpedia.org/resource/John_S._Marmaduke","Brigadier General"
"AR007","Chalk Bluff","US","William Vandever","http://dbpedia.org/resource/William_Vandever","Brigadier General"
"AR008","Helena","US","Benjamin M. Prentiss","http://dbpedia.org/resource/Benjamin_Prentiss","Major General"
"AR008","Helena","CS","Theophilus H. Holmes","http://dbpedia.org/resource/Theophilus_H._Holmes","Lieutenant General"
"AR009","Devil's Backbone","CS","W.L. Cabell","http://dbpedia.org/resource/William_L._Cabell","Brigadier General"
"AR009","Devil's Backbone","US","William F. Cloud","http://dbpedia.org/resource/William_F._Cloud","Colonel"
"AR010","Bayou Forche","CS","John S. Marmaduke","http://dbpedia.org/resource/John_S._Marmaduke","Brigadier General"
"AR010","Bayou Forche","US","John W. Davidson","http://dbpedia.org/resource/John_Davidson_(general)","Brigadier General"
"AR011","Pine Bluff","CS","John S. Marmaduke","http://dbpedia.org/resource/John_S._Marmaduke","Brigadier General"
"AR011","Pine Bluff","US","Powell Clayton","http://dbpedia.org/resource/Powell_Clayton","Colonel"
"AR012","Elkins Ferry","US","Fred Steele","http://dbpedia.org/resource/Frederick_Steele","Major General"
"AR012","Elkins Ferry","CS","John S. Marmaduke","http://dbpedia.org/resource/John_S._Marmaduke","Brigadier General"
"AR013","Prairie D'Ane","US","Fred Steele","http://dbpedia.org/resource/Frederick_Steele","Major General"
"AR013","Prairie D'Ane","CS","Sterling Price","http://dbpedia.org/resource/Sterling_Price","Major General"
"AR014","Poison Spring","US","James M. Williams","http://dbpedia.org/resource/James_M._Williams","Colonel"
"AR014","Poison Spring","CS","John S. Marmaduke","http://dbpedia.org/resource/John_S._Marmaduke","Brigadier General"
"AR014","Poison Spring","CS","Samuel Bell Maxey","http://dbpedia.org/resource/Samuel_B._Maxey","Brigadier General"
"AR015","Marks' Mills","US","Francis Drake","http://dbpedia.org/resource/Francis_M._Drake","Lieutenant Colonel"
"AR015","Marks' Mills","CS","James B. Fagan","http://dbpedia.org/resource/James_F._Fagan","Brigadier General"
"AR016","Jenkins' Ferry","CS","E. Kirby Smith","http://dbpedia.org/resource/Edmund_Kirby_Smith","General"
"AR016","Jenkins' Ferry","US","Fred Steele","http://dbpedia.org/resource/Frederick_Steele","Major General"
"AR017","Old River Lake","CS","Colton Greene","http://dbpedia.org/resource/Colton_Greene","Colonel"
"AR017","Old River Lake","US","Joseph A. Mower","http://dbpedia.org/resource/Joseph_A._Mower","Brigadier General"
"AR018","Bayou Meto","US","John S. Marmaduke","http://dbpedia.org/resource/John_S._Marmaduke",
"AR018","Bayou Meto","CS","John W. Davidson","http://dbpedia.org/resource/John_Davidson_(general)",
"CO001","Sand Creek","US","John Chivington","http://dbpedia.org/resource/John_Chivington","Colonel"
"DC001","Fort Stevens","US","Alexander McDowell McCook","http://dbpedia.org/resource/Alexander_McDowell_McCook","Major General"
"DC001","Fort Stevens","US","Horatio G. Wright","http://dbpedia.org/resource/Horatio_Wright","Major General"
"DC001","Fort Stevens","CS","Jubal A. Early","http://dbpedia.org/resource/Jubal_Early","Lieutenant General"
"FL001","Santa Rosa Island","US","Harvey Brown","http://dbpedia.org/resource/Harvey_Brown_(officer)","Colonel"
"FL002","Tampa","US","A.J. Drake","NA","Captain (Naval)"
"FL002","Tampa","CS","J.W. Pearson","NA","Captain"
"FL003","St. Johns Bluff","CS","Charles F. Hopkins","NA","Lieutenant Colonel"
"FL003","St. Johns Bluff","US","John M. Brannan","http://dbpedia.org/resource/John_Milton_Brannan","Brigadier General"
"FL004","Fort Brooke","US","A.A. Semmes","http://dbpedia.org/resource/Alexander_Alderman_Semmes","Lieutenant Commander"
"FL004","Fort Brooke","CS","John Westcott","NA","Captain"
"FL005","Olustee","CS","Joseph Finegan","http://dbpedia.org/resource/Joseph_Finegan","Brigadier General"
"FL005","Olustee","US","Truman Seymour","http://dbpedia.org/resource/Truman_Seymour","Brigadier General"
"FL006","Natural Bridge","US","John Newton","http://dbpedia.org/resource/John_Newton_(engineer)","Major General"
"FL006","Natural Bridge","CS","Sam Jones","http://dbpedia.org/resource/Sam_Jones_(Confederate_Army_officer)","Major General"
"GA001","Fort Pulaski","CS","Charles H. Olmstead","NA","Colonel"
"GA001","Fort Pulaski","US","David Hunter","http://dbpedia.org/resource/David_Hunter","Major General"
"GA001","Fort Pulaski","US","Quincy A. Gillmore","http://dbpedia.org/resource/Quincy_Adams_Gillmore","Captain"
"GA002","Fort McAllister I","CS","George A. Anderson","NA","Captain"
"GA002","Fort McAllister I","US","P. Drayton","http://dbpedia.org/resource/Percival_Drayton","Captain (Naval)"
"GA003","Davis Cross Roads","US","James Negley","http://dbpedia.org/resource/James_S._Negley","Major General"
"GA003","Davis Cross Roads","CS","John C. Breckinridge","http://dbpedia.org/resource/John_C._Breckinridge","Major General"
