battle,belligerent,fullname,rank,navy,first_name,last_name,middle_name,suffix
AL001,CS,Nathan Bedford Forrest,Brigadier General,0,Nathan,Forrest,Bedford,
AL001,US,Abel Streight,Colonel,0,Abel,Streight,,
AL002,CS,Moses W. Hannon,Lieutenant Colonel,0,Moses,Hannon,W.,
AL002,US,Emil Adams,Captain,0,Emil,Adams,,
AL003,CS,Franklin Buchanan,Admiral,1,Franklin,Buchanan,,
AL003,CS,Richard L. Page,Brigadier General,0,Richard,Page,L.,
AL003,US,David G. Farragut,Rear Admiral,1,David,Farragut,G.,
AL003,US,Gordon Granger,Major General,0,Gordon,Granger,,
AL004,CS,John Bell Hood,General,0,John,Hood,Bell,
AL004,US,Robert S. Granger,Brigadier General,0,Robert,Granger,S.,
AL005,CS,Randall L. Gibson,Brigadier General,0,Randall,Gibson,L.,
AL005,US,E. R. S. Canby,Major General,0,E.,Canby,R. S.,
AL006,CS,John R. Liddell,Major General,0,John,Liddell,R.,
AL006,US,E. R. S. Canby,Major General,0,E.,Canby,R. S.,
AL007,CS,Nathan Bedford Forrest,Lieutenant General,0,Nathan,Forrest,Bedford,
AL007,US,James H. Wilson,Major General,0,James,Wilson,H.,
AR001,CS,Earl Van Dorn,Major General,0,Earl,Van Dorn,,
AR001,US,Samuel R. Curtis,Brigadier General,0,Samuel,Curtis,R.,
AR002,CS,Joseph Fry,Captain (Navy),1,Joseph,Fry,,
AR002,US,Graham N. Fitch,Colonel,0,Graham,Fitch,N.,
AR002,US,Augustus H. Kilty,Commander,1,Augustus,Kilty,H.,
AR003,CS,Thomas C. Hindman,Major General,0,Thomas,Hindman,C.,
AR003,CS,William H. Parsons,Colonel,0,William,Parsons,H.,
AR003,US,Charles Hovey,Colonel,0,Charles,Hovey,,
AR003,US,William P. Benton,Brigadier General,0,William,Benton,P.,
AR004,CS,John S. Marmaduke,Brigadier General,0,John,Marmaduke,S.,
AR004,US,James G. Blunt,Brigadier General,0,James,Blunt,G.,
AR005,CS,Thomas C. Hindman,Major General,0,Thomas,Hindman,C.,
AR005,US,Francis J. Herron,Brigadier General,0,Francis,Herron,J.,
AR005,US,James G. Blunt,Brigadier General,0,James,Blunt,G.,
AR006,CS,Thomas J. Churchill,Brigadier General,0,Thomas,Churchill,J.,
AR006,US,David D. Porter,Acting Rear Admiral,0,David,Porter,D.,
AR006,US,John A. McClernand,Major General,0,John,McClernand,A.,
AR007,CS,John S. Marmaduke,Brigadier General,0,John,Marmaduke,S.,
AR007,US,William Vandever,Brigadier General,0,William,Vandever,,
AR008,CS,Theophilus H. Holmes,Lieutenant General,0,Theophilus,Holmes,H.,
AR008,US,Benjamin M. Prentiss,Major General,0,Benjamin,Prentiss,M.,
AR009,CS,W.L. Cabell,Brigadier General,0,W.L.,Cabell,,
AR009,US,William F. Cloud,Colonel,0,William,Cloud,F.,
AR010,CS,John S. Marmaduke,Brigadier General,0,John,Marmaduke,S.,
AR010,US,John W. Davidson,Brigadier General,0,John,Davidson,W.,
AR011,CS,John S. Marmaduke,Brigadier General,0,John,Marmaduke,S.,
AR011,US,Powell Clayton,Colonel,0,Powell,Clayton,,
AR012,CS,John S. Marmaduke,Brigadier General,0,John,Marmaduke,S.,
AR012,US,Frederick Steele,Major General,0,Frederick,Steele,,
AR013,CS,Sterling Price,Major General,0,Sterling,Price,,
AR013,US,Frederick Steele,Major General,0,Frederick,Steele,,
AR014,CS,John S. Marmaduke,Brigadier General,0,John,Marmaduke,S.,
AR014,CS,Samuel Bell Maxey,Brigadier General,0,Samuel,Maxey,Bell,
AR014,US,James M. Williams,Colonel,0,James,Williams,M.,
AR015,CS,James B. Fagan,Brigadier General,0,James,Fagan,B.,
AR015,US,Francis Drake,Lieutenant Colonel,0,Francis,Drake,,
AR016,CS,E. Kirby Smith,General,0,E.,Smith,Kirby,
AR016,US,Frederick Steele,Major General,0,Frederick,Steele,,
AR017,CS,Colton Greene,Colonel,0,Colton,Greene,,
AR017,US,Joseph A. Mower,Brigadier General,0,Joseph,Mower,A.,
CO001,I,,,0,Black Kettle,,,
CO001,US,John Chivington,Colonel,0,John,Chivington,,
DC001,CS,Jubal A. Early,Lieutenant General,0,Jubal,Early,A.,
DC001,US,Horatio G. Wright,Major General,0,Horatio,Wright,G.,
DC001,US,Alexander McDowell McCook,Major General,0,Alexander,McCook,McDowell,
FL001,CS,Richard H. Anderson,Brigadier General,0,Richard,Anderson,H.,
FL001,US,Harvey Brown,Colonel,0,Harvey,Brown,,
FL002,CS,John W. Pearson,Captain,0,John,Pearson,W.,
FL002,US,A.J. Drake,Captain (Naval),0,A.J.,Drake,,
FL003,CS,Charles F. Hopkins,Lieutenant Colonel,0,Charles,Hopkins,F.,
FL003,US,John M. Brannan,Brigadier General,0,John,Brannan,M.,
FL004,CS,John Westcott,Captain,0,John,Westcott,,
FL004,US,A. A. Semmes,Lieutenant Commander,1,A.,Semmes,A.,
FL005,CS,Joseph Finegan,Brigadier General,0,Joseph,Finegan,,
FL005,US,Truman Seymour,Brigadier General,0,Truman,Seymour,,
FL006,CS,Sam Jones,Major General,0,Sam,Jones,,
FL006,US,John Newton,Major General,0,John,Newton,,
GA001,CS,Charles H. Olmstead,Colonel,0,Charles,Olmstead,H.,
GA001,US,David Hunter,Major General,0,David,Hunter,,
GA001,US,Quincy A. Gillmore,Captain,0,Quincy,Gillmore,A.,
GA002,CS,George A. Anderson,Captain,0,George,Anderson,A.,
GA002,US,P. Drayton,Captain (Naval),0,P.,Drayton,,
GA003,CS,Thomas C. Hindman,Major General,0,Thomas,Hindman,C.,
GA003,CS,John C. Breckinridge,Major General,0,John,Breckinridge,C.,
GA003,US,James Negley,Major General,0,James,Negley,,
GA004,CS,Braxton Bragg,General,0,Braxton,Bragg,,
GA004,CS,James Longstreet,Lieutenant General,0,James,Longstreet,,
GA004,US,William S. Rosecrans,Major General,0,William,Rosecrans,S.,
GA004,US,George H. Thomas,Major General,0,George,Thomas,H.,
GA005,CS,Patrick R. Cleburne,Major General,0,Patrick,Cleburne,R.,
GA005,US,Joseph Hooker,Major General,0,Joseph,Hooker,,
GA006,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
GA006,US,George H. Thomas,Major General,0,George,Thomas,H.,
GA007,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
GA007,US,William T. Sherman,Major General,0,William,Sherman,T.,
GA008,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
GA008,US,William T. Sherman,Major General,0,William,Sherman,T.,
GA009,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
GA009,US,William T. Sherman,Major General,0,William,Sherman,T.,
GA010,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
GA010,US,William T. Sherman,Major General,0,William,Sherman,T.,
GA010,US,Joseph Hooker,Major General,0,Joseph,Hooker,,
GA011,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
GA011,US,William T. Sherman,Major General,0,William,Sherman,T.,
GA012,CS,Patrick R. Cleburne,Major General,0,Patrick,Cleburne,R.,
GA012,US,Oliver O. Howard,Major General,0,Oliver,Howard,O.,
GA013,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
GA013,US,William T. Sherman,Major General,0,William,Sherman,T.,
GA014,CS,John Bell Hood,Lieutenant General,0,John,Hood,Bell,
GA014,US,John M. Schofield,Major General,0,John,Schofield,M.,
GA014,US,Joseph Hooker,Major General,0,Joseph,Hooker,,
GA015,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
GA015,US,William T. Sherman,Major General,0,William,Sherman,T.,
GA016,CS,John Bell Hood,General,0,John,Hood,Bell,
GA016,US,George H. Thomas,Major General,0,George,Thomas,H.,
GA017,CS,John Bell Hood,General,0,John,Hood,Bell,
GA017,US,William T. Sherman,Major General,0,William,Sherman,T.,
GA018,CS,John Bell Hood,General,0,John,Hood,Bell,
