"id_from","id_to","relation"
"AL001","http://dbpedia.org/resource/Battle_of_Day's_Gap","="
"AL002","http://dbpedia.org/resource/Battle_of_Athens_(1864)","="
"AL003","http://dbpedia.org/resource/Battle_of_Mobile_Bay","="
"AL004","http://dbpedia.org/resource/Battle_of_Decatur","="
"AL005","http://dbpedia.org/resource/Battle_of_Spanish_Fort","="
"AL006","http://dbpedia.org/resource/Battle_of_Fort_Blakely","="
"AL007","http://dbpedia.org/resource/Battle_of_Selma","="
"AR001","http://dbpedia.org/resource/Battle_of_Pea_Ridge","="
"AR002","http://dbpedia.org/resource/Battle_of_Saint_Charles","="
"AR003","http://dbpedia.org/resource/Battle_of_Cotton_Plant","="
"AR004","http://dbpedia.org/resource/Battle_of_Cane_Hill","="
"AR005","http://dbpedia.org/resource/Battle_of_Prairie_Grove","="
"AR006","http://dbpedia.org/resource/Battle_of_Fort_Hindman","="
"AR007","http://dbpedia.org/resource/Battle_of_Chalk_Bluff","="
"AR008","http://dbpedia.org/resource/Battle_of_Helena","="
"AR009","http://dbpedia.org/resource/Battle_of_Devil's_Backbone","="
"AR010","http://dbpedia.org/resource/Battle_of_Bayou_Fourche","="
"AR011","http://dbpedia.org/resource/Battle_of_Pine_Bluff","="
"AR012","http://dbpedia.org/resource/Battle_of_Elkin's_Ferry","="
"AR013","http://dbpedia.org/resource/Battle_of_Prairie_D'Ane","="
"AR014","http://dbpedia.org/resource/Battle_of_Poison_Spring","="
"AR015","http://dbpedia.org/resource/Battle_of_Marks'_Mills","="
"AR016","http://dbpedia.org/resource/Battle_of_Jenkins'_Ferry","="
"AR017","http://dbpedia.org/resource/Battle_of_Old_River_Lake","="
"CO001","http://dbpedia.org/resource/Sand_Creek_massacre","="
"DC001","http://dbpedia.org/resource/Battle_of_Fort_Stevens","="
"FL001","http://dbpedia.org/resource/Battle_of_Santa_Rosa_Island","="
"FL002","http://dbpedia.org/resource/Battle_of_Tampa","="
"FL003","http://dbpedia.org/resource/Battle_of_Saint_John's_Bluff","="
"FL004","http://dbpedia.org/resource/Battle_of_Fort_Brooke","="
"FL005","http://dbpedia.org/resource/Battle_of_Olustee","="
"FL006","http://dbpedia.org/resource/Battle_of_Natural_Bridge","="
"GA001","http://dbpedia.org/resource/Battle_of_Fort_Pulaski","="
"GA002","http://dbpedia.org/resource/Battle_of_Fort_McAllister_I","="
"GA003","http://dbpedia.org/resource/Battle_of_Davis's_Cross_Roads","="
"GA004","http://dbpedia.org/resource/Battle_of_Chickamauga","="
"GA005","http://dbpedia.org/resource/Battle_of_Ringgold_Gap","="
"GA006","http://dbpedia.org/resource/First_Battle_of_Dalton","="
"GA007","http://dbpedia.org/resource/Battle_of_Rocky_Face_Ridge","="
"GA008","http://dbpedia.org/resource/Battle_of_Resaca","="
"GA009","http://dbpedia.org/resource/Battle_of_Adairsville","="
"GA010","http://dbpedia.org/resource/Battle_of_New_Hope_Church","="
"GA011","http://dbpedia.org/resource/Battle_of_Dallas","="
"GA012","http://dbpedia.org/resource/Battle_of_Pickett's_Mill","="
"GA013","http://dbpedia.org/resource/Battle_of_Marietta","="
"GA014","http://dbpedia.org/resource/Battle_of_Kolb's_Farm","="
"GA015","http://dbpedia.org/resource/Battle_of_Kennesaw_Mountain","="
"GA016","http://dbpedia.org/resource/Battle_of_Peachtree_Creek","="
"GA017","http://dbpedia.org/resource/Battle_of_Atlanta","="
"GA018","http://dbpedia.org/resource/Battle_of_Ezra_Church","="
"GA019","http://dbpedia.org/resource/Battle_of_Utoy_Creek","="
"GA020","http://dbpedia.org/resource/Second_Battle_of_Dalton","="
"GA021","http://dbpedia.org/resource/Battle_of_Lovejoy's_Station","="
"GA022","http://dbpedia.org/resource/Battle_of_Jonesborough","="
"GA023","http://dbpedia.org/resource/Battle_of_Allatoona","="
"GA025","http://dbpedia.org/resource/Battle_of_Griswoldville","="
"GA026","http://dbpedia.org/resource/Battle_of_Buck_Head_Creek","="
"GA027","http://dbpedia.org/resource/Battle_of_Waynesboro_(Georgia)","="
"GA028","http://dbpedia.org/resource/Second_Battle_of_Fort_McAllister","="
"ID001","http://dbpedia.org/resource/Bear_River_Massacre","="
"IN001","http://dbpedia.org/resource/Battle_of_Corydon","="
"KS001","http://dbpedia.org/resource/Lawrence_Massacre","="
"KS002","http://dbpedia.org/resource/Battle_of_Fort_Blair","="
"KS003","http://dbpedia.org/resource/Battle_of_Mine_Creek","="
"KS004","http://dbpedia.org/resource/Battle_of_Marais_des_Cygnes","="
"KY001","http://dbpedia.org/resource/Battle_of_Barbourville","="
"KY002","http://dbpedia.org/resource/Battle_of_Camp_Wildcat","="
"KY003","http://dbpedia.org/resource/Battle_of_Ivy_Mountain","="
"KY004","http://dbpedia.org/resource/Battle_of_Rowlett's_Station","="
"KY005","http://dbpedia.org/resource/Battle_of_Middle_Creek","="
"KY006","http://dbpedia.org/resource/Battle_of_Mill_Springs","="
"KY007","http://dbpedia.org/resource/Battle_of_Richmond","="
"KY008","http://dbpedia.org/resource/Battle_of_Munfordville","="
"KY009","http://dbpedia.org/resource/Battle_of_Perryville","="
"KY010","http://dbpedia.org/resource/Battle_of_Paducah","="
"KY011","http://dbpedia.org/resource/Battle_of_Cynthiana","="
"LA001","http://dbpedia.org/resource/Battle_of_Forts_Jackson_and_St._Philip","="
"LA002","http://dbpedia.org/resource/Capture_of_New_Orleans","="
"LA003","http://dbpedia.org/resource/Battle_of_Baton_Rouge_(1862)","="
"LA004","http://dbpedia.org/resource/First_Battle_of_Donaldsonville","="
"LA005","http://dbpedia.org/resource/Battle_of_Georgia_Landing","="
"LA006","http://dbpedia.org/resource/Battle_of_Fort_Bisland","="
"LA007","http://dbpedia.org/resource/Battle_of_Irish_Bend","="
"LA008","http://dbpedia.org/resource/Battle_of_Vermillion_Bayou","="
"LA009","http://dbpedia.org/resource/Battle_of_Plains_Store","="
"LA010","http://dbpedia.org/resource/Siege_of_Port_Hudson","="
"LA011","http://dbpedia.org/resource/Battle_of_Milliken's_Bend","="
"LA012","http://dbpedia.org/resource/Battle_of_LaFourche_Crossing","="
"LA013","http://dbpedia.org/resource/Second_Battle_of_Donaldsonville","="
"LA014","http://dbpedia.org/resource/Battle_of_Goodrich's_Landing","="
"LA015","http://dbpedia.org/resource/Battle_of_Kock's_Plantation","="
"LA016","http://dbpedia.org/resource/Battle_of_Stirling's_Plantation","="
"LA017","http://dbpedia.org/resource/Battle_of_Fort_De_Russy","="
"LA018","http://dbpedia.org/resource/Battle_of_Mansfield","="
"LA019","http://dbpedia.org/resource/Battle_of_Pleasant_Hill","="
"LA020","http://dbpedia.org/resource/Battle_of_Blair's_Landing","="
"LA021","http://dbpedia.org/resource/Battle_of_Monett's_Ferry","="
"LA022","http://dbpedia.org/resource/Battle_of_Mansura","="
"LA023","http://dbpedia.org/resource/Battle_of_Yellow_Bayou","="
"MD001","http://dbpedia.org/resource/Battle_of_Hancock","="
"MD002","http://dbpedia.org/resource/Battle_of_South_Mountain","="
"MD003","http://dbpedia.org/resource/Battle_of_Antietam","="
"MD004","http://dbpedia.org/resource/Battle_of_Williamsport","="
"MD006","http://dbpedia.org/resource/Battle_of_Boonsboro","="
"MD007","http://dbpedia.org/resource/Battle_of_Monocacy","="
"MD008","http://dbpedia.org/resource/Battle_of_Folck's_Mill","="
"MN001","http://dbpedia.org/resource/Battle_of_Fort_Ridgely","="
"MN002","http://dbpedia.org/resource/Battle_of_Wood_Lake","="
"MO001","http://dbpedia.org/resource/Battle_of_Boonville","="
"MO002","http://dbpedia.org/resource/Battle_of_Carthage_(1861)","="
"MO003","http://dbpedia.org/resource/Battle_of_Liberty","="
"MO004","http://dbpedia.org/resource/Battle_of_Wilson's_Creek","="
"MO005","http://dbpedia.org/resource/Battle_of_Dry_Wood_Creek","="
"MO006","http://dbpedia.org/resource/First_Battle_of_Lexington","="
"MO007","http://dbpedia.org/resource/Battle_of_Fredericktown","="
"MO008","http://dbpedia.org/resource/First_Battle_of_Springfield","="
"MO009","http://dbpedia.org/resource/Battle_of_Belmont","="
