battle,belligerent,description,strength,regiments,companies,brigades,divisions,corps,armies,cavalry_regiments,cavalry_brigades,cavalry_divisions,cavalry_corps,cavalry_companies,artillery_batteries,artillery_companies,artillery_regiments,artillery_sections,infantry_regiments,strength_other,ships,guns
AL001,CS,"Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana",,,,,,,,,,,1,,,,,,,,,
AL001,US,"Elements of the 51st Indiana Infantry, 73rd Indiana Infantry, 3rd Ohio Infantry, 80th Illinois Infantry, and the 1st Middle Tennessee Cavalry (5th Tennessee Volunteer Cavalry Regiment)",,4,,,,,,1,,,,,,,,,,,,
AL002,CS,"Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana",,,,,,,,,,,1,,,,,,,,,
AL002,US,"110th USCT, 102th Ohio Infantry (detachment), 18th Michigan Infantry (detachment), 111th USCT, 4th Cavalry Division",,4,,,,,,,,1,,,,,,,,,,
AL003,CS,"Buchanan’s Flotilla (CSS Tennessee, gunboats Selma, Morgan and Gaines), Fort Morgan garrison, Fort Gaines garrison, and Fort Powell garrison",,,,,,,,,,,,,,,,,,,3,
AL003,US,West Gulf Blockading Squadron and U.S. Army forces near Mobile,,,,,,,,,,,,,,,,,,,,
AL004,CS,Army of Tennessee,,,,,,,1,,,,,,,,,,,,,
AL004,US,"Garrison at Decatur; US Army Gunboat Stone River, USS General Thomas; detachments of 102 Ohio Infantry, 18th Michigan Infantry, 13th Wisconsin Infantry, 14th US Colored Infantry, 73rd Indiana Infantry, 68th Indiana Infantry, and 13th Indiana Cavalry",,7,,,,,,,,,,,,,,,,,2,
AL005,CS,Spanish Fort garrison,,,,,,,,,,,,,,,,,,,,
AL005,US,Army of West Mississippi,,,,,,,1,,,,,,,,,,,,,
AL006,CS,"Fort Blakely Garrison, CSS Huntsville, CSS Nashville, CSS Morgan",,,,,,,,,,,,,,,,,,,3,
AL006,US,Army of West Mississippi,,,,,,,1,,,,,,,,,,,,,
AL007,CS,"Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana; General Daniel W. Adams' state reserves; citizens of Selma who volunteered to man the defenses",,,,,,,,,,,1,,,,,,,,,
AL007,US,"Cavalry Corps, Military Division of the Mississippi",,,,,,,,,,,1,,,,,,,,,
AR001,CS,Army of the West,,,,,,,1,,,,,,,,,,,,,
AR001,US,Army of the Southwest,,,,,,,1,,,,,,,,,,,,,
AR002,CS,Saint Chares batteries,,,,,,,,,,,,,,,,,,,,
AR002,US,"Flotilla of the Mississippi River Squadron (USS Mound City, USS Saint Louis, USS Lexington, USS Conestoga, two transports, and a tug) and the 46th Indiana Infantry",,1,,,,,,,,,,,,,,,,,4,
AR003,CS,"12th, 16th and 17th Texas Cavalry Regiments",,,,,,,,3,,,,,,,,,,,,
AR003,US,"Portions of the 1st and 2nd Brigades, 1st Division, Army of the Southwest",,,,2,,,,,,,,,,,,,,,,
AR004,CS,Marmaduke’s Cavalry Division,,,,,,,,,,1,,,,,,,,,,
AR004,US,"1st Division, Army of the Frontier",,,,,1,,,,,,,,,,,,,,,
AR005,CS,Army of the Trans-Mississippi,,,,,,,1,,,,,,,,,,,,,
AR005,US,Army of the Frontier,,,,,,,1,,,,,,,,,,,,,
AR006,CS,Fort Hindman garrison,,,,,,,,,,,,,,,,,,,,
AR006,US,Army of the Mississippi and a flotilla of the Mississippi River Squadron,,,,,,,1,,,,,,,,,,,,,
AR007,CS,Marmaduke’s Cavalry Division,,,,,,,,,,1,,,,,,,,,,
AR007,US,"Second Division, Army of the Frontier",,,,,1,,,,,,,,,,,,,,,
AR008,CS,District of Arkansas,,,,,,,,,,,,,,,,,,,,
AR008,US,"District of Eastern Arkansas, Timberclad gunboat USS Tyler",,,,,,,,,,,,,,,,,,,1,
AR009,CS,Cabell's Brigade,,,,1,,,,,,,,,,,,,,,,
AR009,US,"2nd Kansas Cavalry, 6th Missouri Cavalry, two sections of Rabb’s 2nd Indiana Battery, and two mountain howitzers",,,,,,,,,,2,,,,,,,,,,
AR010,CS,District of Arkansas,,,,,,,,,,,,,,,,,,,,
AR010,US,"Cavalry Division, Army of Arkansas",,,,,,,,,,1,,,,,,,,,,
AR011,CS,Marmaduke’s Cavalry Division,,,,,,,,,,1,,,,,,,,,,
AR011,US,"5th Kansas Cavalry, 1st Indiana Cavalry, one company of Missouri State Militia, and 300 freedmen volunteers",,,1,,,,,2,,,,,,,,,,300,,
AR012,CS,Marmaduke’s Cavalry Division,,,,,,,,,,1,,,,,,,,,,
AR012,US,"Third Division, VII Corps, Department of Arkansas",,,,,1,,,,,,,,,,,,,,,
AR013,CS,District of Arkansas,,,,,,,,,,,,,,,,,,,,
AR013,US,"Third Division, VII Corps, Department of Arkansas",,,,,1,,,,,,,,,,,,,,,
AR014,CS,Marmaduke's Cavalry Division and Maxey's Cavalry Division,,,,,2,,,,,,,,,,,,,,,
AR014,US,"1st Kansas Volunteer Infantry (Colored) and the 18th Iowa Infantry; 6th Kansas, 2nd Kansas, and 14th Kansas Cavalry regiments; and two guns of the 2nd Indiana Battery",,2,,,,,,3,,,,,,,,,,,,2
AR015,CS,Shelby’s Division and Cabell’s Division,,,,,2,,,,,,,,,,,,,,,
AR015,US,"43rd Indiana, 36th Iowa, and 77th Ohio Infantry; 1st Indiana, 7th Missouri, and 1st Iowa Cavalry; two sections of the 2nd Missouri Light Artillery",,2,,,,,,3,,,,,,,,2,,,,
AR016,CS,"Walker's Division, the Arkansas Division, the Missouri Division, and Marmaduke's Cavalry Division, Department of Arkansas",,,,,3,,,,,1,,,,,,,,,,
AR016,US,"Third Division and elements of Thayer’s Frontier Division, Army of Arkansas",,,,,2,,,,,,,,,,,,,,,
AR017,CS,Greene's Brigade,,,,1,,,,,,,,,,,,,,,,
AR017,US,"1st and 3rd Brigades, 1st Division, XVI Corps",,,,2,,,,,,,,,,,,,,,,
