"BattlefieldCode","UnitCode","Comment","companies","batteries","detachment","section"
"GA005","UIL0015RC","Company ""K""",1,,,
"GA005","UIL0092RI","Company ""E""",1,,,
"GA005","UKY0002RI01","Detachment",,,1,
"GA005","UMO0002RAL","Battery ""F""",,1,,
"GA007","UIL0001RAL","Batteries ""C"" and ""M""",,2,,
"GA007","UIL0002RAL","Battery ""F""",,1,,
"GA007","UNY0001RAL","Batteries ""I"" and ""M""",,2,,
"GA008","UIL0001RAL","Batteries ""A,"" ""B,"" ""C,"" ""F,"" ""H"" and ""M""",,6,,
"GA008","UKY0012RI","Detachment",,,1,
"GA008","UMD0003RI","Detachment",,,1,
"GA008","UMI0001RAL","Batteries ""B,"" ""C,"" ""F"" and ""I"" ",,4,,
"GA008","UMO0001RAL","Batteries ""H"" and ""I""",,1,,
"GA008","UMO0002RAL","Battery ""F""",,1,,
"GA008","UNY0001RAL","Batteries ""I"" and ""M""",,2,,
"GA008","UOH0001RAL1","Batteries ""A,"" ""C,"" ""D"" and ""I"" ",,4,,
"GA008","UUR0002RA","Battery ""F""",,1,,
"GA012","UIL0001RAL","Battery ""C""",,1,,
"GA012","UOH0001RAL1","Battery ""I""",,1,,
"GA016","UIL0001RAL","Batteries ""C"" and ""M""",,2,,
"GA016","UIL0002RAL","Battery ""I""",,1,,
"GA016","UMD0003RI","Detachment",,,1,
"GA016","UNY0001RAL","Batteries ""I"" and ""M""",,2,,
"GA016","UOH0001RAL1","Batteries ""A,"" ""C"" and ""I"" ",,3,,
"GA019","UIL0001RAL","Battery ""C""",,1,,
"GA019","UIL0002RAL","Battery ""I""",,1,,
"GA019","UIN0044RI","*",,,,
"GA019","UMI0001RAL","Battery ""F""",,1,,
"GA019","UOH0001RAL1","Batteries ""D"" and ""I""",,2,,
"GA027","CVA0036RI","2nd Kanawha Infantry",,,,
"GA027","CVA0060RI","3rd Regiment, Wise Legion",,,,
"KS003","UMO0005RCY1","*1st/2nd Organization",,,,
"KS004","UMO0005RCY1","*1st/2nd Organization",,,,
"KY002","UOH0001RAL1","Battery ""B""",,1,,
"KY006","UOH0001RAL1","Battery ""B"" and ""C""",,2,,
"KY007","UMI0001RAL","Batteries ""F"" and ""G""",,2,,
"KY008","UIN0017RI","Detachment",,,1,
"KY008","UIN0050RI","Co's ""A,"" ""B,"" ""D,"" ""F,"" ""H""",5,,,
"KY008","UKY0028RI","Company ""I""",1,,,
"KY008","UKY0033RI","Co. ""C"" and ""G""",2,,,
"KY008","UKY0034RI","Co ""K""",1,,,
"KY008","UOH0001RAL1","Batteries ""A"" and ""D""",,2,,
"KY008","UUR0018RI","Co ""H"" 2nd Battalion",1,,,
"KY009","UIL0002RAL","Battery ""I""",,1,,
"KY009","UKY0007RI","Part of Garrard's Detachment",,,1,
"KY009","UKY0032RI","Part of Garrard's Detachment",,,1,
"KY009","UMI0001RAL","Batteries ""A"" and ""D""",,2,,
"KY009","UMO0001RAL","Battery ""G""",,1,,
"KY009","UPA0007RC","Co ""A""",1,,,
"KY009","UPA0009RC","Co ""D"" and ""F""",2,,,
"KY009","UTN0003RI01","Part of Garrard's Detachment",,,1,
"KY009","UUR0004RA","Battery ""I""",,1,,
"KY009","UUR0004RC","Co's ""B,"" ""C,"" ""D,"" ""G,"" ""I,"" ""K""",6,,,
"KY009","UUR0018RI","Parson's Provisional Battery",,1,,
"KY010","UIL0122RI","Co ""C,"" ""H,"" and ""K""",3,,,
"LA005","ULA0001RC","Co's ""A,"" ""B,"" ""C""",3,,,
"LA006","ULA0001RC","Co's ""A,"" ""B,"" ""C"" and ""E""",4,,,
"LA006","UUR0001RA","Batteries ""A,"" ""F"" and ""L""",,3,,
"LA006","UUR0002RA","Battery ""C""",,1,,
"LA007","UUR0001RA","Battery ""L""",,1,,
"LA007","UUR0002RA","Battery ""C""",,1,,
"LA008","ULA0001RC","Co ""F""",1,,,
"LA008","UUR0001RA","Battery ""L""",,1,,
"LA008","UUR0002RA","Battery ""L""",,1,,
"LA010","UMA0013YAL","*check",,,,
"LA010","UUR0001RA","Batteries ""A,"" ""F"" and ""L""",,3,,
"LA010","UUR0002RA","Battery ""C""",,1,,
"LA010","UUR0005RA","Battery ""G""",,1,,
"LA010","UUS0095RI00C","Organized at Camp Parapet, La., April 28, 1863, as the 1st Engineers, Corps d'Afrique, in August, 1863",,,,
"LA011","UUS0004RAH0C","Changed from 1st MS Colored HA to 4th US Colored HA in March 1864",,,,
"LA011","UUS0049RI00C","Listed as 11th LA Colored Infantry",,,,
"LA011","UUS0051RI00C","Listed as 1st MS Colored Infantry",,,,
"LA012","UIN0001RAH","Co ""F""",1,,,
"LA012","UMA0042RI","Detachment",,,1,
"LA012","UME0026RI","Detachment",,,1,
"LA012","UNY0025YAL","Section",,,,1
"LA015","ULA0001RC","1 co",1,,,
"LA016","UMO0006RC","Detachment",,,1,
"LA016","UNY0001RAL","Battery ""E""",,1,,
"LA017","UNY0001RAL","Battery ""M""",,1,,
"LA018","UNY0002RCU","Veteran",,,,
"LA018","UUR0005RA","Battery ""G""",,1,,
"LA019","UIA0008RI","Detachment",,,1,
"LA019","UIN0052RI","(Non Veterans)",,,,
"LA019","UMO0011RI","Detachment",,,1,
"LA019","UMO0021RI","Detachment",,,1,
"LA019","UNY0002RCU","Veteran",,,,
"LA019","URI0003RC","Detachment",,,1,
"LA019","UUR0001RA","Battery ""L""",,1,,
"LA020","UNY0001RAL","Battery ""M""",,1,,
"LA021","UNY0002RCU","Veteran",,,,
"LA021","UUR0001RA","Battery ""L""",,1,,
"LA021","UUR0005RA","Battery ""G""",,1,,
"LA022","UMO0001RAL","Batteries ""A"" and ""M""",,2,,
"LA022","UNY0002RCU","Veteran",,,,
"MD002","UIN0003RC","Co ""A"" and ""B""",2,,,
"MD002","UNY0001RAL","Battery ""L""",,1,,
"MD002","UPA0001RAL","Battery ""B""",,1,,
"MD003","UIN0003RC","Co ""A"" and ""B""",2,,,
"MD003","UMDPURNLI","organized with Rigby's Battery ""A"" Light Artillery (also involved in this campaign)",,,,
"MD003","UMI0016RI","Detachment: (Co) Brady's Sharpshooters",1,,,
"MD003","UNY0001BAL","Batteries ""A,"" ""B,"" ""C"" and ""D""",,4,,
"MD003","UNY0001RAL","Batteries ""B,"" ""G"" and ""L"" ",,3,,
"MD003","UNY0006RC","Co ""D"" and ""K""",2,,,
"MD003","UPA0001RAL","Batteries ""A,"" ""B"" and ""F""",,3,,
"MD003","URI0001RAL","Batteries ""A,"" ""B,"" ""C,"" ""D"" and ""G""",,5,,
"MD003","UUR0001RA","Batteries ""E,"" ""I"" and ""K"" ",,3,,
"MD003","UUR0002RA","* Batteries ""A,"" ""B,"" ""L,"" ""C,"" ""D,"" ""E"" and ""M"" ",,7,,
"MD003","UUR0003RA","Batteries ""C,"" ""G"" and ""L"" and ""M"" ",,4,,
"MD003","UUR0004RA","Batteries ""A,"" ""B,"" ""C,"" ""E,"" ""F"" and ""O""",,6,,
"MD003","UUR0005RA","Batteries ""A,"" ""C,"" ""D,"" ""F,"" ""I"" and ""K"" ",,6,,
"MD003","UUS0095RI00C","* 1st US Engineers (?)",,,,
"MD004","UIN0003RC","Co ""A"" and ""B""",2,,,
"MD004","UUR0001RA","Battery ""K""",,1,,
"MD004","UUR0002RA","Battery ""A"" and ""M""",,2,,
"MO001","UUR0001RA","Battery ""F""",,1,,
"MO001","UUR0002RI","Co ""B""",1,,,
"MO003","UIL0002RAL","Battery ""E""",,1,,
"MO004","UUR0001RC01","Co ""D"" and ""I""",2,,,
"MO004","UUR0001RI01","Co's ""B,"" ""C,"" and ""D""",3,,,
"MO004","UUR0002RA","Battery ""F""",,1,,
"MO004","UUR0002RC02","Co ""C""",1,,,
"MO004","UUR0002RI","Co ""B"" and ""E""",2,,,
"MO007","UIL0001RAL","Battery ""B""",,1,,
"MO007","UMO0001RAL","Battery ""A""",,1,,
"MO009","UIL0001RAL","Battery ""B""",,1,,
"MO013","UIA0003RC","Detachment",,,1,
"MO013","UMO0001RCY","Detachment",,,1,
"MO013","UMO0002RC","Detachment",,,1,
"MO013","UMO0002RCY","Detachment",,,1,
"MO013","UMO0009RCY","Detachment",,,1,
"MO019","UMO0002RAL","Battery ""L""",,1,,
"MO020","UIA0023RI","Co ""G""",1,,,
"MO020","UMO0001RAL","Batteries ""B"" and ""E""",,2,,
"MO020","UMO0002RAL","Batteries ""D"" and ""E""",,2,,
"MO021","UMO0002RAL","Battery ""H""",,1,,
"MO026","UMO0002RAL","Batteries ""H"" and ""L""",,2,,
"MO027","UMO0002RAL","Batteries ""H"" and ""L""",,2,,
"MO028","UMO0002RAL","Batteries ""H"" and ""L""",,2,,
"MO029","UMO0002RAL","Battery ""H""",,1,,
"MS002","UIA0012RI","Detachment",,,1,
"MS002","UIA0014RI","Detachment",,,1,
"MS002","UIL0002RAL","Batteries ""B"" and ""F""",,2,,
"MS002","UMI0001RAL","Battery ""C""",,1,,
"MS002","UMO0005RC","Co ""C""",1,,,
"MS002","UMO0018RI","Cos ""A,"" ""B,"" ""C"" and ""E""",4,,,
"MS002","UMO0021RI","Co ""F""",1,,,
"MS002","UOH0005RC","Cos ""E,"" ""H,"" ""I,"" ""K""",4,,,
"MS002","UUR0001RI01","Cos ""A,"" ""B,"" ""C,"" ""D,"" ""H"" and ""I""",6,,,
"MS002","UUR0002RA","Battery ""F""",,1,,
"MS003","UIL0001RAL","Batteries ""A"" and ""B""",,2,,
"MS003","UMI0001RAL","Battery ""G""",,1,,
"MS004","UIL0001RAL","Battery ""D""",,1,,
"MS004","UIL0002RAL","Batteries ""A,"" ""F,"" ""G"" and ""L""",,4,,
"MS004","UIL0011RC","Co ""G""",1,,,
"MS004","UIN0001RC","Co ""C""",1,,,
"MS004","UMI0001RAL","Batteries ""G"" and ""H""",,2,,
"MS004","UMO0001RAL","Batteries ""A,"" ""C,"" and ""M""",,3,,
"MS004","UOH0058RI","Co's ""A,"" ""B,"" ""D,"" ""F,"" ""G,"" ""H,"" ""K""",7,,,
"MS005","UIL0001RAL","Batteries ""A,"" ""B"" and ""H""",,3,,
"MS005","UMO0010RC","Co ""C""",1,,,
"MS006","UIL0002RAL","Battery ""A""",,1,,
"MS006","UIN0001RC","Co ""C""",1,,,
"MS006","UIN0004RC","Co ""C""",1,,,
"MS006","UMI0001RAL","Batteries ""G"" and ""H""",,2,,
"MS007","UIL0001RAL","Battery ""D""",,1,,
"MS007","UIL0002RAL","Battery ""L""",,1,,
"MS007","UIL0002RC","Co ""A"" and ""E""",2,,,
"MS007","UMO0001RAL","Battery ""M""",,1,,
"MS007","UMO0005RC","Co ""C""",1,,,
"MS007","UMO0024RI","Co ""F""",1,,,
"MS008","UIL0001RAL","Battery ""E""",,1,,
"MS008","UIL0002RC","Co ""A"" and ""E""",2,,,
"MS008","UIL0003RC","Co ""D""",1,,,
"MS008","UMI0001RAL","Battery ""H""",,1,,
"MS008","UMO0001RAL","Batteries ""D,"" ""G,"" ""L"" and ""M"" ",,4,,
"MS008","UMO0002RAL","Battery ""F""",,1,,
"MS008","UMO0004RC","Co ""F""",1,,,
"MS008","UMO0024RI","Co ""E""",1,,,
"MS009","UIL0001RAL","Batteries ""A,"" ""B,"" ""D"" and ""H""",,4,,
"MS009","UIL0002RAL","Battery ""L""",,1,,
"MS009","UIL0003RC","Co's ""A,"" ""E,"" ""K,"" and ""L""",4,,,
"MS009","UIN0001RC","Co ""C""",1,,,
"MS009","UIN0004RC","Co ""C""",1,,,
"MS009","UMI0001RAL","Batteries ""G"" and ""H""",,2,,
"MS009","UMO0001RAL","Batteries ""A"" and ""M""",,2,,
"MS009","UMO0004RC","Co ""F""",1,,,
"MS010","UIL0002RAL","Battery ""A""",,1,,
"MS010","UMI0001RAL","Battery ""G""",,1,,
"MS011","UIA0003RC","From June 8th",,,,
"MS011","UIA0006RI","From June 12th",,,,
"MS011","UIA0019RI","From June 11th",,,,
"MS011","UIA0020RI","From June 11th",,,,
"MS011","UIA0034RI","From June 11th",,,,
"MS011","UIA0040RI","From June 3rd",,,,
"MS011","UIL0001RAL","Batteries ""A,"" ""B,"" ""D,"" ""E"" (from June 12), ""H"" and ""I"" (from June 12)",,6,,
"MS011","UIL0002RAL","Batteries ""A,"" ""E,"" ""F,"" ""G"" (from June 30), ""K"" and ""L""",,6,,
"MS011","UIL0010RC","Co's ""A,"" ""D,"" ""G,"" and ""K""",4,,,
"MS011","UIL0011RC","Co ""G""",1,,,
"MS011","UIL0015RC","Co's ""F"" and ""I""",2,,,
"MS011","UIL0026RI","From June 12th",,,,
"MS011","UIL0037RI","From June 11th",,,,
"MS011","UIL0040RI","From June 12th",,,,
"MS011","UIL0043RI","From June 3rd",,,,
"MS011","UIL0048RI","From June 12th",,,,
"MS011","UIL0054RI","From June 3rd",,,,
"MS011","UIL0061RI","From June 3rd",,,,
"MS011","UIL0094RI","From June 11th",,,,
"MS011","UIL0106RI","From June 3rd",,,,
"MS011","UIL0126RI","From June 3rd",,,,
"MS011","UIN0001RC","Co ""C""",1,,,
"MS011","UIN0006YAL","From June 12th",,,,
"MS011","UIN0012RI01","From June 12th",,,,
"MS011","UIN0026RI","From June 11th",,,,
"MS011","UIN0097RI","From June 12th",,,,
"MS011","UIN0099RI","From June 12th",,,,
"MS011","UIN0100RI","From June 12th",,,,
"MS011","UMA0029RI","From June 14th",,,,
"MS011","UMI0001RAL","Batteries ""G"" and ""H""",,2,,
"MS011","UMI0002RI","From June 14th",,,,
"MS011","UMI0008RI","From June 14th",,,,
"MS011","UMI0012RI","From June 3rd",,,,
"MS011","UMI0016RI","From June 12th",,,,
"MS011","UMI0017RI","From June 14th",,,,
"MS011","UMI0020RI","From June 14th",,,,
"MS011","UMI0027RI","From June 14th",,,,
"MS011","UMN0003YAL","From June 3rd",,,,
"MS011","UMO0001RAL","Batteries ""A,"" ""B"" (from June 11), ""C,"" ""E"" (from June 11), ""F"" (from June 11) and ""M""",,6,,
