CampaignCode,CampaignName,CampaignDates,CampaignStartDate,CampaignEndDate,TheaterCode
LS61-01,Operations in Charleston Harbor,April 1861,1861-04-01,1861-04-30,LS
LS61-02,Operations of Gulf Blockading Squadron,October 1861,1861-10-01,1861-10-31,LS
LS62-01,Operations Against Fort Pulaski,April 1862,1862-04-01,1862-04-30,LS
LS62-02,Expedition to and Capture of New Orleans,April-May 1862,1862-04-01,1862-05-31,LS
LS62-03,Operations Against Charleston,June 1862,1862-06-01,1862-06-30,LS
LS62-04,Union Operations Against Tampa,June-July 1862,1862-06-01,1862-07-31,LS
LS62-05,Confederate Offensive Against Baton Rouge,July-August 1862,1862-07-01,1862-08-31,LS
LS62-06,"Expedition From Hilton Head, SC to St. John Bluff,",September-October 1862,1862-09-01,1862-10-31,LS
LS62-07,Operations in Lafourche District,October 1862,1862-10-01,1862-10-31,LS
LS63-01,Union Naval Attacks on Fort McAllister,March 1863,1863-03-01,1863-03-31,LS
LS63-02,Operations in West Louisiana,April 1863,1863-04-01,1863-04-30,LS
LS63-03,Operations Against Defenses of Charleston,April-September 1863,1863-04-01,1863-09-30,LS
LS63-04,Siege of Port Hudson,May-July 1863,1863-05-01,1863-07-31,LS
LS63-05,Taylor's Operations in Louisiana West of Mississip,June-September 1863,1863-06-01,1863-09-30,LS
LS63-06,Expedition to Destroy Ships in Hillsboro River,October 1863,1863-10-01,1863-10-31,LS
LS64-01,Florida Expedition,February 1864,1864-02-01,1864-02-29,LS
LS65-01,Operations in the Vicinity of St Mark's Florida,March 1865,1865-03-01,1865-03-31,LS
ME61-01,Union Blockade of Chesapeake Bay,May-June 1861,1861-05-01,1861-06-30,ME
ME61-02,Operations in Western Virginia,June-December 1861,1861-06-01,1861-12-31,ME
ME61-03,Manassas Campaign,July 1861,1861-07-01,1861-07-31,ME
ME61-04,Union Blockade of Carolina Coast,August 1861,1861-08-01,1861-08-31,ME
ME61-05,McClellan's Operations in Northern Virginia,October-December 1861,1861-10-01,1861-12-31,ME
ME61-06,Confederate Blockade of the Potomac River,October 1861-January 1862,1861-10-01,1862-01-31,ME
ME62-01,Jackson's Operations Against the B&O RR,January 1862,1862-01-01,1862-01-31,ME
ME62-02,Burnside's North Carolina Expedition,February-June 1862,1862-02-01,1862-06-30,ME
ME62-03,Jackson's Valley Campaign,March-June 1862,1862-03-01,1862-06-30,ME
ME62-04,Peninsula Campaign,March-July 1862,1862-03-01,1862-07-31,ME
ME62-05,Northern Virginia Campaign,August 1862,1862-08-01,1862-08-31,ME
ME62-06,Maryland Campaign,September 1862,1862-09-01,1862-09-30,ME
ME62-07,Fredericksburg Campaign,November-December 1862,1862-11-01,1862-12-31,ME
ME62-08,Goldsboro Expedition,December 1862,1862-12-01,1862-12-31,ME
ME63-01,Longstreet's Tidewater Operations,March-April 1863,1863-03-01,1863-04-30,ME
ME63-02,Cavalry Operations Along the Rappahannock,March 1863,1863-03-01,1863-03-31,ME
ME63-03,Chancellorsville Campaign,April-May 1863,1863-04-01,1863-05-31,ME
ME63-04,Gettysburg Campaign,June-July 1863,1863-06-01,1863-07-31,ME
ME63-05,Bristoe Campaign,October-November 1863,1863-10-01,1863-11-30,ME
ME63-06,Averell's Raid On the Virginia &Tennessee RR,November 1863,1863-11-01,1863-11-30,ME
ME63-07,Mine Run Campaign,November-December 1863,1863-11-01,1863-12-31,ME
ME64-01,Demonstration on the Rapidan River,February 1864,1864-02-01,1864-02-29,ME
ME64-02,Kilpatrick-Dahlgren Raid,March 1864,1864-03-01,1864-03-31,ME
ME64-03,Operations Against Plymouth and New Berne,April-May 1864,1864-04-01,1864-05-31,ME
ME64-04,Crook-Averell Raid on the Virginia & Tennessee,May 1864,1864-05-01,1864-05-31,ME
ME64-05,Bermuda Hundred Campaign,May 1864,1864-05-01,1864-05-31,ME
ME64-06,Grant's Overland Campaign,May-June 1864,1864-05-01,1864-06-30,ME
ME64-07,Lynchburg Campaign,May-June 1864,1864-05-01,1864-06-30,ME
ME64-08,Early's Raid and Operations Against B&O RR,June-August 1864,1864-06-01,1864-08-31,ME
ME64-09,Richmand-Petersburg Campaign,June-December 1864,1864-06-01,1864-12-31,ME
ME64-10,Sheridan's Valley Campaign,August-October 1864,1864-08-01,1864-10-31,ME
ME64-11,Expedition Against Fort Fisher,December 1864,1864-12-01,1864-12-31,ME
ME65-01,Operations Against Fort Fisher & Wilmington,January-February 1865,1865-01-01,1865-02-28,ME
ME65-02,Richmond-Petersburg Campaign Continued,January-March 1865,1865-01-01,1865-03-31,ME
ME65-03,Sheridan's Expedition to Petersburg,March 1865,1865-03-01,1865-03-31,ME
ME65-04,Appomatox Campaign,March-April 1865,1865-03-01,1865-04-30,ME
MW61-01,Confederate Offensive In Eastern Kentucky,September-December 1861,1861-09-01,1861-12-31,MW
MW61-02,Operations at the Ohio - Mississippi River Conflue,November 1861,1861-11-01,1861-11-30,MW
MW62-01,Thomas's Offensive in Eastern Kentucky,January 1862,1862-01-01,1862-01-31,MW
MW62-02,Union Penetration Up the Cumberland & Tennessee Ri,February-June 1862,1862-02-01,1862-06-30,MW
MW62-03,Joint Operations Against New Madrid Island No. 10 ,February-June 1862,1862-02-01,1862-06-30,MW
MW62-04,Confederate Heartland Offensive,June-October 1862,1862-06-01,1862-10-31,MW
MW62-05,Iuka and Corinth Operations,September-October 1862,1862-09-01,1862-10-31,MW
MW62-06,Stones River Campaign,December 1862-January 1863,1862-12-01,1863-01-31,MW
MW62-07,Forrest's Expedition Into West Tennessee,December 1862-January 1863,1862-12-01,1863-01-31,MW
MW62-08,Operations Against Vicksburg,December 1862-January 1863,1862-12-01,1863-01-31,MW
MW63-01,Grant's Operations Against Vicksburg,March-July 1863,1863-03-01,1863-07-31,MW
