BattlefieldCode,belligerent,TroopsEngaged,Casualties
AL001,Confederate,,65
AL001,US,2000,23
AL002,Confederate,100,30
AL002,US,700,20
AL003,Confederate,,1500
AL003,US,,327
AL004,Confederate,0,200
AL004,US,5000,155
AL005,Confederate,,741
AL005,US,,657
AL006,Confederate,4000,3700
AL006,US,16000,775
AL007,Confederate,5000,2700
AL007,US,13500,359
AL008,Confederate,,
AL008,US,13500,311
AR001,Confederate,14000,2000
AR001,US,10250,1384
AR002,Confederate,,40
AR002,US,,160
AR003,Confederate,,250
AR003,US,,63
AR004,Confederate,,45
AR004,US,,40
AR005,Confederate,,1317
AR005,US,,1251
AR006,Confederate,,5004
AR006,US,,1092
AR007,Confederate,,
AR007,US,,
AR008,Confederate,,1636
AR008,US,,239
AR009,Confederate,,17
AR009,US,,14
AR010,Confederate,,64
AR010,US,,72
AR011,Confederate,,40
AR011,US,,56
AR012,Confederate,,29
AR012,US,,26
AR013,Confederate,,50
AR013,US,,100
AR014,Confederate,,114
AR014,US,1100,301
AR015,Confederate,,293
AR015,US,,1500
AR016,Confederate,,1000
AR016,US,,700
AR017,Confederate,,37
AR017,US,,133
CO001,Native American,,150
CO001,US,,48
DC001,Confederate,,500
DC001,US,,373
FL001,Confederate,1200,87
FL001,US,,67
FL002,Confederate,,0
FL002,US,,0
FL003,Confederate,,
FL003,US,,
FL004,Confederate,,
FL004,US,,16
FL005,Confederate,5000,946
FL005,US,0,1860
FL006,Confederate,,25
FL006,US,,148
GA001,Confederate,,1
GA001,US,,1
GA002,Confederate,0,1
GA002,US,0,0
GA003,Confederate,,
GA003,US,,
GA004,Confederate,,18454
GA004,US,,16170
GA005,Confederate,,221
GA005,US,,507
GA006,Confederate,,140
GA006,US,,289
GA007,Confederate,,600
GA007,US,,837
GA008,Confederate,,2800
GA008,US,,2747
GA009,Confederate,,
GA009,US,,200
GA010,Confederate,,350
GA010,US,,665
GA011,Confederate,,1500
GA011,US,,380
GA012,Confederate,,450
GA012,US,,1600
GA013,Confederate,0,0
GA013,US,0,0
GA014,Confederate,,1000
GA014,US,,350
GA015,Confederate,,1000
GA015,US,,3000
GA016,Confederate,,4796
GA016,US,,1710
GA017,Confederate,,8499
GA017,US,,3641
GA018,Confederate,,4642
GA018,US,,700
GA019,Confederate,,225
GA019,US,,400
GA020,Confederate,0,0
GA020,US,0,0
GA021,Confederate,,240
GA021,US,,237
GA022,Confederate,,2000
GA022,US,,1149
GA023,Confederate,2000,897
GA023,US,1944,706
GA024,Confederate,0,0
GA024,US,0,751
GA025,Confederate,,650
GA025,US,,62
GA026,Confederate,,600
GA026,US,,46
GA027,Confederate,,250
GA027,US,,190
GA028,Confederate,,250
GA028,US,,134
ID001,Native American,,250
ID001,US,0,65
IN001,Confederate,1800,51
IN001,US,400,360
KS001,Confederate,350,
KS001,US,,150
KS002,Confederate,400,3
KS002,US,,103
KS003,Confederate,,800
KS003,US,,150
KS004,Confederate,,
KS004,US,,
KY001,Confederate,800,5
KY001,US,300,15
KY002,Confederate,,53
KY002,US,7000,43
KY003,Confederate,,263
KY003,US,,30
KY004,Confederate,1350,91
KY004,US,,40
KY005,Confederate,,65
KY005,US,,27
KY006,Confederate,5000,529
KY006,US,,262
KY007,Confederate,,600
KY007,US,,5623
KY008,Confederate,,285
KY008,US,,4148
KY009,Confederate,,3396
KY009,US,55000,4211
KY010,Confederate,3000,50
KY010,US,650,90
KY011,Confederate,,1000
KY011,US,,1092
LA001,Confederate,,782
LA001,US,,229
LA002,Confederate,,0
LA002,US,,0
LA003,Confederate,,478
LA003,US,,371
LA004,Confederate,,
LA004,US,,
LA005,Confederate,1392,229
LA005,US,4000,86
LA006,Confederate,,450
LA006,US,,224
LA007,Confederate,,
LA007,US,,355
LA008,Confederate,,
LA008,US,,
LA009,Confederate,,100
LA009,US,,150
LA010,Confederate,,7500
LA010,US,,10000
LA011,Confederate,,185
LA011,US,,652
LA012,Confederate,,219
LA012,US,838,49
LA013,Confederate,,301
LA013,US,,23
LA014,Confederate,,6
LA014,US,,150
LA015,Confederate,,33
LA015,US,,465
LA016,Confederate,,121
LA016,US,,515
LA017,Confederate,,269
LA017,US,,48
LA018,Confederate,,1000
LA018,US,,2235
LA019,Confederate,,1626
LA019,US,,1369
LA020,Confederate,,57
LA020,US,,60
LA021,Confederate,,400
LA021,US,,200
LA022,Confederate,,
LA022,US,,
LA023,Confederate,,500
LA023,US,,360
MD001,Confederate,,
MD001,US,,
MD002,Confederate,,2300
MD002,US,,2325
MD003,Confederate,,10300
MD003,US,,12400
MD004,Confederate,,254
MD004,US,,400
MD006,Confederate,,920
MD006,US,,158
MD007,Confederate,,800
MD007,US,,1294
MD008,Confederate,,30
MD008,US,,30
MN001,Native American,0,0
MN001,US,0,26
MN002,Confederate,0,25
MN002,US,0,41
MO001,Confederate,0,0
MO001,US,1700,31
MO002,Confederate,,74
MO002,US,,44
MO003,Confederate,0,0
MO003,US,600,62
MO004,Confederate,,464
MO004,US,,1317
MO005,Confederate,6000,0
MO005,US,600,14
MO006,Confederate,12000,100
MO006,US,3500,3500
MO007,Confederate,,62
MO007,US,,
MO008,Confederate,,133
MO008,US,,85
MO009,Confederate,,641
MO009,US,,607
MO011,Confederate,,80
MO011,US,450,11
MO013,Confederate,2500,368
MO013,US,1000,88
MO014,Confederate,750,
MO014,US,312,344
MO015,Confederate,,
MO015,US,800,272
MO016,Confederate,,78
MO016,US,,245
MO017,Confederate,0,34
MO017,US,0,119
MO018,Confederate,,240
MO018,US,2000,163
MO019,Confederate,,329
MO019,US,700,78
MO020,Confederate,,325
MO020,US,2000,12
MO021,Confederate,,1000
MO021,US,,800
MO023,Confederate,,
MO023,US,,
MO024,Confederate,,
MO024,US,,
MO025,Confederate,,140
MO025,US,,
MO026,Native American,,
MO026,US,,
MO027,Confederate,,1500
MO027,US,,1500
MO028,Confederate,,
MO028,US,,
MO029,Confederate,,24
MO029,US,,26
MS001,Confederate,0,594
MS001,US,0,790
MS002,Confederate,22000,4800
MS002,US,23000,2350
MS003,Confederate,,187
MS003,US,,1776
MS004,Confederate,,
MS004,US,,80
MS005,Confederate,,
MS005,US,,
MS006,Confederate,,787
MS006,US,,875
MS007,Confederate,,514
MS007,US,,442
MS008,Confederate,,850
MS008,US,,286
MS009,Confederate,,3840
MS009,US,,2441
MS010,Confederate,,1751
MS010,US,,276
MS011,Confederate,,32697
MS011,US,,4835
MS012,Confederate,,
MS012,US,,170
MS013,Confederate,,144
MS013,US,7000,388
MS014,Confederate,2000,493
MS014,US,8500,2610
MS015,Confederate,8000,1326
MS015,US,14000,647
MS016,Confederate,,1000
MS016,US,,1000
NC001,Confederate,,670
NC001,US,2000,3
NC002,Confederate,3000,2643
NC002,US,7500,264
NC003,Confederate,,609
NC003,US,,476
NC004,Confederate,,439
NC004,US,,3
NC005,Confederate,,25
NC005,US,,114
NC006,Confederate,,
NC006,US,,
NC007,Confederate,,525
NC007,US,,160
NC008,Confederate,0,0
NC008,US,0,0
NC009,Confederate,,
NC009,US,,
NC010,Confederate,,
NC010,US,,
NC011,Confederate,,
NC011,US,,
NC012,Confederate,,300
NC012,US,,2900
NC013,Confederate,,
NC013,US,,
NC014,Confederate,0,0
NC014,US,0,0
NC015,Confederate,0,2583
NC015,US,0,1059
NC016,Confederate,6600,
NC016,US,12000,
NC017,Confederate,8500,1500
NC017,US,12000,1300
NC018,Confederate,3050,86
NC018,US,1850,183
NC019,Confederate,5400,865
NC019,US,25992,682
NC020,Confederate,,2606
NC020,US,,1527
ND001,Native American,,80
ND001,US,,7
ND002,Native American,,9
ND002,US,,1
ND003,Native American,,
ND003,US,,0
ND004,Native American,,550
ND004,US,,70
ND005,Native American,,31
ND005,US,,15
NM001,Confederate,3000,187
NM001,US,2500,263
NM002,Confederate,,227
NM002,US,,132
OH001,Confederate,1700,900
OH001,US,3000,25
OH002,Confederate,400,364
OH002,US,2600,0
OK001,Confederate,1400,10
OK001,US,0,0
OK002,Confederate,1300,52
OK002,US,,412
OK003,Confederate,,40
OK003,US,,211
OK004,Confederate,,150
OK004,US,,14
OK005,Confederate,0,47
OK005,US,0,0
OK006,Confederate,1500,59
OK006,US,,21
OK007,Confederate,,134
OK007,US,3000,77
PA001,Confederate,,74
PA001,US,,154
PA002,Confederate,75054,28000
PA002,US,83289,23000
SC001,Confederate,500,4
SC001,US,80,11
SC002,Confederate,2000,204
SC002,US,6600,683
SC003,Confederate,,0
SC003,US,,0
SC004,Confederate,,14
SC004,US,,22
SC005,Confederate,,12
SC005,US,,339
SC006,Confederate,3000,18
SC006,US,3800,46
SC007,Confederate,1800,222
SC007,US,5000,1515
SC008,Confederate,,
SC008,US,,
SC009,Confederate,,100
SC009,US,413,117
SC010,Confederate,1400,50
SC010,US,5000,746
SC011,Confederate,1200,170
SC011,US,,92
TN001,Confederate,,99
TN001,US,,47
TN002,Confederate,,17000
TN002,US,,2832
TN003,Confederate,44968,10699
TN003,US,65085,13047
TN004,Confederate,,180
TN004,US,,1
TN005,Confederate,,3
TN005,US,,
TN006,Confederate,1400,150
TN006,US,,1200
TN007,Confederate,,400
TN007,US,,500
TN008,Confederate,,139
TN008,US,,2096
TN009,Confederate,,
TN009,US,,6
TN010,Confederate,0,10000
TN010,US,45000,13000
TN011,Confederate,,500
TN011,US,3000,237
TN012,Confederate,2500,855
TN012,US,800,110
TN013,Confederate,,357
TN013,US,,1600
TN014,Confederate,3500,150
TN014,US,1300,38
TN015,Confederate,,3
TN015,US,,529
TN016,Confederate,,137
TN016,US,,100
TN017,Confederate,,
TN017,US,,583
TN018,Confederate,,
TN018,US,,
TN019,Confederate,1200,165
TN019,US,0,27
TN020,Confederate,0,216
TN020,US,0,100
TN021,Confederate,,356
TN021,US,,216
TN022,Confederate,,95
TN022,US,,60
TN023,Confederate,,570
TN023,US,,400
TN024,Confederate,,6667
TN024,US,,5815
TN025,Confederate,,800
TN025,US,,15
TN026,Confederate,0,222
TN026,US,4000,115
TN027,Confederate,,
TN027,US,,151
TN028,Confederate,,
TN028,US,,150
TN029,Confederate,,165
TN029,US,,100
TN030,Confederate,2500,100
TN030,US,600,549
TN031,Confederate,2000,62
TN031,US,6000,480
TN032,Confederate,,
TN032,US,4000,
TN033,Confederate,2400,100
TN033,US,0,324
TN034,Confederate,,
TN034,US,,
TN035,Confederate,,500
TN035,US,,350
TN036,Confederate,,7300
TN036,US,,2633
TN037,Confederate,6750,214
TN037,US,8000,208
TN038,Confederate,,6500
TN038,US,,3061
TX001,Confederate,,
TX001,US,,
TX002,Confederate,,
TX002,US,,
TX003,Confederate,,50
TX003,US,,600
TX005,Confederate,,118
TX005,US,,30
TX006,Confederate,44,0
TX006,US,,350
VA001,Confederate,,
VA001,US,,
VA002,Confederate,,
VA002,US,,
VA003,Confederate,1200,8
VA003,US,3500,76
