person,surname,battle
http://dbpedia.org/resource/Ambrose_R._Wright,Wright,http://dbpedia.org/resource/Battle_of_South_Mills
http://dbpedia.org/resource/Horatio_Wright,Wright,http://dbpedia.org/resource/Battle_of_Jerusalem_Plank_Road
http://dbpedia.org/resource/Horatio_Wright,Wright,http://dbpedia.org/resource/Battle_of_Cool_Spring
http://dbpedia.org/resource/Horatio_Wright,Wright,http://dbpedia.org/resource/Battle_of_Fort_Stevens
http://dbpedia.org/resource/John_Pope_(military_officer),Pope,http://dbpedia.org/resource/Northern_Virginia_Campaign
http://dbpedia.org/resource/John_Pope_(military_officer),Pope,http://dbpedia.org/resource/Battle_of_Island_Number_Ten
http://dbpedia.org/resource/John_Pope_(military_officer),Pope,http://dbpedia.org/resource/Dakota_War_of_1862
http://dbpedia.org/resource/John_Pope_(military_officer),Pope,http://dbpedia.org/resource/Second_Battle_of_Bull_Run
http://dbpedia.org/resource/John_Pope_(military_officer),Pope,http://dbpedia.org/resource/First_Battle_of_Rappahannock_Station
http://dbpedia.org/resource/Richard_Taylor_(general),Taylor,http://dbpedia.org/resource/Skirmish_at_Alabama_Bayou
http://dbpedia.org/resource/Richard_Taylor_(general),Taylor,http://dbpedia.org/resource/Battle_of_Irish_Bend
http://dbpedia.org/resource/Richard_Taylor_(general),Taylor,http://dbpedia.org/resource/Battle_of_Mansura
http://dbpedia.org/resource/Richard_Taylor_(general),Taylor,http://dbpedia.org/resource/Battle_of_Fort_Bisland
http://dbpedia.org/resource/Truman_Seymour,Seymour,http://dbpedia.org/resource/Second_Battle_of_Fort_Wagner
http://dbpedia.org/resource/Frederick_W._Lander,Lander,http://dbpedia.org/resource/Battle_of_Hancock
http://dbpedia.org/resource/John_Baylor,Baylor,http://dbpedia.org/resource/First_Battle_of_Mesilla
http://dbpedia.org/resource/Johnson_Hagood_(governor),Hagood,http://dbpedia.org/resource/Battle_of_Port_Walthall_Junction
http://dbpedia.org/resource/Louis_M._Goldsborough,Goldsborough,http://dbpedia.org/resource/Battle_of_Roanoke_Island
http://dbpedia.org/resource/Robert_Patterson,Patterson,http://dbpedia.org/resource/Battle_of_Hoke's_Run
http://dbpedia.org/resource/Robert_Patterson,Patterson,http://dbpedia.org/resource/First_Battle_of_Bull_Run
http://dbpedia.org/resource/Benjamin_Prentiss,Prentiss,http://dbpedia.org/resource/Battle_of_Mount_Zion_Church
http://dbpedia.org/resource/Jeremiah_V._Cockrell,Cockrell,http://dbpedia.org/resource/Battle_of_Lone_Jack
http://dbpedia.org/resource/Jeremiah_V._Cockrell,Cockrell,http://dbpedia.org/resource/Skirmish_at_Island_Mound
http://dbpedia.org/resource/John_Reese_Kenly,Kenly,http://dbpedia.org/resource/Battle_of_Front_Royal
http://dbpedia.org/resource/Robert_C._Schenck,Schenck,http://dbpedia.org/resource/Battle_of_McDowell
http://dbpedia.org/resource/Robert_C._Schenck,Schenck,"http://dbpedia.org/resource/Battle_of_Vienna,_Virginia"
http://dbpedia.org/resource/Santos_Benavides,Benavides,http://dbpedia.org/resource/Battle_of_Laredo
http://dbpedia.org/resource/St._John_Richardson_Liddell,Liddell,http://dbpedia.org/resource/Battle_of_Fort_Blakely
http://dbpedia.org/resource/Stephen_Dodson_Ramseur,Ramseur,http://dbpedia.org/resource/Battle_of_Rutherford's_Farm
http://dbpedia.org/resource/Stephen_G._Burbridge,Burbridge,http://dbpedia.org/resource/Battle_of_Bayou_Bourbeux
http://dbpedia.org/resource/Stephen_G._Burbridge,Burbridge,http://dbpedia.org/resource/First_Battle_of_Saltville
http://dbpedia.org/resource/William_Mahone,Mahone,http://dbpedia.org/resource/Battle_of_Jerusalem_Plank_Road
http://dbpedia.org/resource/William_Mahone,Mahone,http://dbpedia.org/resource/Battle_of_Drewry's_Bluff
http://dbpedia.org/resource/William_Mahone,Mahone,http://dbpedia.org/resource/Battle_of_High_Bridge
http://dbpedia.org/resource/William_Mahone,Mahone,http://dbpedia.org/resource/First_Battle_of_Ream's_Station
http://dbpedia.org/resource/William_Mahone,Mahone,http://dbpedia.org/resource/Wilson–Kautz_Raid
http://dbpedia.org/resource/William_Mahone,Mahone,http://dbpedia.org/resource/Battle_of_the_Crater
http://dbpedia.org/resource/Charles_Read_(naval_officer),Read,http://dbpedia.org/resource/Battle_of_Portland_Harbor
http://dbpedia.org/resource/Charles_Read_(naval_officer),Read,http://dbpedia.org/resource/Battle_of_Baton_Rouge_(1862)
http://dbpedia.org/resource/Alfred_Thomas_Archimedes_Torbert,Torbert,http://dbpedia.org/resource/Battle_of_Old_Church
http://dbpedia.org/resource/Alfred_Thomas_Archimedes_Torbert,Torbert,http://dbpedia.org/resource/Battle_of_Tom's_Brook
http://dbpedia.org/resource/Silas_Stringham,Stringham,http://dbpedia.org/resource/Battle_of_Hatteras_Inlet_Batteries
http://dbpedia.org/resource/William_B._Bate,Bate,http://dbpedia.org/resource/Battle_of_Utoy_Creek
http://dbpedia.org/resource/William_Babcock_Hazen,Hazen,http://dbpedia.org/resource/Battle_of_Fort_McAllister_(1864)
http://dbpedia.org/resource/Gordon_Granger,Granger,http://dbpedia.org/resource/Siege_of_Fort_Morgan
http://dbpedia.org/resource/Gordon_Granger,Granger,http://dbpedia.org/resource/Siege_of_Fort_Gaines
http://dbpedia.org/resource/Gordon_Granger,Granger,http://dbpedia.org/resource/Battle_of_Franklin_(1863)
http://dbpedia.org/resource/John_P._McCown,McCown,http://dbpedia.org/resource/Battle_of_Island_Number_Ten
http://dbpedia.org/resource/Edward_Dickinson_Baker,Baker,http://dbpedia.org/resource/Battle_of_Ball's_Bluff
http://dbpedia.org/resource/Edwin_Vose_Sumner,Sumner,http://dbpedia.org/resource/Battle_of_Savage's_Station
http://dbpedia.org/resource/John_Taylor_Wood,Wood,http://dbpedia.org/resource/Battle_of_Drewry's_Bluff
http://dbpedia.org/resource/Nathan_George_Evans,Evans,http://dbpedia.org/resource/Battle_of_Ball's_Bluff
http://dbpedia.org/resource/Nathan_George_Evans,Evans,http://dbpedia.org/resource/Battle_of_Secessionville
http://dbpedia.org/resource/Nelson_A._Miles,Miles,http://dbpedia.org/resource/Battle_of_Sutherland's_Station
http://dbpedia.org/resource/Percival_Drayton,Drayton,http://dbpedia.org/resource/Battle_of_Fort_McAllister_(1863)
http://dbpedia.org/resource/Pierce_M._B._Young,Young,http://dbpedia.org/resource/Battle_of_Dingle's_Mill
http://dbpedia.org/resource/Pierce_M._B._Young,Young,http://dbpedia.org/resource/Battle_of_Vaughan_Road
http://dbpedia.org/resource/Alfred_Marmaduke_Hobby,Hobby,http://dbpedia.org/resource/Battle_of_Corpus_Christi
http://dbpedia.org/resource/George_E._Dixon,Dixon,http://dbpedia.org/resource/Sinking_of_USS_Housatonic
http://dbpedia.org/resource/James_A._Mulligan,Mulligan,http://dbpedia.org/resource/First_Battle_of_Lexington
http://dbpedia.org/resource/Emory_S._Foster,Foster,http://dbpedia.org/resource/Battle_of_Lone_Jack
http://dbpedia.org/resource/Granville_Henderson_Oury,Oury,http://dbpedia.org/resource/Siege_of_Tubac
http://dbpedia.org/resource/James_M._McIntosh,McIntosh,http://dbpedia.org/resource/Battle_of_Chustenahlah
http://dbpedia.org/resource/Samuel_P._Heintzelman,Heintzelman,http://dbpedia.org/resource/Battle_of_Oak_Grove
http://dbpedia.org/resource/David_Hunter,Hunter,http://dbpedia.org/resource/Battle_of_Lynchburg
http://dbpedia.org/resource/David_Hunter,Hunter,http://dbpedia.org/resource/Siege_of_Fort_Pulaski
http://dbpedia.org/resource/David_Hunter,Hunter,http://dbpedia.org/resource/Battle_of_Fairfax_Court_House_(June_1861)
http://dbpedia.org/resource/A._P._Hill,Hill,http://dbpedia.org/resource/Battle_of_Globe_Tavern
http://dbpedia.org/resource/A._P._Hill,Hill,http://dbpedia.org/resource/Battle_of_Jerusalem_Plank_Road
http://dbpedia.org/resource/A._P._Hill,Hill,http://dbpedia.org/resource/Second_Battle_of_Ream's_Station
http://dbpedia.org/resource/A._P._Hill,Hill,http://dbpedia.org/resource/Third_Battle_of_Petersburg
http://dbpedia.org/resource/A._P._Hill,Hill,http://dbpedia.org/resource/Battle_of_Bristoe_Station
http://dbpedia.org/resource/A._P._Hill,Hill,http://dbpedia.org/resource/Battle_of_Peebles's_Farm
http://dbpedia.org/resource/A._P._Hill,Hill,http://dbpedia.org/resource/Battle_of_Franklin's_Crossing
http://dbpedia.org/resource/Henry_Halleck,Halleck,http://dbpedia.org/resource/Battle_of_Booneville
http://dbpedia.org/resource/Henry_Halleck,Halleck,http://dbpedia.org/resource/Battle_of_Whitney's_Lane
http://dbpedia.org/resource/Beverly_Robertson,Robertson,http://dbpedia.org/resource/Battle_of_Upperville
http://dbpedia.org/resource/Beverly_Robertson,Robertson,http://dbpedia.org/resource/Fight_at_Monterey_Pass
http://dbpedia.org/resource/Beverly_Robertson,Robertson,http://dbpedia.org/resource/Battle_of_White_Hall
http://dbpedia.org/resource/Don_Carlos_Buell,Buell,http://dbpedia.org/resource/Confederate_Heartland_Offensive
http://dbpedia.org/resource/Edward_Ord,Ord,http://dbpedia.org/resource/Third_Battle_of_Petersburg
http://dbpedia.org/resource/Edward_Ord,Ord,http://dbpedia.org/resource/Battle_of_Dranesville
http://dbpedia.org/resource/George_Crook,Crook,http://dbpedia.org/resource/Battle_of_Berryville
http://dbpedia.org/resource/George_Crook,Crook,http://dbpedia.org/resource/Battle_of_Cumberland_Church
http://dbpedia.org/resource/George_Crook,Crook,http://dbpedia.org/resource/Battle_of_Amelia_Springs
http://dbpedia.org/resource/George_Crook,Crook,http://dbpedia.org/resource/Battle_of_Cloyd's_Mountain
http://dbpedia.org/resource/George_Crook,Crook,http://dbpedia.org/resource/Second_Battle_of_Kernstown
http://dbpedia.org/resource/George_Crook,Crook,http://dbpedia.org/resource/Wheeler's_October_1863_Raid
http://dbpedia.org/resource/John_F._Reynolds,Reynolds,http://dbpedia.org/resource/Battle_of_Gettysburg
http://dbpedia.org/resource/John_S._Mosby,Mosby,http://dbpedia.org/resource/Action_at_Accotink
http://dbpedia.org/resource/John_S._Mosby,Mosby,http://dbpedia.org/resource/Fight_at_Aldie
http://dbpedia.org/resource/John_S._Mosby,Mosby,http://dbpedia.org/resource/Second_Dranesville
http://dbpedia.org/resource/John_S._Mosby,Mosby,http://dbpedia.org/resource/The_Harmony_Skirmish
http://dbpedia.org/resource/John_S._Mosby,Mosby,http://dbpedia.org/resource/Battle_of_Loudoun_Heights
http://dbpedia.org/resource/Lloyd_Tilghman,Tilghman,http://dbpedia.org/resource/Battle_of_Coffeeville
http://dbpedia.org/resource/Lloyd_Tilghman,Tilghman,http://dbpedia.org/resource/Battle_of_Fort_Henry
http://dbpedia.org/resource/Richard_S._Ewell,Ewell,http://dbpedia.org/resource/Battle_of_Chaffin's_Farm
http://dbpedia.org/resource/Richard_S._Ewell,Ewell,http://dbpedia.org/resource/Battle_of_Sailor's_Creek
http://dbpedia.org/resource/Richard_S._Ewell,Ewell,http://dbpedia.org/resource/Battle_of_Totopotomoy_Creek
http://dbpedia.org/resource/Richard_S._Ewell,Ewell,http://dbpedia.org/resource/Battle_of_Cross_Keys
http://dbpedia.org/resource/Richard_S._Ewell,Ewell,http://dbpedia.org/resource/First_Battle_of_Deep_Bottom
http://dbpedia.org/resource/Richard_S._Ewell,Ewell,http://dbpedia.org/resource/Harris_Farm_Engagement
http://dbpedia.org/resource/Richard_S._Ewell,Ewell,http://dbpedia.org/resource/Battle_of_Morton's_Ford
http://dbpedia.org/resource/Richard_S._Ewell,Ewell,http://dbpedia.org/resource/Second_Battle_of_Winchester
http://dbpedia.org/resource/Richard_S._Ewell,Ewell,http://dbpedia.org/resource/Battle_of_Fairfax_Court_House_(June_1861)
http://dbpedia.org/resource/Richard_S._Ewell,Ewell,http://dbpedia.org/resource/Manassas_Station_Operations_(Stonewall_Jackson)
http://dbpedia.org/resource/William_J._Hardee,Hardee,http://dbpedia.org/resource/Battle_of_Jonesborough
http://dbpedia.org/resource/William_Rosecrans,Rosecrans,http://dbpedia.org/resource/Battle_of_Chickamauga
http://dbpedia.org/resource/William_Rosecrans,Rosecrans,http://dbpedia.org/resource/Battle_of_Hoover's_Gap
http://dbpedia.org/resource/William_Rosecrans,Rosecrans,http://dbpedia.org/resource/Battle_of_Iuka
http://dbpedia.org/resource/William_Rosecrans,Rosecrans,http://dbpedia.org/resource/Tullahoma_Campaign
http://dbpedia.org/resource/William_Rosecrans,Rosecrans,http://dbpedia.org/resource/Battle_of_Carnifex_Ferry
http://dbpedia.org/resource/William_Rosecrans,Rosecrans,http://dbpedia.org/resource/Battle_of_Rich_Mountain
http://dbpedia.org/resource/Hugh_Judson_Kilpatrick,Kilpatrick,http://dbpedia.org/resource/Battle_of_Lovejoy's_Station
http://dbpedia.org/resource/Hugh_Judson_Kilpatrick,Kilpatrick,http://dbpedia.org/resource/Battle_of_Hanover
http://dbpedia.org/resource/Hugh_Judson_Kilpatrick,Kilpatrick,http://dbpedia.org/resource/Battle_of_Buckland_Mills
http://dbpedia.org/resource/Hugh_Judson_Kilpatrick,Kilpatrick,http://dbpedia.org/resource/Fight_at_Monterey_Pass
http://dbpedia.org/resource/Hugh_Judson_Kilpatrick,Kilpatrick,http://dbpedia.org/resource/Battle_of_Walkerton
http://dbpedia.org/resource/Hugh_Judson_Kilpatrick,Kilpatrick,http://dbpedia.org/resource/Battle_of_Aldie
http://dbpedia.org/resource/Hugh_Judson_Kilpatrick,Kilpatrick,http://dbpedia.org/resource/Battle_of_Buck_Head_Creek
http://dbpedia.org/resource/James_Montgomery_(colonel),Montgomery,http://dbpedia.org/resource/Raid_at_Combahee_Ferry
http://dbpedia.org/resource/Alexander_Alderman_Semmes,Semmes,http://dbpedia.org/resource/Battle_of_Fort_Brooke
http://dbpedia.org/resource/Benjamin_Huger_(general),Huger,http://dbpedia.org/resource/Battle_of_Oak_Grove
http://dbpedia.org/resource/John_Newton_(engineer),Newton,http://dbpedia.org/resource/Battle_of_Natural_Bridge
http://dbpedia.org/resource/Matthew_Butler,Butler,http://dbpedia.org/resource/Battle_of_Old_Church
http://dbpedia.org/resource/Matthew_Butler,Butler,http://dbpedia.org/resource/Battle_of_Vaughan_Road
http://dbpedia.org/resource/William_B._Taliaferro,Taliaferro,http://dbpedia.org/resource/Second_Battle_of_Fort_Wagner
http://dbpedia.org/resource/John_Echols,Echols,http://dbpedia.org/resource/Battle_of_Droop_Mountain
http://dbpedia.org/resource/David_McMurtrie_Gregg,Gregg,http://dbpedia.org/resource/Battle_of_Haw's_Shop
http://dbpedia.org/resource/David_McMurtrie_Gregg,Gregg,http://dbpedia.org/resource/Battle_of_Saint_Mary's_Church
http://dbpedia.org/resource/David_McMurtrie_Gregg,Gregg,http://dbpedia.org/resource/Battle_of_Middleburg
http://dbpedia.org/resource/David_McMurtrie_Gregg,Gregg,http://dbpedia.org/resource/Battle_of_Vaughan_Road
http://dbpedia.org/resource/James_Conner_(general),Conner,http://dbpedia.org/resource/Action_at_Abraham's_Creek
http://dbpedia.org/resource/James_M._Shackelford,Shackelford,http://dbpedia.org/resource/Battle_of_Bean's_Station
http://dbpedia.org/resource/James_M._Shackelford,Shackelford,http://dbpedia.org/resource/Battle_of_Salineville
http://dbpedia.org/resource/Robert_Byington_Mitchell,Mitchell,http://dbpedia.org/resource/Wheeler's_October_1863_Raid
http://dbpedia.org/resource/Roswell_S._Ripley,Ripley,http://dbpedia.org/resource/Second_Battle_of_Charleston_Harbor
http://dbpedia.org/resource/William_Lamb_(Confederate_States_Army_officer),Lamb,http://dbpedia.org/resource/Wilmington_Campaign
http://dbpedia.org/resource/William_Lamb_(Confederate_States_Army_officer),Lamb,http://dbpedia.org/resource/Second_Battle_of_Fort_Fisher
http://dbpedia.org/resource/William_T._Glassell,Glassell,http://dbpedia.org/resource/Attack_on_USS_New_Ironsides
http://dbpedia.org/resource/Andrew_A._Humphreys,Humphreys,http://dbpedia.org/resource/Battle_of_Cumberland_Church
http://dbpedia.org/resource/Andrew_A._Humphreys,Humphreys,http://dbpedia.org/resource/Battle_of_Hatcher's_Run
http://dbpedia.org/resource/Andrew_A._Humphreys,Humphreys,http://dbpedia.org/resource/Battle_of_High_Bridge
http://dbpedia.org/resource/David_B._Birney,Birney,http://dbpedia.org/resource/Battle_of_Jerusalem_Plank_Road
http://dbpedia.org/resource/David_B._Birney,Birney,http://dbpedia.org/resource/Battle_of_Darbytown_and_New_Market_Roads
http://dbpedia.org/resource/Marcus_Reno,Reno,http://dbpedia.org/resource/The_Harmony_Skirmish
http://dbpedia.org/resource/Richard_H._Anderson,Anderson,http://dbpedia.org/resource/Battle_of_Santa_Rosa_Island
http://dbpedia.org/resource/Richard_H._Anderson,Anderson,http://dbpedia.org/resource/Battle_of_Manassas_Gap
http://dbpedia.org/resource/Richard_H._Anderson,Anderson,http://dbpedia.org/resource/Battle_of_Berryville
http://dbpedia.org/resource/Richard_H._Anderson,Anderson,http://dbpedia.org/resource/Battle_of_Summit_Point
http://dbpedia.org/resource/Richard_H._Anderson,Anderson,http://dbpedia.org/resource/First_Battle_of_Deep_Bottom
http://dbpedia.org/resource/Richard_H._Anderson,Anderson,http://dbpedia.org/resource/Battle_of_Darbytown_Road
http://dbpedia.org/resource/John_M._Palmer_(politician),Palmer,http://dbpedia.org/resource/Battle_of_Utoy_Creek
http://dbpedia.org/resource/Henry_H._Wells,Wells,http://dbpedia.org/resource/Action_at_Accotink
http://dbpedia.org/resource/Charles_W._Pickering_(United_States_Navy_officer),Pickering,http://dbpedia.org/resource/Sinking_of_USS_Housatonic
http://dbpedia.org/resource/John_Porter_Hatch,Hatch,http://dbpedia.org/resource/Battle_of_Honey_Hill
http://dbpedia.org/resource/John_T._Hughes,Hughes,http://dbpedia.org/resource/First_Battle_of_Independence
http://dbpedia.org/resource/Henry_Marchmore_Shaw,Shaw,http://dbpedia.org/resource/Battle_of_Roanoke_Island
http://dbpedia.org/resource/Melancton_Smith_(1810–1893),Smith,http://dbpedia.org/resource/Battle_of_Albemarle_Sound
