battle_id,event_type,state,year,battle_name,start_date,end_date,text,casualties,killed,wounded,killed_wounded,missing_captured
,,AZ,1862,"Affair, Picacho Pass",April 15,April 16,(Mo Reports.),,,,,
,,AZ,1862,Occupation of Tucson,May 20,May 21,CALIFORNIA--1st Infantry.,,,,,
,,AZ,1862,"Affair, San Pedro Crossing",Sept. 21,Sept. 22,CALIFORNIA--1st Cavalry (Detachment).,,,,,
,,AZ,1863,Skirmish near Fort Bowie,April 25,April 26,CALIFORNIA--1st Cavalry (Detachment).,,,,,
,,AZ,1863,"Affair, San Pedro Crossing",Aug. 22,Aug. 22,CALIFORNIA--1st Cavalry (Detachment).,,,,,
,,AZ,1863,"Affair, Fort Bowie",Aug. 27,Aug. 27,"CALIFORNIA--1st Cavalry (Co. ""E"").",,,,,
,,AZ,1863,"Skirmishes, Chiricahua Mts",Sept. 8,Sept. 9,CALIFORNIA--5th Infantry (Detachments).,,,,,
,,AZ,1864,"Skirmish, Pinos Altos",Feb. 27,Feb. 28,CALIFORNIA--5th Infantry.,,,,,
,,AZ,1864,Expedition to Gila Ever,May 25,July 13,"CALIFORNIA--1st Cavalry (Detachments Cos. ""C,"" ""F"" and ""L""); 5th Infantry (Detachments Cos. ""E,"" ""I"" and ""K"").",,,,,
,,AZ,1864,"Skirmishes, San Carlos River",June 7,June 8,"NEW MEXICO--1st Cavalry (Cos. ""B"" and ""F"").",,,,,
,,AZ,1864,Scout in Southeastern Arizona,July 6,July 24,"CALIFORNIA--1st Cavalry (Co. ""C""); 1st (Co. ""D"") and 5th (Co. ""A"") Infantry.",,,,,
,,AZ,1864,Expedition to Pinal Mountains,July 18,Aug 17,"CALIFORNIA--1st Cavalry (Co. ""E""); 5th Infantry (Co. ""E""). NEW MEXICO---1st Infantry (Co. ""I"").",,,,,
,,AZ,1864,Expedition to Pinal Creek,Aug. 1,Aug 5,NEW MEXICO--1st Infantry.,,,,,
,,AZ,1864,Expedition in Central Arizona,Dec. 10,Dec 23,"NEW MEXICO--1st Cavalry (Co. ""K"").",,,,,
,,AZ,1864,"Skirmish, Hassayampa Creek",Dec. 15,Dec 15,"NEW MEXICO---1st Cavalry (Co. ""K"").",,,,,
,,AZ,1864,Expedition in Central Arizona,Dec. 26,Jan. 1,NEW MEXICO--1st Cavalry (Detachment). UNITED,,,,,
,,AZ,1865,"Skirmish, Sycamore Springs",Jan. 1,Jan 1,"NEW MEXICO---1st Cavalry (Detachment). UNITED STATES--5th Infantry (Co. ""F"").",,,,,
,,AZ,1865,"Skirmish, Fort Buchanan",Feb. 17,Feb 17,CALIFORNIA--1st Cavalry (Detachment).,,,,,
,,AZ,1865,Expedition from Fort Bowie to Gila River,June 26,July 6,"CALIFORNIA--1st Cavalry (Detachments Cos. ""F,"" ""L"" and ""M"").",,,,,
,,AZ,1865,"Skirmish, Cottonwood Creek",July 3,July 3,"CALIFORNIA--1st Cavalry (Detachments Cos. ""F,"" ""L"" and ""M"").",,,,,
,,AZ,1865,"Skirmish, Cavalry Canon",July 4,July 4,"CALIFORNIA--1st Cavalry (Detachments Cos. ""F,"" ""L"" and ""M"").",,,,,
,,AZ,1865,Expedition from Fort Bowie to Maricopa Wells ,July 10,July 21,CALIFORNIA--1st Cavalry (Detachment).,,,,,
,,CO,1863,Skirmish near Squirrel River Crossing.,April 11,April 11,COLORADO--3d Infantry (Detachment).,,,,,
,,CO,1863,Scout from Fort Garland,Oct. 12,Oct 16,COLORADO--McLane's Battery Light Arty. (Detachment).,,,,,
,,CO,1864,"Expedition from Denver to Republican River, Kansas",April 8,April 23,"COLORADO--1st Cavalry (Co. ""D""); McLane's Battery Light Arty.",,,,,
,,CO,1864,"Skirmish, Fremont's Orchard",April 12,April 12,"COLORADO--1st Cavalry (Cos. ""C"" and ""H""). Union loss, 2 killed, 4 wounded. Total, 6.",,,,,
,,CO,1864,Expedition from Camp Sanborn to Beaver Creek. Kansas,April 14,April 14,"COLORADO--1st Cavalry (Cos. ""C"" and ""H"").",,,,,
,,CO,1864,"Skirmish, Cedar Bluffs",May 3,May 3,"COLORADO--1st Cavalry (Cos. ""C"" and ""H""). Union loss, 1 killed, 1 wounded. Total, 2.",,,,,
,,CO,1864,Scout from American Ranch to Cedar Bluffs ,May 9,May 10,COLORADO---1st Cavalry.,,,,,
,,CO,1864,Scout on South Platte River,July 17,July 28,COLORADO--2d Cavalry.,,,,,
,,CO,1864,Affair near Fort Lyon,Aug. 7,Aug 7,"COLORADO---1st Cavalry (Cos. ""D,"" ""G"" and ""K"").",,,,,
,,CO,1864,Skirmish near Sand Creek,Aug. 11,Aug 11,"COLORADO--1st Cavalry (Cos. ""D,"" ""G"" and ""K"").",,,,,
,,CO,1864,"Scout on Fort Union Road, near Fort Garland ",Aug. 12,Aug 16,COLORADO--1st Cavalry (Detachment).,,,,,
,,CO,1864,"Skirmish, Atkins' Ranch",Aug. 22,Aug 22,COLORADO---1st Cavalry.,,,,,
,,CO,1864,Skirmish near Valley Station,Oct. 10,Oct 10,COLORADO---3d Cavalry (Detachment).,,,,,
,,CO,1864,Affairs near Fort Lyon,Nov. 6,Nov 16,COLORADO---1st Cavalry.,,,,,
,,CO,1864,Engagement on Sand Creek,Nov. 29,Nov 29,"COLORADO---1st and 3d Cavalry. Union loss, 3 killed, 21 wounded, Total, 24.",,,,,
,,CO,1865,"Skirmish, Valley Station",Jan. 7,Jan 7,COLORADO--1st Cavalry.,,,,,
,,CO,1865,"Skirmish, Julesburg",Jan. 7,Jan 7,"IOWA--7th Cavalry (1 Co.). Union loss, 14 killed, 2 wounded. Total, 16.",,,,,
,,CO,1865,"Skirmish, Godfrey's Ranch",Jan. 14,Jan 14,COLORADO--2d Cavalry (Detachment).,,,,,
,,CO,1865,"Skirmish, Valley Station",Jan. 14,Jan 14,"COLORADO--1st Cavalry (Co. ""C"").",,,,,
,,CO,1865,"Skirmish, Morrison's, or American Ranch",Jan. 14,Jan 14,"COLORADO--1st Cavalry (Co. ""C"").",,,,,
,,CO,1865,Operations on Overland Stage Route between Denver and Julesburg,Jan. 14,Jan 25,COLORADO--1st and 2d (Detachment)Cavalry. NEBRASKA--1st Cavalry. OHIO--11th Cavalry.,,,,,
,,CO,1865,"Skirmish, Wisconsin Ranch",Jan. 15,Jan 15,"COLORADO---1st Cavalry (Co. ""C"").",,,,,
,,CO,1865,"Skirmish, Gittrell's Ranch",Jan. 15,Jan 15,Ranchmen.,,,,,
,,CO,1865,"Skirmish, Moore's Ranch",Jan. 25,Jan 25,Ranchmen.,,,,,
,,CO,1865,"Skirmish, Lillian Springs Ranch",Jan. 26,Jan 26,Ranchmen.,,,,,
,,CO,1865,Skirmish near Valley Station,Jan. 28,Jan 28,Ranchmen.,,,,,
,,CO,1865,"Affair, Julesburg",Feb. 2,Feb 2,IOWA--7th Cavalry (1 Co.). Attack on Overland Stage Station.,,,,,
,,CO,1865,Operations on North Platte River,Feb. 2,Feb 18,NEBRASKA--1st Cavalry. OHIO--11th Cavalry.,,,,,
,,CO,1865,"Affair, Fort Garland",April 1,April 1,Indian attack.,,,,,
