"","battle_id","event_type","state","year","battle_name","start_date","end_date","text","casualties","killed","wounded","killed_wounded","missing_captured"
"1",NA,"Affair","AZ",1862,"April 16: Affair, Picacho Pass",1862-04-16,1862-04-16,"(Mo Reports.)","","","","",NA
"2",NA,"Occupation","AZ",1862,"May 16: Occupation of Tucson",1862-05-16,1862-05-16,"CALIFORNIA--1st Infantry.","","","","",NA
"3",NA,"Affair","AZ",1862,"Sept. 21: Affair, San Pedro Crossing",1862-09-21,1862-09-21,"CALIFORNIA--1st Cavalry (Detachment).","","","","",NA
"4",NA,"Skirmish","AZ",1863,"April 16: Skirmish near Fort Bowie",1863-04-16,1863-04-16,"CALIFORNIA--1st Cavalry (Detachment).","","","","",NA
"5",NA,"Affair","AZ",1863,"Aug. 22: Affair, San Pedro Crossing",1863-08-22,1863-08-22,"CALIFORNIA--1st Cavalry (Detachment).","","","","",NA
"6",NA,"Affair","AZ",1863,"Aug. 27: Affair, Fort Bowie",1863-08-27,1863-08-27,"CALIFORNIA--1st Cavalry (Co. ""E"").","","","","",NA
"7",NA,"Skirmishes","AZ",1863,"Sept. 8: Skirmishes, Chiricahua Mts",1863-09-08,1863-09-08,"CALIFORNIA--5th Infantry (Detachments).","","","","",NA
"8",NA,"Skirmish","AZ",1864,"Feb. 27: Skirmish, Pinos Altos",1864-02-27,1864-02-27,"CALIFORNIA--5th Infantry.","","","","",NA
"9",NA,"Expedition","AZ",1864,"May 16: Expedition to Gila Ever",1864-05-16,1864-05-16,"CALIFORNIA--1st Cavalry (Detachments Cos. ""C,"" ""F"" and ""L""); 5th Infantry (Detachments Cos. ""E,"" ""I"" and ""K"").","","","","",NA
"10",NA,"Skirmishes","AZ",1864,"June 16: Skirmishes, San Carlos River",1864-06-16,1864-06-16,"NEW MEXICO--1st Cavalry (Cos. ""B"" and ""F"").","","","","",NA
"11",NA,"Scout","AZ",1864,"July 16: Scout in Southeastern Arizona",1864-07-16,1864-07-16,"CALIFORNIA--1st Cavalry (Co. ""C""); 1st (Co. ""D"") and 5th (Co. ""A"") Infantry.","","","","",NA
