year,date,event1,event2,event3,event4,event5,event6,event7,event8,
1860,Thurs 20 Dec,South Carolina seceded,,,,,,,,
1861,Wed 9 Jan,Mississippi seceded,,,,,,,,
1861,Thurs 10 Jan,Florida seceded,,,,,,,,
1861,Fri 11 Jan,Alabama seceded,,,,,,,,
1861,Sat 19 Jan,Georgia seceded,,,,,,,,
1861,Sat 26 Jan,Louisiana seceded,,,,,,,,
1861,Tues 29 Jan,Kansas admitted to the Union,,,,,,,,
1861,Fri 1 Feb,Texas seceded,,,,,,,,
1861,Mon 18 Feb,"Inauguration of Jefferson Davis as Provisional President of the C.S.A. at Montgomery, Ala. @ David E. Twiggs surrendered the Dept, of Texas to the State of Texas ",,,,,,,,
1861,Thurs 28 Feb,Colorado Territory organized,,,,,,,,
1861,Sat 2 Mar,Nevada Territory and Dakota Territory organized,,,,,,,,
1861,Mon 4 Mar,"Inauguration of Abraham Lincoln as President of the United States at Washington, D.C.  ",,,,,,,,
1861,Fri 12 Apr,"Fort Sumter, S.C.",,,,,,,,
1861,Sat 13 Apr,"Fort Sumter, S.C.",,,,,,,,
1861,Wed 17 Apr,Virginia seceded,,,,,,,,
1861,Thurs 18 Apr,"Harpers Ferry I, Va.",,,,,,,,
1861,Fri 19 Apr,"Riot in Baltimore, Md.@ Naval blockade of southern ports",,,,,,,,
1861,Sat 20 Apr,"Gosport Navy Yard, Va. (Norfolk I)",,,,,,,,
1861,Tues 23 Apr,"San Antonio, Tex.",,,,,,,,
1861,Thurs 25 Apr,"Port Lavaca and Saluria, Tex.@ Fort Smith I, Ark.",,,,,,,,
1861,Mon 6 May,Arkansas and Tennessee seceded,,,,,,,,
1861,Thurs 9 May,"San Lucas Springs, Tex.",,,,,,,,
1861,Fri 10 May,"Camp Jackson, Mo.",,,,,,,,
1861,Mon 20 May,North Carolina seceded,,,,,,,,
1861,Sat 1 June,"Fairfax Court House I, Va.",,,,,,,,
1861,Mon 3 June,"Philippi, Va.",,,,,,,,
1861,Mon 10 June,"Big Bethel, Va. (Great Bethel, Bethel Church)",,,,,,,,
1861,Thurs 13 June,"Romney, Va.",,,,,,,,
1861,Mon 17 June,"Vienna, Va.@ Boonville I, Mo.",,,,,,,,
1861,Tues 2 July,"Falling Waters, Va. (Hainesville, Hoke's Run)",,,,,,,,
1861,Fri 5 July,"Carthage I, Mo. (Dry Forks)",,,,,,,,
1861,Wed 10 July,"Laurel Hill I, Va.",,,,,,,,
1861,Thurs 11 July,"Rich Mountain, Va.@ Laurel Hill I, Va.",,,,,,,,
1861,Fri 12 July,"Laurel Hill I, Va. Beverly I, Va.",,,,,,,,
1861,Sat 13 July,"Laurel Hill I, Va.@  Beverly I, Va.@  Corrick's Ford, Va. (Cheat River)",,,,,,,,
1861,Wed 17 July,"Scarey Creek, Va.",,,,,,,,
1861,Thurs 18 July,"Blackburn's Ford, Va.",,,,,,,,
1861,Sun 21 July,"Bull Run I, Va. (Manassas I)",,,,,,,,
1861,Sat 27 July,"St. Augustine Springs, N.Mex. Terr. (Fort Fillmore)",,,,,,,,
1861,Fri 2 Aug,"Dug Springs, Mo. (Dry Creek)",,,,,,,,
1861,Wed 7 Aug,"Hampton, Va.",,,,,,,,
1861,Sat 10 Aug,"Wilson's Creek, Mo. (Oak Hills, Springfield)",,,,,,,,
1861,Tues 27 Aug,"Cape Hatteras Expedition commenced (Pamlico Sound, N.C.@ Forts Clark and Hatteras, N.C.@ USS Minnesota and seven other ships)",,,,,,,,
1861,Wed 28 Aug,Cape Hatteras Expedition,,,,,,,,
1861,Thurs 29 Aug,Cape Hatteras Expedition ended,,,,,,,,
1861,Tues 10 Sept,"Camifix Ferry, Va.",,,,,,,,
1861,Wed 11 Sept,"Cheat Mountain Campaign, Va. commenced",,,,,,,,
1861,Thurs 12 Sept,"Cheat Mountain Campaign, Va. (Elkwater, Greenbrier River)@  Siege of Lexington, Mo. commenced",,,,,,,,
1861,Fri 13 Sept,"Cheat Mountain Campaign, Va. ","Siege of Lexington, Mo.",,,,,,,
1861,Sat 14 Sept,"Cheat Mountain Campaign, Va.@ Siege of Lexington, Mo.",,,,,,,,
1861,Sun 15 Sept,"Cheat Mountain Campaign, Va.@ Siege of Lexington, Mo.",,,,,,,,
1861,Mon 16 Sept,"Cheat Mountain Campaign, Va. (Princeton)@ Siege of Lexington, Mo.",,,,,,,,
1861,Tues 17 Sept,"Cheat Mountain Campaign, Va.@ ended Siege of Lexington, Mo.",,,,,,,,
1861,Wed 18 Sept,"Siege of Lexington, Mo.",,,,,,,,
1861,Thurs 19 Sept,"Siege of Lexington, Mo.",,,,,,,,
1861,Fri 20 Sept,"Siege of Lexington, Mo. ended",,,,,,,,
1861,Thurs 3 Oct,"Greenbrier River, Va.",,,,,,,,
