from,to,relation
Battle_of_Day's_Gap,AL001,=
Battle_of_Athens_(1864),AL002,=
Battle_of_Mobile_Bay,AL003,=
Battle_of_Decatur,AL004,=
Battle_of_Spanish_Fort,AL005,=
Battle_of_Fort_Blakely,AL006,=
Battle_of_Selma,AL007,=
Battle_of_Sulphur_Creek_Trestle,AL008,=
Battle_of_Pea_Ridge,AR001,=
Battle_of_Saint_Charles,AR002,=
Battle_of_Cotton_Plant,AR003,=
Battle_of_Cane_Hill,AR004,=
Battle_of_Prairie_Grove,AR005,=
Battle_of_Fort_Hindman,AR006,=
Battle_of_Chalk_Bluff,AR007,=
Battle_of_Helena,AR008,=
Battle_of_Devil's_Backbone,AR009,=
Battle_of_Bayou_Fourche,AR010,=
Battle_of_Pine_Bluff,AR011,=
Battle_of_Elkin's_Ferry,AR012,=
Battle_of_Prairie_D'Ane,AR013,=
Battle_of_Poison_Spring,AR014,=
Battle_of_Marks'_Mills,AR015,=
Battle_of_Jenkins'_Ferry,AR016,=
Battle_of_Old_River_Lake,AR017,=
Battle_of_Bayou_Meto,AR018,=
Battle_of_Fort_Stevens,DC001,=
Battle_of_Santa_Rosa_Island,FL001,=
Battle_of_Tampa,FL002,=
Battle_of_Saint_John's_Bluff,FL003,=
Battle_of_Fort_Brooke,FL004,=
Battle_of_Olustee,FL005,=
Battle_of_Natural_Bridge,FL006,=
Battle_of_Fort_Pulaski,GA001,=
Battle_of_Fort_McAllister_(1863),GA002,=
Battle_of_Davis's_Cross_Roads,GA003,=
Battle_of_Chickamauga,GA004,=
Battle_of_Ringgold_Gap,GA005,=
First_Battle_of_Dalton,GA006,=
Battle_of_Rocky_Face_Ridge,GA007,=
Battle_of_Resaca,GA008,=
Battle_of_Adairsville,GA009,=
Battle_of_New_Hope_Church,GA010,=
Battle_of_Dallas,GA011,=
Battle_of_Pickett's_Mill,GA012,=
Battle_of_Marietta,GA013,=
Battle_of_Kolb's_Farm,GA014,=
Battle_of_Kennesaw_Mountain,GA015,=
Battle_of_Peachtree_Creek,GA016,=
Battle_of_Atlanta,GA017,=
Battle_of_Ezra_Church,GA018,=
