battle_id,belligerent,battle_name,state,killed,wounded,missing,casualties,cavalry,start_date,end_date,orig_id
U1,US,"Big Bethel, Va.",VA,18,53,5,76,0,1861-6-10,1861-6-10,U1
U2,US,"Carthage, Mo.",MO,13,31,0,44,0,1861-7-5,1861-7-5,U2
U3,US,"Rich Mountain, W. Va.",WV,12,49,0,61,0,1861-7-11,1861-7-11,U3
U4,US,"Blackburn's Ford, Va.",VA,19,38,26,83,0,1861-7-18,1861-7-18,U4
U5,US,"First Bull Run, Va.",VA,470,1071,1793,3334,0,1861-7-21,1861-7-21,U5
U6,US,"Wilson's Creek, Mo.",MO,223,721,291,1235,0,1861-8-10,1861-8-10,U6
U7,US,"Carnifex Ferry, W. Va.",WV,17,141,0,158,0,1861-9-10,1861-9-10,U7
U8,US,"Greenbrier River, W. Va.",WV,8,35,0,43,0,1861-10-3,1861-10-3,U8
U9,US,"Ball's Bluff, Va.",VA,49,158,714,921,0,1861-10-21,1861-10-21,U9
U10,US,"Belmont, Mo.",MO,80,322,99,501,0,1861-11-7,1861-11-7,U10
U11,US,"Camp Alleghany, W. Va.",WV,20,107,10,137,0,1861-12-13,1861-12-13,U11
U12,US,"Dranesville, Va.",VA,7,61,0,68,0,1861-12-20,1861-12-20,U12
U13,US,"Mill Springs, Ky.",KY,39,207,0,246,0,1862-1-19,1862-1-19,U13
U14,US,"Roanoke Island, N. C.",NC,37,214,13,264,0,1862-2-8,1862-2-8,U14
U15,US,"Fort Donelson, Tenn.",TN,500,2108,224,2832,0,1862-2-15,1862-2-15,U15
U16,US,"New Madrid, Mo.",MO,8,21,3,32,0,1862-3-1,1862-3-14,U16
U17,US,"Pea Ridge, Mo.",MO,203,980,201,1384,0,1862-3-6,1862-3-8,U17
U18,US,"New Berne, N. C.",NC,90,380,1,471,0,1862-3-14,1862-3-14,U18
U19,US,"Kernstown, Va.",VA,118,450,22,590,0,1862-3-23,1862-3-23,U19
U20,US,"Shiloh, Tenn.",TN,1754,8408,2885,13047,0,1862-4-6,1862-4-7,U20
U21,US,"Camden, N. C. (South Mills)",NC,13,101,13,127,0,1862-4-19,1862-4-19,U21
U22,US,"Farmington, Miss.",MS,16,148,14,178,0,1862-5-9,1862-5-9,U22
U23,US,"Williamsburg, Va.",VA,456,1410,373,2239,0,1862-5-5,1862-5-5,U23
U24,US,"West Point, Va.",VA,48,110,28,186,0,1862-5-7,1862-5-7,U24
U25,US,"McDowell, Va.",VA,26,227,3,256,0,1862-5-8,1862-5-8,U25
U26,US,"Princeton, W. Va.",WV,23,69,21,113,0,1862-5-16,1862-5-17,U26
U27,US,"Russell House, Miss.",MS,10,31,0,41,0,1862-5-17,1862-5-17,U27
U28,US,"Lewisburg, W. Va.",WV,13,53,7,73,0,1862-5-23,1862-5-23,U28
U29,US,"Front Royal and Winchester, Va.",VA,62,243,1714,2019,0,1862-5-23,1862-5-25,U29
U30,US,"Hanover Court House, Va.",VA,62,223,70,355,0,1862-5-27,1862-5-27,U30
U31,US,"Fair Oaks, Va. (Seven Pines)",VA,790,3594,647,5031,0,1862-5-31,1862-5-31,U31
U32,US,"Cross Keys, Va.",VA,114,443,127,684,0,1862-6-8,1862-6-8,U32
U33,US,"Port Republic, Va.",VA,67,393,558,1018,0,1862-6-9,1862-6-9,U33
U34,US,"Secessionville, S. C.",SC,107,487,89,683,0,1862-6-16,1862-6-16,U34
U35,US,"Oak Grove, Va.",VA,67,504,55,626,0,1862-6-25,1862-6-25,U35
U36,US,"Mechanicsville, Va.",VA,49,207,105,361,0,1862-6-26,1862-6-26,U36
U37,US,"Gaines's Mill, Va.",VA,894,3107,2836,6837,0,1862-6-27,1862-6-27,U37
U38,US,"Golding's Farm, Va.",VA,37,227,104,368,0,1862-6-28,1862-6-28,U38
U39,US,"Savage Station, Va.",VA,80,412,1098,1590,0,1862-6-29,1862-6-29,U39
U40,US,"Glendale, Va.",VA,210,1513,1130,2853,0,1862-6-30,1862-6-30,U40
U41,US,"Malvern Hill, Va.",VA,397,2092,725,3214,0,1862-7-1,1862-7-1,U41
U42,US,"Bayou Cache, Ark.",AR,6,57,0,63,0,1862-7-7,1862-7-7,U43
