"belligerent","battle_name","to","relation"
"Confederate","Allatoona Pass, Ga.","GA023","="
"Confederate","Averasboro, N. C.","NC019","="
"Confederate","Ball's Bluff, Va.","VA006","="
"Confederate","Baton Rouge, La.","LA003","="
"Confederate","Belmont, Mo.","MO009","="
"Confederate","Bentonville, N. C.","NC020","="
"Confederate","Beverly Ford, Va.","VA035","="
"Confederate","Brice's Cross Roads, Miss.","MS014","="
"Confederate","Bristoe Station, Va.","VA040","="
"Confederate","Camden, N. C.","NC005","="
"Confederate","Camp Alleghany, W. Va.","WV008","="
"Confederate","Cavalry Affairs, Va.","VA042","="
"Confederate","Cedar Creek, Va.","VA122","="
"Confederate","Cedar Mountain, Va.","VA022","="
"Confederate","Champion's Hill, Miss.","MS009","="
"Confederate","Chancellorsville, Va.","VA034","="
"Confederate","Chaplin Hills, Ky.","KY009","="
"Confederate","Charleston Harbor, S. C.","SC007","="
"Confederate","Chickamauga, Ga.","GA004","="
"Confederate","Chickasaw Bluffs, Miss.","MS003","="
"Confederate","Corinth, Miss.","MS002","="
"Confederate","Corinth, Miss.","TN007","="
"Confederate","Cross Keys, Va.","VA105","="
"Confederate","Dranesville, Va.","VA007","="
"Confederate","Droop Mountain, Va.","WV012","="
"Confederate","Fair Oaks, Va.","VA014","="
"Confederate","First Bull Run, Va.","VA005","="
"Confederate","Fisher's Hill, Va.","VA120","="
"Confederate","Fort Donelson, Tenn.","TN002","="
"Confederate","Fort Sanders, Tenn.","TN023","="
"Confederate","Fort Sanders, Tenn.","TN025","="
"Confederate","Fort Wagner, S. C.","SC005",">"
"Confederate","Fredericksburg, Va.","VA028","="
"Confederate","Front Royal; Winchester, Va.","VA103","="
"Confederate","Front Royal; Winchester, Va.","VA104","="
"Confederate","Gettysburg, Pa","PA002","="
"Confederate","Greenbrier River, W. Va.","WV007","="
"Confederate","Hagerstown; Williamsport, Md","MD004","="
"Confederate","Hanover C. H., Va.","VA013","="
"Confederate","Hanover, Pa","PA001","="
"Confederate","Hartsville, Tenn.","TN008","="
"Confederate","Helena, Ark.","AR008","="
"Confederate","Iuka, Miss.","MS001","="
"Confederate","Kelly's Ford, Va.","VA029",">"
"Confederate","Kenesaw Mountain (Atlanta Campaign)","GA013","="
"Confederate","Kenesaw Mountain (Atlanta Campaign)","GA015","="
"Confederate","Kenesaw Mountain (Atlanta Campaign)","GA014","="
"Confederate","Kernstown, Va.","VA101","="
"Confederate","Kinston, Whitehall, N. C.","NC007","="
"Confederate","Magnolia Hills, Miss.","MS006","="
"Confederate","Manassas, Va.","VA023","="
"Confederate","Manassas, Va.","VA024","="
"Confederate","Manassas, Va.","VA026","="
"Confederate","Manassas, Va.","VA025","="
"Confederate","Manassas, Va.","VA027","="
"Confederate","Maryland Campaign, Md","WV010","="
"Confederate","Maryland Campaign, Md","MD002","="
"Confederate","Maryland Campaign, Md","MD003","="
"Confederate","Maryland Campaign, Md","WV016","="
"Confederate","McDowell, Va.","VA102","="
"Confederate","Middleburg; Upperville, Va.","VA038","="
"Confederate","Mill Springs, Ky.","KY006","="
"Confederate","Milliken's Bend, La.","LA011","="
"Confederate","Mine Run Campaign, Va.","VA044","="
"Confederate","Missionary Ridge, Tenn.","TN024","="
"Confederate","Morris Island, S. C.","SC005","="
"Confederate","Munfordville, Ky.","KY008","="
"Confederate","New Berne, N. C.","NC003","="
