battles	killed	wounded_and_mortally_wounded	captured_and_missing	wounded_to_killed_ratio
Shiloh	1754	8408	2885	4.7
Mill Springs	39	207		5.3
Fort Donelson	500	2108	224	4.2
Pea Ridge	203	980	201	4.8
New Berne	90	380	1	4.2
Kernstown	118	450	22	3.8
Williamsburg	456	1410	373	3.0
Fair Oaks	790	3594	647	4.5
Seven Days	1734	8062	6053	4.6
Cedar Mountain	314	1445	622	4.5
Manassas	1747	8452	4263	4.8
South Mountain	325	1403	85	4.3
Crampton's Gap	113	418	2	3.6
Antietam	2108	9549	753	4.5
Iuka	141	613	36	4.3
Corinth	355	1841	324	5.1
Chaplin Hills	845	2851	515	3.3
Chickasaw Bluffs	208	1005	563	4.8
Arkansas Post	134	898	29	6.7
Gettysburg	3063	14492	5435	4.7
Vicksburg Campaign	1514	7395	453	4.8
Port Hudson	707	3336	319	4.7
Rappahannock Station	83	328	6	3.9
Fort Wagner (July 18）	246	880	389	3.5
Mine Run	173	1099	381	6.3
Missionary Ridge	752	4713	349	6.2
Wilderness	2246	12037	3383	5.3
Spotsylvania	2,725	13,416	2,258	4.9
North Anna and	591	2734	661	4.6
Totopotomoy
Cold Harbor and	1844	9077	1816	4.9
Bethesda Church
Petersburg, June 15-18	1688	8513	1185	5.0
Deep Bottom	327	1851	721	5.6
Atlanta Campaign	4423	22822	4442	5.1
Opequon	697	3983	338	5.7
Cedar Creek	644	3430	1591	5.3
21 Minor Engagements	835	4597	461	5.5
