Name.	Regiment.	Battle.
Rev. Arthur B. Fuller,	16th Massachusetts,	Fredericksburg.
Rev. Orlando N. Benton,	51st New York,	New Berne.
Rev. John M. Springer,	3d Wisconsin,	Resaca.
Rev. Francis E. Butler,	25th New Jersey,	Siege of Suffolk.
Rev. John L. Walther,	43d Illinois,	Shiloh.
Rev. Levi W. Sanders,	125th Illinois,	Caldwell's Ferry.
Rev. John W. Eddy,	72d Indiana,	Hoover's Gap.
Rev. Horatio S. Howell,	90th Pennsylvania,	Gettysburg.
Rev. Thomas L. Ambrose,	12th New Hampshire,	Petersburg.
Rev. George W. Bartlett,	1st Maine Cavalry,	Cold Harbor.
Rev. George W. Densmore,	1st Wisconsin Cavalry,	L'Anguille Ferry.
