date,description,confederate,union,theater,cwsac_id,cwsac_battle_name
1861-04-07,"Fort Sumter, SC -April 12 - 14",4,11,Lower Seaboard,SC001,Fort Sumter
1861-05-12,"Sewell's Point, VA - May 18-19",5,5,Eastern,VA001,Sewell's Point
1861-05-19,"Ellsworth's death",0,1,Eastern,,
1861-05-26,"Aquia Creek, VA - May 29-June 1",5,5,Eastern,VA002,Aquia Creek
1861-06-02,"Philippi, WVA - June 3",6,5,Eastern,WV001,Philippi
1861-06-09,"Big Bethel. VA - June 10",8,76,Eastern,VA003,Big Bethel
1861-06-16,"Boonville, MO - June 17",12,12,Trans-Mississippi,MO001,Boonville
1861-06-30,"Hoke's Run, WVA - July 2",25,73,Eastern,WV002,Hoke's Run
1861-06-30,"Carthage, MO July 5",74,44,Trans-Mississippi,MO002,Carthage
1861-07-07,"Rich Mountain, WVA - July 11",638,74,Eastern,WV003,Rich Mountain
1861-07-14,"Blackburn's Ford, VA - July 18",68,83,Eastern,VA004,Blackburn's Ford
1861-07-21,"1st Bull Run (Manassas), VA - July 21",1982,2896,Eastern,VA005,"Manassas, First"
1861-08-04,"Wilson's Creek, MO August 10",1222,1317,Trans-Mississippi,MO004,Wilson's Creek
1861-08-25,Kessler's Cross Lanes. WVA - August 26,40,132,Eastern,WV004,Kessler's Cross Lanes
1861-08-25,"Hatteras Inlet Forts, NC - August 28-29",670,3,Eastern,NC001,Hatteras Inlet Batteries
1861-09-01,"Dry Wood Creek, MO",NA,14,Trans-Mississippi,MO005,Dry Wood Creek
1861-09-08,"Camifex Ferry, WVA - September 10",32,158,Eastern,WV006,Carnifex Ferry
1861-09-08,"Cheat Mountain, WVA - September 12-15",100,71,Eastern,WV005,Cheat Mountain
1861-09-15,"Lexington I, MO - September 13-20",100,3500,Trans-Mississippi,MO006,Lexington
1861-09-15,"Liberty (Blue Mills), MO - September 17",70,56,Trans-Mississippi,MO003,Liberty
1861-09-15,"Barbourville, KY September 19",5,15,Western,KY001,Barbourville
1861-09-29,"Greenbrier River, WVA - October 3",52,43,Eastern,WV007,Greenbrier River
1861-10-06,"Santa Rosa Island, FL - October 9",87,67,Lower Seaboard,FL001,Santa Rosa Island
1861-10-20,Ball's Bluff. VA October 21,149,921,Eastern,VA006,Ball's Bluff
1861-10-20,"Fredericktown, MO - October 21",62,NA,Trans-Mississippi,MO007,Fredericktown
1861-10-20,"Camp Wildcat, KY - October 21",53,43,Western,KY002,Camp Wildcat
1861-10-20,"Springfield I, MO - October 25",133,85,Trans-Mississippi,MO008,Springfield
1861-11-03,"Belmont, MO - November 7",641,607,Western,MO009,Belmont
1861-11-03,"Ivy Mountain, KY - November 8-9",263,30,Western,KY003,Ivy Mountain
1861-11-17,"Round Mountain, OK - November 19",10,NA,Trans-Mississippi,OK001,Round Mountain
1861-12-08,"Chusto-Talasah, OK - December 9",52,412,Trans-Mississippi,OK002,Chusto-Talasah
1861-12-08,"Camp Allegheny, WVA - December 1 3",146,137,Eastern,WV008,Camp Alleghany
1861-12-15,Rowlett's Station. KY - December 17,91,40,Western,KY004,Rowlett's Station
1861-12-15,"Dranesville, VA - December 20",230,71,Eastern,VA007,Dranesville
1861-12-22,Chustenahlah OK December 26,40,211,Trans-Mississippi,OK003,Chustenahlah
1861-12-22,Mount Zion Church. MO - December 28,210,72,Trans-Mississippi,MO010,Mount Zion Church
1862-01-05,"Hancock, MD & Morgan. WVA - Jan. 5-6",12,13,Eastern,MD001,Hancock
1862-01-05,Roan's Tan Yard. MO January 8,80,11,Trans-Mississippi,MO011,Roan's Tan Yard
1862-01-05,Middle Creek. KY - January 10,65,27,Western,KY005,Middle Creek
1862-01-19,Mill Springs. KY - January 19,529,262,Western,KY006,Mill Springs
1862-02-02,"Fort Henry, TN February 6",99,47,Western,TN001,Fort Henry
1862-02-02,"Roanoke Island, NC - February 7-8",2643,264,Eastern,NC002,Roanoke Island
1862-02-09,"Fort Donelson, TN - February 12-16",17000,2832,Western,TN002,Fort Donelson
1862-02-16,Valverde. NM - February 20-21,187,263,Trans-Mississippi,NM001,Valverde
1862-03-02,"Pea Ridge, AK - March 6-8",2000,1384,Trans-Mississippi,AR001,Pea Ridge
1862-03-02,"Hampton Roads, VA - March 8-9",24,409,Eastern,VA008,Hampton Roads
1862-03-09,"New Madrid, MS, Is. # 10,TN - Feb 28-April 8",7000,51,Western,MO012,New Madrid/Island No. 10
1862-03-09,New Bern. NC - March 14,609,476,Eastern,NC003,New Berne
1862-03-23,"First Kernstown, VA March 23",718,590,Eastern,VA101,"Kernstown, First"
1862-03-23,"Glorieta Pass, NM - March 26-28",227,132,Trans-Mississippi,NM002,Glorieta Pass
1862-04-06,Shiloh. TN - April 6-7,10699,13047,Western,TN003,Shiloh
1862-04-06,Fort Pulaski. GA-April 10-11,1,364,Lower Seaboard,GA001,Fort Pulaski
1862-04-13,"Fts. Jackson & St. Philip, LA-April 16-28",782,229,Lower Seaboard,LA001,Forts Jackson and St. Philip
1862-04-13,"South Mills, NC - April 19",25,114,Eastern,NC005,South Mills
1862-04-13,"Siege of Yorktown, VA-April 5-May 4",300,182,Eastern,VA009,Yorktown
1862-04-20,"Fort Macon, NC - April 25-26",3,439,Eastern,NC004,Fort Macon
1862-04-27,New Orleans. LA - April 25-May 1,0,0,Lower Seaboard,LA002,New Orleans
1862-05-04,Williamsburg. VA - May 5,1560,2283,Eastern,VA010,Williamsburg
1862-05-04,"Eltham's Landing, VA - May 7",48,186,Eastern,VA011,Eltham's Landing
1862-05-04,"McDowell, VA - May 8",500,256,Eastern,VA102,McDowell
1862-05-11,"Drewry's Bluff, VA - May 15",15,24,Eastern,VA012,Drewry's Bluff
1862-05-11,"Princeton Courthouse, WVA - May 15-17",16,129,Eastern,WV009,Princeton Court House
1862-05-18,"Front Royal, VA - May 23",56,904,Eastern,VA103,Front Royal
1862-05-18,"Siege of Corinth, TN April 29 May 30",1000,1000,Western,MS016,Corinth
1862-05-25,First Winchester. VA - May 25,400,2019,Eastern,VA104,"Winchester, First"
1862-05-25,Hanover Court House. VA - May 27,746,355,Eastern,VA013,Hanover Court House
1862-05-25,Seven Pines. VA - May 31-June 1,6100,5000,Eastern,VA014,Seven Pines
1862-06-01,Tranter's Creek. NC - June 5,20,20,Eastern,NC006,Tranter's Creek
1862-06-01,"Memphis I, TN June 6",180,1,Western,TN004,Memphis
1862-06-01,"Chanttanooga I, TN - June 7-8",3,NA,Western,TN005,Chattanooga
1862-06-08,"Cross Keys, VA - June 8",288,684,Eastern,VA105,Cross Keys
1862-06-08,"Port Republic, VA - June 9",800,1000,Eastern,VA106,Port Republic
1862-06-15,"Charleston, SC - June 16",204,683,Lower Seaboard,,
1862-06-15,"St Charles, AR - June 17",40,160,Trans-Mississippi,AR002,Saint Charles
1862-06-22,"Oak Grove, VA - June 25",411,626,Eastern,VA015,Oak Grove
1862-06-22,Beaver Dam Creek. VA - June 26,1484,361,Eastern,VA016,Beaver Dam Creek
1862-06-22,"Gaines' Mill, VA - June 27",8750,6837,Eastern,VA017,Gaines' Mill
1862-06-22,"Garnett's & Golding's Farms,VA June 27-28",438,189,Eastern,VA018,Garnett's & Golding's Farms
1862-06-29,"Savage's Station, VA - June 29",444,919,Eastern,VA019,Savage's Station
1862-06-29,"Glendale While Oak Swamp, VA-June 30",3600,2700,Eastern,VA020,Glendale/White Oak Swamp
1862-06-29,Malvern Hill. VA-Julv 1,5355,3000,Eastern,VA021,Malvern Hill
1862-07-06,"Hill's Plantation, AK - July 7",250,63,Trans-Mississippi,AR003,Hill's Plantation
1862-07-13,"Murfreesboro I, TN - July 13",150,1200,Western,TN006,Murfreesboro
1862-08-03,"Baton Rouge, LA - August 5",478,371,Lower Seaboard,LA003,Baton Rouge
1862-08-03,"Kirksville, MO - August 6-9",368,88,Trans-Mississippi,MO013,Kirksville
1862-08-03,"Cedar Mountain, VA - August 9",1400,2500,Eastern,VA022,Cedar Mountain
1862-08-10,"Independence I, MO - August 11",NA,344,Trans-Mississippi,MO014,Independence
1862-08-10,"Lone Jack, MO - August 15-16",NA,272,Trans-Mississippi,MO015,Lone Jack
1862-08-17,"Rappahannock River, VA - Aug. 22-25",112,113,Eastern,VA023,Rappahannock Station
1862-08-17,"Fort Ridgely, MN - August 20-22",NA,26,Trans-Mississippi,MN001,Fort Ridgely
1862-08-24,"Thoroughfare Gap, VA - August 28",50,50,Eastern,VA025,Thoroughfare Gap
1862-08-24,"Second Manassas, VA - August 28-30",8353,13826,Eastern,VA026,"Manassas, Second"
1862-08-24,"Richmond, KY - August 29-30",600,5623,Western,KY007,Richmond
1862-08-31,Chantilly. VA - September I,800,1300,Eastern,VA027,Chantilly
1862-09-07,Harpers Ferry. WVA - September 12-15,286,12719,Eastern,WV010,Harpers Ferry
1862-09-14,"South Mountain, MD - September 14",2300,2325,Eastern,MD002,South Mountain
1862-09-14,"Munfordville, KY - September 14-17",285,4148,Western,KY008,Munfordville
1862-09-14,"Antietam, MD - September 17",10300,12400,Eastern,MD003,Antietam
1862-09-14,"luka, MS - September 19",594,790,Western,MS001,Iuka
1862-09-14,Sheperdstown. WVA - September 19-20,291,363,Eastern,WV016,Shepherdstown
1862-09-21,"Wood Lake, MN - September 23",25,41,Trans-Mississippi,MN002,Wood Lake
1862-09-28,"Newtonia, MO - September 30",78,245,Trans-Mississippi,MO016,Newtonia
1862-09-28,Corinth. MS - October 3-4,4800,2350,Western,MS002,Corinth
1862-10-05,"Davis Bridge, TN - October 6",400,500,Western,TN007,Hatchie's Bridge
1862-10-05,"Perryville, KY - October 8",3396,4211,Western,KY009,Perryville
1862-10-19,"Old Fort Wayne, OK - October 22",150,14,Trans-Mississippi,OK004,Old Fort Wayne
1862-10-19,"Georgia Landing, LA - October 27",229,86,Trans-Mississippi,LA005,Georgia Landing
1862-11-02,Clark's Mill. MO - November 7,34,119,Trans-Mississippi,MO017,Clark's Mill
1862-11-23,Cane Hill. AR - November 28,45,41,Trans-Mississippi,AR004,Cane Hill
1862-12-07,Prairie Grove. AR - December 7,1317,1251,Trans-Mississippi,AR005,Prairie Grove
1862-12-07,"Hartsville, TN – December 7",139,2096,Western,TN008,Hartsville
1862-12-14,"Fredericksburg I, VA December 11 15",5300,12600,Eastern,VA028,Fredericksburg I
1862-12-14,"Kinston, NC - December 14",525,160,Eastern,NC007,Kinston
1862-12-14,White Hall. NC - December 16,75,75,Eastern,NC008,White Hall
1862-12-14,Goldsboro Bridge. NC - December 17,110,110,Eastern,NC009,Goldsborough Bridge
1862-12-14,"Jackson, TN - December 19",NA,6,Western,TN009,Jackson
1862-12-21,Chickasaw Bayou. MS - December 26-29,187,1176,Western,MS003,Chickasaw Bayou
1862-12-28,Parker's Cross Roads. TN - December 31,500,237,Western,TN011,Parker's Cross Roads
1862-12-28,"Galveston II, TX January 1",50,600,Trans-Mississippi,TX003,Galveston
1862-12-28,"Stones River, TN - January 2",10000,13000,Western,TN010,Stones River
1863-01-04,"Springfield II, MO - January 8",240,163,Trans-Mississippi,MO018,Springfield
1863-01-04,"Hartville, MO - January 9-11",329,78,Trans-Mississippi,MO019,Hartville
1863-01-04,"Arkansas Post, AR January 9 11",5004,1092,Western,AR006,Arkansas Post
1863-01-25,"Bear River, ID - January 29",250,65,Pacific Coast,ID001,Bear River
1863-02-01,"Dover, TN - February 3",855,110,Western,TN012,Dover
1863-03-01,"Fort McAllister, GA- January 27-March 3",1,0,Lower Seaboard,GA002,Fort McAllister I
1863-03-01,"Thompson's Station, TN - March 4-5",357,1600,Western,TN013,Thompson's Station
1863-03-08,"Fort Anderson, NC - March 13-15",3,4,Eastern,NC010,Fort Anderson
1863-03-15,Kelly's Ford. VA - March 17,80,99,Eastern,VA029,Kelly's Ford
1863-03-15,"Vaught's Hill, TN - March 20",150,38,Western,TN014,Vaught's Hill
1863-03-22,Brentwood. TN - March 25,3,529,Western,TN015,Brentwood
1863-04-05,"Charleston Harbor 1, SC April 7",14,22,Lower Seaboard,SC004,Charleston Harbor
1863-04-05,"Franklin I, IN-April 10",137,100,Western,TN016,Franklin
1863-04-12,"Fort Bisland, LA-April 12-13",450,224,Lower Seaboard,LA006,Fort Bisland
1863-04-12,"Irish Bend, LA - April 14",,353,Lower Seaboard,LA007,Irish Bend
1863-04-12,"Washington, NC - March 30-April 20",50,50,Eastern,NC011,Washington
1863-04-19,Suffolk. VA - April 19,900,260,Eastern,VA031,Suffolk
1863-04-26,"Cape Girardeau, MO - April 26",325,12,Trans-Mississippi,MO020,Cape Girardeau
1863-04-26,"Grand Gulf, MS - April 29",,80,Western,MS004,Grand Gulf
1863-04-26,"Day's Gap, Al. - April 30",65,23,Western,AL001,Day's Gap
1863-04-26,"Port Gibson, MS - May 1",787,875,Western,MS006,Port Gibson
1863-04-26,Chalk Bluff AR - May 1-2,45,45,Trans-Mississippi,AR007,Chalk Bluff
1863-05-03,"Chancellorsville, VA - April 30-May 6; Fredericksburg II, VA - May ; Salem Church, VA - May 3-4",12800,18000,Eastern,VA032 VA034 VA033,Chancellorsville;Fredericksburg II;Salem Church
1863-05-10,"Raymond, MS - May 12",514,442,Western,MS007,Raymond
1863-05-10,"Jackson, MS - May 14",850,286,Western,MS008,Jackson
1863-05-10,"Champion Hill, MS May 16",3840,2441,Western,MS009,Champion Hill
1863-05-17,"Big Black River Bridge, MS - May 17",1751,276,Western,MS010,Big Black River Bridge
1863-05-17,"Battle of Vicksburg, MS - May 18-22",500,3199,Western,MS011,Vicksburg
1863-05-17,"Plains Store, LA - May 21",100,150,Lower Seaboard,LA009,Plains Store
1863-05-24,"Battle of Port Hudson I, LA - May 27",500,2000,Lower Seaboard,LA010,Port Hudson
1863-06-07,"Milliken's Bend, LA - June 7",185,652,Western,LA011,Milliken's Bend
1863-06-07,"Brandy Station, VA - June 9",515,868,Eastern,VA035,Brandy Station
1863-06-14,"Second Winchester, VA - June 13-15",266,4443,Eastern,VA107,"Winchester, Second"
1863-06-14,"Aldie, Middleburg, Upperville - June 17-21",510,827,Eastern,VA036 VA037 VA038,Aldie;Middleburg;Upperville
1863-06-14,"Lafourche Crossing, LA - June 20-21",219,49,Lower Seaboard,LA012,LaFourche Crossing
1863-06-21,"Hoover's Gap, TN - June 24-26",NA,583,Western,TN017,Hoover's Gap
1863-06-28,"Donaldsville II, LA - June 28",301,23,Lower Seaboard,LA013,Donaldsonville
1863-06-28,"Goodrich's Landing, LA - June 29-30",6,150,Western,LA014,Goodrich's Landing
1863-06-28,"Hanover, PA June 30",74,154,Eastern,PA001,Hanover
1863-06-28,"Cabin Creek, OK - July 1-2",59,21,Trans-Mississippi,OK006,Cabin Creek
1863-06-28,"Gettysburg, PA-July 1-3",28000,23000,Eastern,PA002,Gettysburg
1863-06-28,"Siege of Vicksburg, MS - July 4",32197,1636,Western,MS011,Vicksburg
1863-06-28,"Helena, AR - July 4",1636,239,Western,AR008,Helena
1863-07-05,"Williamsport, MD - July 6",254,400,Eastern,MD004,Williamsport
1863-07-05,"Siege of Port Hudson, LA-May 22-July 9",7500,10000,Lower Seaboard,LA010,Port Hudson
1863-07-05,"Corydon, IN - July 9",51,360,Western,IN001,Corydon
1863-07-05,"Fort Wagner I, SC - July 10-11",12,339,Lower Seaboard,SC005,Fort Wagner
1863-07-12,"Kock's Plantation, LA - July 12-13",33,465,Lower Seaboard,LA015,Kock's Plantation
1863-07-12,"Boonesboro/Falling Waters, MD July 8-14",920,158,Eastern,MD006,Boossboro
1863-07-12,"Grimball's Landing, SC - July 16",18,46,Lower Seaboard,SC006,Grimball's Landing
1863-07-12,"Honey Springs, OK - July 17",134,77,Trans-Mississippi,OK007,Honey Springs
1863-07-12,"Fort Wagner II, SC-July 18",222,1515,Lower Seaboard,SC007,Fort Wagner/Morris Island
1863-07-19,"Buffington Island, Oil - July 19",900,25,Western,OH001,Buffington Island
1863-07-19,"Manassas Gap, VA July 23",220,220,Eastern,VA108,Manassas Gap
1863-07-19,"Big Mound, ND - July 24",80,7,Trans-Mississippi,ND001,Big Mound
1863-07-26,"Salineville, OH - July 26",364,0,Western,OH002,Salineville
1863-07-26,"Dead Buffalo Lake, ND - July 26",9,1,Trans-Mississippi,ND002,Dead Buffalo Lake
1863-07-26,"Stoney Lake, ND - July 28",0,0,Trans-Mississippi,ND003,Stony Lake
1863-08-16,"Lawrence, KS - August 21",NA,150,Trans-Mississippi,KS001,Lawrence
1863-08-30,"Devil's Backbone, AR - September 1",17,14,Trans-Mississippi,AR009,Devil's Backbone
1863-08-30,"Whitestonc Hill, ND - September 3-4",300,70,Trans-Mississippi,ND004,Whitestone Hill
1863-09-06,"Charleston Harbor II, SC - September 5-8",100,117,Lower Seaboard,SC008 SC009,Fort Sumter;Charleston Harbor
1863-09-06,"Sabine Pass II, TX - September 8",0,350,Trans-Mississippi,TX006,Sabine Pass II
1863-09-06,"Bayou Fourche, AR - September 10",64,72,Trans-Mississippi,AR010,Bayou Forche
1863-09-13,"Chickamauga, GA- September 18-20",18454,16170,Western,GA004,Chickamauga
1863-09-20,"Blountville, TN September 22",165,27,Western,TN019,Blountsville
1863-09-27,"Stirling's Plantation, LA - September 29",121,515,Lower Seaboard,LA016,Stirling's Plantation
1863-10-04,"Baxter Springs, KS - October 6",3,103,Trans-Mississippi,KS002,Baxter Springs
1863-10-04,"Blue Springs, TN - October 10",216,100,Western,TN020,Blue Springs
1863-10-11,"Auburn I & ll, VA - October 13 & 14",82,82,Eastern,VA039,Auburn
1863-10-11,"Bristoe Station, VA - October 14",1380,540,Eastern,VA040,Bristoe Station
1863-10-11,"Fort Brooke, FL - October 16-18",NA,16,Lower Seaboard,FL004,Fort Brooke
1863-10-18,"Buckland Mills, VA - October 19",115,115,Eastern,VA042,Buckland Mills
1863-10-25,"Pine Bluff, AR - October 25",40,56,Trans-Mississippi,AR011,Pine Bluff
1863-10-25,Wauhatchie. TN - October 28-29,356,216,Western,TN021,Wauhatchie
1863-11-01,"Collierville, TN - November 3",95,60,Western,TN022,Collierville
1863-11-01,"Droop Mountain, WVA November 6",275,140,Eastern,WV012,Droop Mountain
1863-11-01,Rappahannock Station. VA - November 7,2041,461,Eastern,VA043,Rappahannock Station
1863-11-15,Campbell's Station. TN - November 16,570,400,Western,TN023,Campbell's Station
1863-11-22,Chattanooga III. TN - November 23-25,6667,5815,Western,TN024,Chattanooga
1863-11-22,Ringgold Gap. GA - November 27,221,507,Western,GA005,Ringgold Gap
1863-11-29,"Fort Sanders, TN - November 29",800,15,Western,TN025,Fort Sanders
1863-11-29,"Mine Run, VA Nov 26 Dec. 2",795,1633,Eastern,VA044,Mine Run
1863-12-13,"Bean's Station, TN - December 14",222,115,Western,TN026,Bean's Station
1863-12-27,"Mossy Creek, TN - December 29",NA,151,Western,TN027,Mossy Creek
1864-01-17,"Dandridge, TN - January 17",NA,150,Western,TN028,Dandridge
1864-01-24,"Athens, AL - January 26",30,20,Western,AL002,Athens
1864-01-24,"Fair Garden, TN January 27 28",165,100,Western,TN029,Fair Garden
1864-01-31,"Morton's Ford, VA - February 6-7",165,100,Eastern,VA045,Morton's Ford
1864-02-07,"Middle Boggy, OK - February 13",47,0,Trans-Mississippi,OK005,Middle Boggy Depot
1864-02-14,"Meridian, MS - February 14",NA,170,Western,MS012,Meridian
1864-02-14,"Olustee, FL - February 20",946,1861,Lower Seaboard,FL005,Olustee
1864-02-21,"Okolona, MS - February 22",144,388,Western,MS013,Okolona
1864-02-21,"Dalton I, GA - February 22-27",140,289,Western,GA006,Dalton I
1864-02-28,"Walkerton, VA - March 2",0,100,Eastern,VA125,Walkerton
1864-03-06,"Fort DeRussy, LA - March 14",269,48,Trans-Mississippi,LA017,Fort DeRussy
1864-03-20,"Paducah, KY March 25",50,90,Western,KY010,Paducah
1864-04-03,"Elkin's Ferry, AR - April 3-4",29,26,Trans-Mississippi,AR012,Elkin's Ferry
1864-04-03,"Mansfield, LA - April 8",1000,2235,Trans-Mississippi,LA018,Mansfield
1864-04-03,"Pleasant Hill, LA - April 9",1626,1369,Trans-Mississippi,LA019,Pleasant Hill
1864-04-10,"Prairie D'Ane, AR - April 10-13",50,100,Trans-Mississippi,AR013,Prairie D'Ane
1864-04-10,"Fort Pillow, TN - April 12",100,549,Western,TN030,Fort Pillow
1864-04-10,"Blair's Landing, LA - April 12",57,60,Trans-Mississippi,LA020,Blair's Landing
1864-04-17,"Plymouth, NC - April 17-20",300,2900,Eastern,NC012,Plymouth
1864-04-17,"Poison Spring, AR - April 18",114,301,Trans-Mississippi,AR014,Poison Spring
1864-04-17,"Monett's Ferry, LA - April 23",400,200,Trans-Mississippi,LA021,Monett's Ferry
1864-04-24,"Mark's Mills, AR - April 25",293,1500,Trans-Mississippi,AR015,Marks' Mills
1864-04-24,"Jenkin's Ferry, AR - April 30",1000,700,Trans-Mississippi,AR016,Jenkins' Ferry
1864-05-01,"Albermarle Sound, NC - May 5",44,44,Eastern,NC013,Albemarle Sound
1864-05-01,"Battle of the Wilderness, VA - May 5-6",11125,18000,Eastern,VA046,Wilderness
1864-05-01,"Port Walthall Junction, VA - May 6-7",275,275,Eastern,VA047,Port Walthall Junction
1864-05-08,Swift Creek & Fort Clifton. VA May 9,495,495,Eastern,VA050,Swift Creek
1864-05-08,"Chester Station, VA - May 9",284,285,Eastern,VA051,Chester Station
1864-05-08,"Cloyd's Mountain, VA - May 9",538,688,Eastern,VA049,Cloyd's Mountain
1864-05-08,"Rocky Face Ridge, GA - May 7-13",600,837,Western,GA007,Rocky Face Ridge
1864-05-08,"Resaca, GA - May 13-15",2800,2747,Western,GA008,Resaca
1864-05-08,"Cove Mountain, VA May 10",150,150,Eastern,VA109,Cove Mountain
1864-05-08,"Yellow Tavern, VA - May 11",400,400,Eastern,VA052,Yellow Tavern
1864-05-15,"Proctor's Creek, VA - May 12-16",1000,3004,Eastern,VA053,Proctor's Creek
1864-05-15,"New Market, VA - May 15",520,841,Eastern,VA110,New Market
1864-05-15,"Adairsville, GA- May 17",NA,200,Western,GA009,Adairsville
