filename,battle,name,state,county,start_date,end_date,description,campaign
cw_000403_kesslerscros.htm,WV004,Kessler's Cross Lanes,West Virginia ,Nicholas County,1861-08-26,1861-08-26,"Kessler's Cross Lanes, West Virginia (WV004) , Nicholas County, August 26, 1861",West Virginia: June-December 1861
cw_003104_munfordville.htm,KY008,Munfordville (Battle for the Bridge),Kentucky ,Hart County,1862-09-14,1862-09-17,"Munfordville (Battle for the Bridge), Kentucky (KY008) , Hart County, September 14-17, 1862",Confederate Heartland Offensive: June-October 1862
cw_010902_dinwiddiecou.htm,VA086,Dinwiddie Court House,Virginia ,Dinwiddie County,1865-03-31,1865-03-31,"Dinwiddie Court House, Virginia (VA086) , Dinwiddie County, March 31, 1865",Appomattox Campaign: March-April 1865
cw_006602_pinebluffark.htm,AR011,Pine Bluff,Arkansas ,Jefferson County,1863-10-25,1863-10-25,"Pine Bluff, Arkansas (AR011) , Jefferson County, October 25, 1863",Arkansas: September-October 1863
cw_002901_cedarmountai.htm,VA022,Cedar Mountain,Virginia ,Culpeper County,1862-08-09,1862-08-09,"Cedar Mountain, Virginia (VA022) , Culpeper County, August 9, 1862",Northern Virginia Campaign: August-September 1862
cw_002601_hancockmaryl.htm,MD001,Hancock,Maryland ,"Washington County, Maryland, and Morgan County, West Virginia",1862-01-05,1862-01-06,"Hancock, Maryland (MD001) , Washington County, Maryland, and Morgan County, West Virginia, January 5-6, 1862",Jackson Against the B & O Railroad: January 1862
cw_008207_yellowbayoul.htm,LA023,Yellow Bayou,Louisiana ,Avoyelles Parish,1864-05-18,1864-05-18,"Yellow Bayou, Louisiana (LA023) , Avoyelles Parish, May 18, 1864",Red River Campaign: March-May 1864
cw_000903_wilsonscreek.htm,MO004,Wilson's Creek,Missouri ,Greene and Christian Counties,1861-08-10,1861-08-10,"Wilson's Creek, Missouri (MO004) , Greene and Christian Counties, August 10, 1861",Missouri: June-October 1861
cw_009701_petersburgiv.htm,VA098,Petersburg I,Virginia ,Petersburg,1864-06-09,1864-06-09,"Petersburg I, Virginia (VA098) , Petersburg, June 9, 1864",Richmond-Petersburg Campaign: June 1864-March 1865
cw_004603_vermillionba.htm,LA008,Vermillion Bayou,Louisiana ,Lafayette Parish,1863-04-17,1863-04-17,"Vermillion Bayou, Louisiana (LA008) , Lafayette Parish, April 17, 1863",West Louisiana: April 1863
