battle_id,battle_name,start_date,end_date,cwsac_id,relation,belligerent,PersonID,last_name,first_name,middle_name,middle_initial,rank,navy
1,Bull Run,1861-07-21,1861-07-21,VA005,=,Confederate,b0f7a304-f6c5-4a8d-b816-066426e5dc1c,Johnston,Joseph,,E.,Brigadier General,0
1,Bull Run,1861-07-21,1861-07-21,VA005,=,Confederate,183d0a7d-f06a-4c7b-a575-7616e491618b,Beauregard,Pierre,Gustave Toutant,G. T.,Brigadier General,0
1,Bull Run,1861-07-21,1861-07-21,VA005,=,US,0f05f7ed-f187-4469-8fbe-25942e7eb85b,McDowell,Irvin,,,Brigadier General,0
2,Wilson's Creek,1861-08-10,1861-08-10,MO004,=,Confederate,8f232cc9-43e7-4627-ab45-d8fe6873c472,Price,Sterling,,,Major General,0
2,Wilson's Creek,1861-08-10,1861-08-10,MO004,=,Confederate,536cbc9d-7b3e-4225-a660-25374cc1026e,McCulloch,Benjamin,,,Brigadier General,0
2,Wilson's Creek,1861-08-10,1861-08-10,MO004,=,US,a590cf3d-2e52-49bb-83fc-dd1911ba651d,Lyon,Nathaniel,,,Brigadier General,0
2,Wilson's Creek,1861-08-10,1861-08-10,MO004,=,US,4a50678b-9211-4c6a-828e-d9607876849a,Sturgis,Samuel,Davis,D.,Major General,0
3,Fort Donelson,1862-02-12,1862-02-16,TN002,=,Confederate,a35f09f2-1d82-485d-96c1-00e23cc44a16,Floyd,John,Buchanan,B.A,Brigadier General,0
3,Fort Donelson,1862-02-12,1862-02-16,TN002,=,Confederate,c97e392a-d319-4c82-9201-0a35f418a0a9,Pillow,Gideon,Johnson,J.,Brigadier General,0
3,Fort Donelson,1862-02-12,1862-02-16,TN002,=,Confederate,b2dc590c-f108-4e13-a3e3-0d47a00668c3,Buckner,Simon,Bolivar,B.,Brigadier General,0
3,Fort Donelson,1862-02-12,1862-02-16,TN002,=,US,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Brigadier General,0
3,Fort Donelson,1862-02-12,1862-02-16,TN002,=,US,571ac77d-3839-4b5f-9d47-d7e83bacfe60,Foote,Andrew,Hull,H.,Flag Officer,1
4,Pea Ridge,1862-03-07,1862-03-07,AR001,=,Confederate,a68145ec-a562-494d-8e95-c9bd2e0ff473,Van Dorn,Earl,,,Major General,0
4,Pea Ridge,1862-03-07,1862-03-07,AR001,=,US,e08b618c-acc7-4502-9ef8-b8546572e22d,Curtis,Samuel,,R.,Brigadier General,0
5,Shiloh,1862-04-06,1862-04-07,TN003,=,Confederate,155b07ca-cc70-402b-968f-dee3650ff3e3,Johnston,Albert,Sidney,S.,General,0
5,Shiloh,1862-04-06,1862-04-07,TN003,=,Confederate,183d0a7d-f06a-4c7b-a575-7616e491618b,Beauregard,Pierre,Gustave Toutant,G. T.,General,0
5,Shiloh,1862-04-06,1862-04-07,TN003,=,US,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,0
5,Shiloh,1862-04-06,1862-04-07,TN003,=,US,ae900570-5c73-4de2-b99b-e0f6fbe50ca3,Buell,Don,Carlos,C.,Major General,0
6,Williamsburg,1862-05-04,1862-05-05,VA010,=,Confederate,0418b77d-5826-4c1d-9621-9d92c48d77b5,Longstreet,James,,,Major General,0
6,Williamsburg,1862-05-04,1862-05-05,VA010,=,US,113829b2-e1ff-4458-8dce-9a4da30810dd,McClellan,George,Brinton,B.,Major General,0
7,Fair Oaks,1862-05-31,1862-06-01,VA014,=,Confederate,b0f7a304-f6c5-4a8d-b816-066426e5dc1c,Johnston,Joseph,,E.,General,0
7,Fair Oaks,1862-05-31,1862-06-01,VA014,=,Confederate,7ecf1477-925a-4b2b-b174-a549a4038ecc,Smith,Gustavus,Woodson,W.,Major General,0
7,Fair Oaks,1862-05-31,1862-06-01,VA014,=,US,113829b2-e1ff-4458-8dce-9a4da30810dd,McClellan,George,Brinton,B.,Major General,0
