from,battle_name,to,relation
1,BULL RUN,VA005,eq
2,WILSON'S CREEK,MO004,eq
3,FORT DONELSON,TN002,eq
4,PEA RIDGE,AR001,eq
5,SHILOH,TN003,eq
6,WILLIAMSBURG,VA010,eq
7,FAIR OAKS,VA014,eq
8,SEVEN DAYS' BATTLES,VA016,gt
8,SEVEN DAYS' BATTLES,VA017,gt
8,SEVEN DAYS' BATTLES,VA020,gt
8,SEVEN DAYS' BATTLES,VA019,gt
8,SEVEN DAYS' BATTLES,VA021,gt
8,SEVEN DAYS' BATTLES,VA018,gt
9,MECHANICSVILLE,VA016,eq
10,GAINES' MILL,VA017,eq
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",VA020,gt
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",VA019,gt
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",VA021,gt
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",VA018,gt
12,CEDAR MOUNTAIN,VA022,eq
13,MANASSAS & CHANTILLY,VA026,gt
13,MANASSAS & CHANTILLY,VA027,gt
14,"RICHMOND, KY",KY007,eq
15,SOUTH MOUNTAIN,MD002,eq
16,ANTIETAM,MD003,eq
17,CORINTH,MS002,eq
18,PERRYVILLE,KY009,eq
19,"PRAIRIE GROVE, ARK",AR005,eq
20,FREDERICKSBURG,VA028,eq
21,CHICKASAW BAYOU AND BLUFF,MS003,eq
22,STONE'S RIVER,TN010,eq
23,ARKANSAS POST,AR006,eq
24,CHANCELLORSVILLE & FREDERICKSBURG,VA032,eq
25,CHAMPION'S HILL,MS009,eq
26,VICKSBURG,MS011,lt
27,PORT HUDSON I,LA010,lt
28,PORT HUDSON II,LA010,lt
29,GETTYSBURG,PA002,eq
30,FORT WAGNER,SC007,eq
31,CHICKAMAUGA,GA004,eq
32,CHATTANOOGA,TN024,eq
33,MINE RUN,VA044,eq
34,"OLUSTEE, FLA",FL005,eq
35,PLEASANT HILL,LA019,eq
36,ATLANTA CAMPAIGN,GA011,gt
36,ATLANTA CAMPAIGN,GA007,gt
36,ATLANTA CAMPAIGN,GA008,gt
36,ATLANTA CAMPAIGN,GA012,gt
36,ATLANTA CAMPAIGN,GA009,gt
36,ATLANTA CAMPAIGN,GA010,gt
37,WILDERNESS,VA046,eq
38,SPOTTSYLVANIA I,VA048,lt
39,SPOTTSYLVANIA II,VA048,lt
40,DREWRY'S BLUFF,VA053,eq
41,COLD HARBOR,VA062,eq
42,PETERSBURG,VA063,eq
43,KENESAW MOUNTAIN,VA070,eq
44,"TUPELO, MISS",VA071,eq
45,PEACH TREE CREEK,VA072,eq
46,ATLANTA,GA015,eq
47,EZRA CHURCH (ATLANTA),MS015,eq
48,THE MINE,GA016,eq
49,DEEP BOTTOM,GA017,eq
50,WELDON RAILROAD,GA018,eq
51,"JONESBORO, GA I",GA022,lt
52,"JONESBORO, GA II",GA022,lt
53,WINCHESTER (OPEQUAN),VA119,eq
54,CHAFFIN'S FARM AND FORTS HARRISON AND GILMER,VA075,eq
55,CEDAR CREEK,VA122,eq
56,BOYDTON PLANK ROAD,VA079,eq
57,FRANKLIN,TN036,eq
58,NASHVILLE,TN038,eq
59,HATCHER'S RUN,VA083,eq
60,BENTONVILLE,NC020,eq
61,APPOMATOX CAMPAIGN,VA085,gt
61,APPOMATOX CAMPAIGN,VA089,gt
61,APPOMATOX CAMPAIGN,VA088,gt
61,APPOMATOX CAMPAIGN,VA090,gt
61,APPOMATOX CAMPAIGN,VA087,gt
61,APPOMATOX CAMPAIGN,VA124,gt
61,APPOMATOX CAMPAIGN,VA091,gt
61,APPOMATOX CAMPAIGN,VA086,gt
62,DINWIDDIE COURTHOUSE AND WHITE OAK ROAD,VA086,eq
63,PETERSBURG II,VA089,eq
