from,battle_name,to,relation
1,BULL RUN,http://dbpedia.org/resource/First_Battle_of_Bull_Run,eq
2,WILSON'S CREEK,http://dbpedia.org/resource/Battle_of_Wilson's_Creek,eq
3,FORT DONELSON,http://dbpedia.org/resource/Battle_of_Fort_Donelson,eq
4,PEA RIDGE,http://dbpedia.org/resource/Battle_of_Pea_Ridge,eq
5,SHILOH,http://dbpedia.org/resource/Battle_of_Shiloh,eq
6,WILLIAMSBURG,http://dbpedia.org/resource/Battle_of_Williamsburg,eq
7,FAIR OAKS,http://dbpedia.org/resource/Battle_of_Seven_Pines,eq
8,SEVEN DAYS' BATTLES,http://dbpedia.org/resource/Battle_of_Beaver_Dam_Creek,gt
8,SEVEN DAYS' BATTLES,http://dbpedia.org/resource/Battle_of_Glendale,gt
8,SEVEN DAYS' BATTLES,http://dbpedia.org/resource/Battle_of_Gaines's_Mill,gt
8,SEVEN DAYS' BATTLES,http://dbpedia.org/resource/Battle_of_Garnett's_&_Golding's_Farm,gt
8,SEVEN DAYS' BATTLES,http://dbpedia.org/resource/Battle_of_White_Oak_Swamp,gt
8,SEVEN DAYS' BATTLES,http://dbpedia.org/resource/Battle_of_Oak_Grove,gt
8,SEVEN DAYS' BATTLES,http://dbpedia.org/resource/Battle_of_Malvern_Hill,gt
8,SEVEN DAYS' BATTLES,http://dbpedia.org/resource/Battle_of_Savage's_Station,gt
9,MECHANICSVILLE,http://dbpedia.org/resource/Battle_of_Beaver_Dam_Creek,eq
10,GAINES' MILL,http://dbpedia.org/resource/Battle_of_Gaines's_Mill,eq
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",http://dbpedia.org/resource/Battle_of_White_Oak_Swamp,gt
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",http://dbpedia.org/resource/Battle_of_Savage's_Station,gt
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",http://dbpedia.org/resource/Battle_of_Malvern_Hill,gt
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",http://dbpedia.org/resource/Battle_of_Garnett's_&_Golding's_Farm,gt
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",http://dbpedia.org/resource/Battle_of_Glendale,gt
12,CEDAR MOUNTAIN,http://dbpedia.org/resource/Battle_of_Cedar_Mountain,eq
13,MANASSAS & CHANTILLY,http://dbpedia.org/resource/Second_Battle_of_Bull_Run,gt
13,MANASSAS & CHANTILLY,http://dbpedia.org/resource/Battle_of_Chantilly,gt
14,"RICHMOND, KY",http://dbpedia.org/resource/Battle_of_Richmond,eq
15,SOUTH MOUNTAIN,http://dbpedia.org/resource/Battle_of_South_Mountain,eq
16,ANTIETAM,http://dbpedia.org/resource/Battle_of_Antietam,eq
17,CORINTH,http://dbpedia.org/resource/Second_Battle_of_Corinth,eq
18,PERRYVILLE,http://dbpedia.org/resource/Battle_of_Perryville,eq
19,"PRAIRIE GROVE, ARK",http://dbpedia.org/resource/Battle_of_Prairie_Grove,eq
20,FREDERICKSBURG,http://dbpedia.org/resource/Battle_of_Fredericksburg,eq
21,CHICKASAW BAYOU AND BLUFF,http://dbpedia.org/resource/Battle_of_Chickasaw_Bayou,eq
22,STONE'S RIVER,http://dbpedia.org/resource/Battle_of_Stones_River,eq
23,ARKANSAS POST,http://dbpedia.org/resource/Battle_of_Fort_Hindman,eq
24,CHANCELLORSVILLE & FREDERICKSBURG,http://dbpedia.org/resource/Battle_of_Chancellorsville,eq
25,CHAMPION'S HILL,http://dbpedia.org/resource/Battle_of_Champion_Hill,eq
26,VICKSBURG,http://dbpedia.org/resource/Siege_of_Vicksburg,eq
27,PORT HUDSON I,http://dbpedia.org/resource/Siege_of_Port_Hudson,lt
28,PORT HUDSON II,http://dbpedia.org/resource/Siege_of_Port_Hudson,lt
29,GETTYSBURG,http://dbpedia.org/resource/Battle_of_Gettysburg,eq
30,FORT WAGNER,http://dbpedia.org/resource/Second_Battle_of_Fort_Wagner,eq
31,CHICKAMAUGA,http://dbpedia.org/resource/Battle_of_Chickamauga,eq
32,CHATTANOOGA,http://dbpedia.org/resource/Battle_of_Missionary_Ridge,gt
32,CHATTANOOGA,http://dbpedia.org/resource/Battle_of_Lookout_Mountain,gt
33,MINE RUN,http://dbpedia.org/resource/Battle_of_Mine_Run,eq
34,"OLUSTEE, FLA",http://dbpedia.org/resource/Battle_of_Olustee,eq
35,PLEASANT HILL,http://dbpedia.org/resource/Battle_of_Pleasant_Hill,eq
36,ATLANTA CAMPAIGN,http://dbpedia.org/resource/Battle_of_Rocky_Face_Ridge,gt
36,ATLANTA CAMPAIGN,http://dbpedia.org/resource/Battle_of_Adairsville,gt
36,ATLANTA CAMPAIGN,http://dbpedia.org/resource/Battle_of_Dallas,gt
36,ATLANTA CAMPAIGN,http://dbpedia.org/resource/Battle_of_New_Hope_Church,gt
36,ATLANTA CAMPAIGN,http://dbpedia.org/resource/Battle_of_Resaca,gt
36,ATLANTA CAMPAIGN,http://dbpedia.org/resource/Battle_of_Pickett's_Mill,gt
37,WILDERNESS,http://dbpedia.org/resource/Battle_of_the_Wilderness,eq
38,SPOTTSYLVANIA I,http://dbpedia.org/resource/Battle_of_Spotsylvania_Court_House,lt
39,SPOTTSYLVANIA II,http://dbpedia.org/resource/Battle_of_Spotsylvania_Court_House,lt
40,DREWRY'S BLUFF,http://dbpedia.org/resource/Battle_of_Proctor's_Creek,eq
41,COLD HARBOR,http://dbpedia.org/resource/Battle_of_Cold_Harbor,eq
42,PETERSBURG,http://dbpedia.org/resource/Second_Battle_of_Petersburg,eq
43,KENESAW MOUNTAIN,http://dbpedia.org/resource/Battle_of_the_Crater,eq
44,"TUPELO, MISS",http://dbpedia.org/resource/Second_Battle_of_Deep_Bottom,eq
45,PEACH TREE CREEK,http://dbpedia.org/resource/Battle_of_Globe_Tavern,eq
46,ATLANTA,http://dbpedia.org/resource/Battle_of_Kennesaw_Mountain,eq
47,EZRA CHURCH (ATLANTA),http://dbpedia.org/resource/Battle_of_Tupelo,eq
48,THE MINE,http://dbpedia.org/resource/Battle_of_Peachtree_Creek,eq
49,DEEP BOTTOM,http://dbpedia.org/resource/Battle_of_Atlanta,eq
50,WELDON RAILROAD,http://dbpedia.org/resource/Battle_of_Ezra_Church,eq
51,"JONESBORO, GA I",http://dbpedia.org/resource/Battle_of_Jonesborough,lt
52,"JONESBORO, GA II",http://dbpedia.org/resource/Battle_of_Jonesborough,lt
53,WINCHESTER (OPEQUAN),http://dbpedia.org/resource/Battle_of_Opequon,eq
54,CHAFFIN'S FARM AND FORTS HARRISON AND GILMER,http://dbpedia.org/resource/Battle_of_Chaffin's_Farm,eq
55,CEDAR CREEK,http://dbpedia.org/resource/Battle_of_Cedar_Creek,eq
56,BOYDTON PLANK ROAD,http://dbpedia.org/resource/Battle_of_Boydton_Plank_Road,eq
57,FRANKLIN,http://dbpedia.org/resource/Battle_of_Franklin_(1864),eq
58,NASHVILLE,http://dbpedia.org/resource/Battle_of_Nashville,eq
59,HATCHER'S RUN,http://dbpedia.org/resource/Battle_of_Hatcher's_Run,eq
60,BENTONVILLE,http://dbpedia.org/resource/Battle_of_Bentonville,eq
61,APPOMATOX CAMPAIGN,http://dbpedia.org/resource/Battle_of_White_Oak_Road,gt
61,APPOMATOX CAMPAIGN,http://dbpedia.org/resource/Third_Battle_of_Petersburg,gt
61,APPOMATOX CAMPAIGN,http://dbpedia.org/resource/Battle_of_Sutherland's_Station,gt
61,APPOMATOX CAMPAIGN,http://dbpedia.org/resource/Battle_of_Dinwiddie_Court_House,gt
61,APPOMATOX CAMPAIGN,http://dbpedia.org/resource/Battle_of_Five_Forks,gt
61,APPOMATOX CAMPAIGN,http://dbpedia.org/resource/Battle_of_Amelia_Springs,gt
61,APPOMATOX CAMPAIGN,http://dbpedia.org/resource/Battle_of_Lewis's_Farm,gt
61,APPOMATOX CAMPAIGN,http://dbpedia.org/resource/Battle_of_Namozine_Church,gt
62,DINWIDDIE COURTHOUSE AND WHITE OAK ROAD,http://dbpedia.org/resource/Battle_of_Dinwiddie_Court_House,eq
63,PETERSBURG II,http://dbpedia.org/resource/Third_Battle_of_Petersburg,eq
