seq_no,battle_name,assault_fortified,assault_outcome,union_result,confed_result,win_side,state,theater,start_date,end_date,commander_union,commander_confederate
1,BULL RUN,,,Rout,Victory,CONFEDERATE,VA,ME,7/21/61,7/21/61,Irvin_McDowell ,P._G._T._Beauregard Joseph_E._Johnston
2,WILSON'S CREEK,,,Defeat,Victory,CONFEDERATE,MO,TM,8/10/61,8/10/61,Nathaniel_Lyon Samuel_D._Sturgis,Sterling_Price Benjamin_McCulloch
3,FORT DONELSON,U,Partial Success,,,UNION,TN,MW,2/12/62,2/16/62,Ulysses_S._Grant Andrew_Hull_Foote,John_B._Floyd Gideon_Johnson_Pillow Simon_Bolivar_Buckner
4,PEA RIDGE,,,Victory,Defeat,UNION,AR,TM,3/7/62,3/7/62,Samuel_Ryan_Curtis,Earl_Van_Dorn
5,SHILOH,,,Victory,Defeat,UNION,TN,MW,4/6/62,4/7/62,Ulysses_S._Grant Don_Carlos_Buell,Albert_Sidney_Johnston P._G._T._Beauregard
6,WILLIAMSBURG,,,,Retired,UNION,VA,ME,5/4/62,5/5/62,George_B._McClellan,Joseph_E._Johnston
7,FAIR OAKS,,,Victory,Defeat,UNION,VA,ME,5/31/62,6/1/62,George_B._McClellan,Joseph_E._Johnston Gustavus_Woodson_Smith
8,SEVEN DAY'S BATTLES,,,,,CONFEDERATE,VA,ME,6/25/62,7/1/62,George_B._McClellan,Robert_E._Lee John_B._Magruder
9,MECHANICSVILLE,C,Failure,Retired,,CONFEDERATE,VA,ME,6/26/62,6/26/62,Fitz_John_Porter,Robert_E._Lee
10,GAINES' MILL,,,Rout,Victory,CONFEDERATE,VA,ME,6/27/62,6/27/62,Fitz_John_Porter,Robert_E._Lee
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",,,Retired,,CONFEDERATE,VA,ME,6/29/62,7/1/62,George_B._McClellan Fitz_John_Porter,Robert_E._Lee John_B._Magruder
12,CEDAR MOUNTAIN,,,Defeat,Victory,CONFEDERATE,VA,ME,8/9/62,8/9/62,Nathaniel_P._Banks,Stonewall_Jackson
13,MANASSAS & CHANTILLY,,,Defeat,Victory,CONFEDERATE,VA,ME,8/27/62,9/2/62,John_Pope_(military_officer),Robert_E._Lee Stonewall_Jackson
14,"RICHMOND, KY",,,Rout,Victory,CONFEDERATE,KY,MW,8/29/62,8/30/62,"William_""Bull""_Nelson",Edmund_Kirby_Smith
15,SOUTH MOUNTAIN,,,Victory,Defeat,UNION,MD,ME,9/14/62,9/14/62,George_B._McClellan,Robert_E._Lee
16,ANTIETAM,,,Victory,Defeat,UNION,MD,ME,9/16/62,9/17/62,George_B._McClellan,Robert_E._Lee
17,CORINTH,C,Failure,Victory,,UNION,MS,MW,10/3/62,10/4/62,William_Rosecrans,Earl_Van_Dorn
