battle,cwsac_name,attacker,surrender
AL001,Day's Gap,Confederate,None
AL002,Athens I,Confederate,None
AL003,Mobile Bay,US,Confederate complete
AL004,Decatur,Confederate,None
AL005,Spanish Fort,US,None
AL006,Fort Blakely,US,Confederate complete
AL007,Selma,US,Confederate partial
AL008,Athens II,Confederate,Union complete
AR001,Pea Ridge,Confederate,None
AR002,Saint Charles,US,None
AR003,Hill's Plantation,US,None
AR004,Cane Hill,US,None
AR005,Prairie Grove,Confederate,None
AR006,Arkansas Post,US,Confederate complete
AR007,Chalk Bluff,US,None
AR008,Helena,Confederate,None
AR009,Devil's Backbone,Confederate,None
AR010,Bayou Fourche,US,None
AR011,Pine Bluff,Confederate,None
AR012,Elkin's Ferry,US,None
AR013,Prairie D'Ane,US,None
AR014,Poison Spring,Confederate,None
AR015,Marks' Mills,Confederate,None
AR016,Jenkin's Ferry,Confederate,None
AR017,Old River Lake,US,None
AR018,Bayou Meto,US,None
DC001,Fort Stevens,Confederate,None
FL001,Santa Rosa Island,Confederate,None
FL002,Tampa,US,None
FL003,Saint John's Bluff,US,None
FL004,Fort Brooke,US,None
FL005,Olustee,US,None
FL006,Natural Bridge,US,None
GA001,Fort Pulaski,US,Confederate complete
GA002,Fort McAllister I,US,None
GA003,Davis' Cross Roads,Confederate,None
GA004,Chickamauga,Confederate,None
GA005,Ringgold Gap,US,None
GA006,Dalton I,US,None
GA007,Rocky Face Ridge,US,None
GA008,Resaca,US,None
GA009,Adairsville,US,None
GA010,New Hope Church,US,None
GA011,Dallas,Confederate,None
GA012,Pickett's Mill,US,None
GA013,Marietta,US,None
GA014,Kolb's Farm,Confederate,None
GA015,Kennesaw Mountain,US,None
GA016,Peachtree Creek,Confederate,None
GA017,Atlanta,Confederate,None
GA018,Ezra Church,Confederate,None
GA019,Utoy Creek,US,None
GA020,Dalton II,Confederate,None
GA021,Lovejoy's Station,US,None
GA022,Jonesborough,Confederate,None
GA023,Allatoona,Confederate,None
GA025,Griswoldville,Confederate,None
GA026,Buck Head Creek,Confederate,None
GA027,Waynesborough,US,None
GA028,Fort McAllister II,US,None
IN001,Corydon,Confederate,None
KS002,Baxter Springs,Confederate,None
KS003,Mine Creek,US,None
KS004,Marais des Cygnes,US,None
KY001,Barbourville,Confederate,None
KY002,Camp Wildcat,US,None
KY003,Ivy Mountain,Confederate,None
KY004,Rowlett's Station,US,None
KY005,Middle Creek,US,None
KY006,Mill Springs,Confederate,None
KY007,Richmond,Confederate,Union partial
KY008,Munfordville,Confederate,Union complete
KY009,Perryville,US,None
KY010,Paducah,Confederate,None
KY011,Cynthiana,Confederate,None
LA001,Forts Jackson and St. Philip,US,Confederate complete
LA002,New Orleans,US,None
LA003,Baton Rouge,Confederate,None
LA004,Donaldsonville I,US,None
LA005,Georgia Landing,US,None
LA006,Fort Bisland,US,None
LA007,Irish Bend,Confederate,None
LA008,Vermillion Bayou,US,None
LA009,Plains Store,US,None
LA010,Port Hudson,US,Confederate complete
LA011,Milliken's Bend,Confederate,None
LA012,LaFourche Crossing,Confederate,None
LA013,Donaldsonville II,Confederate,None
LA014,Goodrich's Landing,Confederate,None
LA015,Kock's Plantation,US,None
LA016,Stirling's Plantation,Confederate,Union partial
LA017,Fort DeRussy,US,Confederate complete
LA018,Mansfield,US,None
LA019,Pleasant Hill,Confederate,None
LA020,Blair's Landing,Confederate,None
LA021,Monett's Ferry,US,None
LA022,Mansura,US,None
LA023,Yellow Bayou,US,None
MD001,Hancock,Confederate,None
MD002,South Mountain,US,None
MD003,Antietam,US,None
MD004,Williamsport,US,None
MD006,Boonsboro,US,None
MD007,Monocacy,US,None
MD008,Folck's Mill,US,None
MO001,Boonville,US,None
MO002,Carthage,Confederate,None
MO003,Liberty,US,None
MO004,Wilson's Creek,US,None
MO005,Dry Wood Creek,US,None
MO006,Lexington I,Confederate,Union partial
MO007,Fredericktown,Confederate,None
MO008,Springfield I,US,None
MO009,Belmont,US,None
MO010,Mount Zion Church,US,None
MO011,Roan's Tan Yard,US,None
MO012,New Madrid/Island No. 10,US,Confederate complete
MO013,Kirksville,US,None
MO014,Independence I,Confederate,Union complete
MO015,Lone Jack,US,None
MO016,Newtonia I,US,None
MO017,Clark's Mill,US,Union complete
MO018,Springfield II,Confederate,None
MO019,Hartville,Confederate,Union partial
MO020,Cape Girardeau,Confederate,None
MO021,Fort Davidson,Confederate,None
MO022,Glasgow,Confederate,Union partial
MO023,Lexington II,Confederate,None
MO024,Little Blue River,Confederate,None
MO025,Independence II,Confederate,None
MO026,Byram's Ford,Confederate,None
MO027,Westport,Confederate,None
MO028,Marmiton River,US,None
MO029,Newtonia II,US,None
MS001,Iuka,US,None
MS002,Corinth,Confederate,None
MS003,Chickasaw Bayou,US,None
MS004,Grand Gulf,US,None
MS005,Snyder's Bluff,US,None
MS006,Port Gibson,US,None
MS007,Raymond,US,None
MS008,Jackson (MS),US,None
MS009,Champion Hill,US,None
MS010,Big Black River Bridge,US,None
MS011,Vicksburg,US,Confederate complete
MS012,Meridian,US,None
MS013,Okolona,Confederate,None
MS014,Brice's Cross Roads,Confederate,None
MS015,Tupelo,Confederate,None
MS016,Siege of Corinth,US,None
NC001,Hatteras Inlet Batteries,US,Confederate complete
NC002,Roanoke Island,US,Confederate complete
NC003,New Berne,US,None
NC004,Fort Macon,US,Confederate complete
NC005,South Mills,US,None
NC006,Tranter's Creek,US,None
NC007,Kinston,US,None
NC008,White Hall,US,None
NC009,Goldsborough Bridge,US,None
NC010,Fort Anderson,Confederate,None
NC011,Washington,Confederate,None
NC012,Plymouth,Confederate,Union complete
NC013,Albemarle Sound,Confederate,None
NC014,Fort Fisher I,US,None
NC015,Fort Fisher II,US,Confederate complete
NC016,Wilmington,US,None
NC017,Wyse Fork,US,None
NC018,Monroe's Cross Roads,US,None
NC019,Averasborough,US,None
NC020,Bentonville,US,None
NM001,Valverde,US,None
NM002,Glorieta Pass,US,None
OH001,Buffington Island,US,Confederate partial
OH002,Salineville,US,Confederate partial
OK001,Round Mountain,Confederate,None
OK002,Chusto-Talasah,Confederate,None
OK003,Chustenahlah,Confederate,None
OK004,Old Fort Wayne,US,None
OK005,Middle Boggy Depot,US,None
OK006,Cabin Creek,US,None
OK007,Honey Springs,US,None
PA001,Hanover,Confederate,None
PA002,Gettysburg,Confederate,None
SC001,Fort Sumter I,Confederate,None
SC002,Secessionville,US,None
SC003,Simmon's Bluff,US,None
SC004,Charleston Harbor I,US,None
SC005,Fort Wagner I,US,None
SC006,Grimball's Landing,Confederate,None
SC007,Fort Wagner II,US,None
SC008,Fort Sumter II,US,None
SC009,Charleston Harbor II,US,None
SC010,Honey Hill,US,None
SC011,Rivers' Bridge,US,None
TN001,Fort Henry,US,None
TN002,Fort Donelson,US,Confederate complete
TN003,Shiloh,Confederate,None
TN004,Memphis I,US,None
TN005,Chattanooga I,US,None
TN006,Murfreesboro I,Confederate,Union complete
TN007,Hatchie's Bridge (Davis Bridge),Confederate,None
TN008,Hartsville,Confederate,Union complete
TN009,Jackson (TN),Confederate,None
TN010,Stones River,Confederate,None
TN011,Parker's Cross Roads,US,None
TN012,Dover,Confederate,None
TN013,Thompson's Station,US,Union complete
TN014,Vaught's Hill,US,None
TN015,Brentwood,Confederate,Union complete
TN016,Franklin I,Confederate,None
TN017,Hoover's Gap,US,None
TN018,Chattanooga II,US,None
TN019,Blountsville,Confederate,None
TN020,Blue Springs,US,None
TN021,Wauhatchie,Confederate,None
TN022,Collierville,Confederate,None
TN023,Campbell's Station,Confederate,None
TN024,Chattanooga III,US,None
TN025,Fort Sanders,Confederate,None
TN026,Bean's Station,Confederate,None
TN027,Mossy Creek,Confederate,None
TN028,Dandridge,Confederate,None
TN029,Fair Garden,US,None
TN030,Fort Pillow,Confederate,Union complete
TN031,Memphis II,Confederate,Union partial
TN032,Johnsonville,Confederate,None
TN033,Bull's Gap,Confederate,Union partial
TN034,Columbia,Confederate,None
TN035,Spring Hill,Confederate,None
TN036,Franklin II,Confederate,None
TN037,Murfreesboro II,Confederate,None
TN038,Nashville,US,None
TX001,Sabine Pass I,US,None
TX002,Galveston I,US,None
TX003,Galveston II,Confederate,Union complete
TX005,Palmito Ranch,US,None
TX006,Sabine Pass II,US,None
VA001,Sewell's Point,US,None
VA002,Aquia Creek,US,None
VA003,Big Bethel,US,None
VA004,Blackburn's Ford,US,None
VA005,Manassas I,US,None
VA006,Balls Bluff,US,Union partial
VA007,Dranesville,US,None
VA008,Hampton Roads,Confederate,None
VA009,Yorktown,US,None
VA010,Williamsburg,US,None
VA011,Eltham's Landing,Confederate,None
VA012,Drewry's Bluff,US,None
VA013,Hanover Courthouse,Confederate,None
VA014,Seven Pines,Confederate,None
VA015,Oak Grove,US,None
VA016,Beaver Dam Creek,Confederate,None
VA017,Gaines' Mill,Confederate,None
VA018,Garnett's and Golding's Farm,Confederate,None
VA019,Savage's Station,Confederate,None
VA020,White Oak Swamp/Glendale,Confederate,None
VA021,Malvern Hill,Confederate,None
VA022,Cedar Mountain,US,None
VA023,Rappahannock Station I,Confederate,None
VA024,Manassas Station Operations,Confederate,None
VA025,Thoroughfare Gap,Confederate,None
VA026,Manassas II,Confederate,None
VA027,Chantilly,Confederate,None
VA028,Fredericksburg I,US,None
VA029,Kelly's Ford,US,None
VA030,Suffolk (Norfleet House Battery),Confederate,None
VA031,Siege of Suffolk (Hill's Point),US,None
VA032,Chancellorsville,US,None
VA033,Salem Church,US,None
VA034,Fredericksburg II,US,None
VA035,Brandy Station,US,None
VA036,Aldie,US,None
VA037,Middleburg,Confederate,None
VA038,Upperville,US,None
VA039,Auburn I,Confederate,None
VA040,Bristoe Station,Confederate,None
VA041,Auburn II,Confederate,None
VA042,Buckland Mills,Confederate,None
VA043,Rappahannock Station II,US,Confederate partial
VA044,Mine Run,US,None
VA045,Morton's Ford,US,None
VA046,Wilderness,US,None
VA047,Port Walthall Junction,US,None
VA048,Spotsylvania Court House,US,None
VA049,Cloyd's Mountain,US,None
VA050,Swift Creek,Confederate,None
VA051,Chester Station,Confederate,None
VA052,Yellow Tavern,US,None
VA053,Proctor's Creek,US,None
VA054,Ware Bottom Church,Confederate,None
VA055,North Anna,US,None
VA056,Wilson's Wharf,Confederate,None
VA057,Totopotomoy Creek/Bethesda Church,US,None
VA058,Haw's Shop,Confederate,None
VA059,Old Church,US,None
VA062,Cold Harbor,US,None
VA063,Petersburg II,US,None
VA064,Lynchburg,US,None
VA065,Jerusalem Plank Road,US,None
VA066,Saint Mary's Church,Confederate,None
VA067,Sappony Church,Confederate,None
VA068,Ream's Station I,Confederate,None
VA069,Deep Bottom I,US,None
VA070,Crater,US,None
VA071,Deep Bottom II,US,None
VA072,Globe Tavern,US,None
VA073,Ream's Station II,Confederate,Union partial
VA074,Peebles' Farm,US,None
VA075,Chaffin's Farm/New Market Heights,US,None
VA076,Saltville I,US,None
VA077,Darbytown and New Market,Confederate,None
VA078,Darbytown Road,US,None
VA079,Boydton Plank Road,US,None
VA080,Fair Oaks & Darbytown Road,US,None
VA081,Marion,US,None
VA082,Saltville II,US,None
VA083,Hatcher's Run,Confederate,None
VA084,Fort Stedman,Confederate,Confederate partial
VA085,Lewis's Farm,US,None
VA086,Dinwiddie Court House,US,None
VA087,White Oak Road,US,None
VA088,Five Forks,US,None
VA089,Petersburg III,US,None
VA090,Sutherland's Station,US,None
VA091,Amelia Springs,Confederate,None
VA092,Rice's Station,Confederate,None
VA093,Sailor's Creek,US,Confederate partial
VA094,Cumberland Church,US,None
VA095,High Bridge,Confederate,Union partial
VA096,Appomattox Station,US,None
VA097,Appomattox Courthouse,Confederate,Confederate complete
VA098,Petersburg I,US,None
VA099,Trevilian Station,US,None
VA100,Cockpit Point,US,None
VA101,Kernstown I,Confederate,None
VA102,McDowell,US,None
VA103,Front Royal,Confederate,Union partial
VA104,Winchester I,Confederate,Union partial
VA105,Cross Keys,US,None
VA106,Port Republic,Confederate,None
VA107,Winchester II,Confederate,Union partial
VA108,Manassas Gap,US,None
VA109,Cove Mountain,Confederate,None
VA110,New Market,Confederate,None
VA111,Piedmont,US,None
VA113,Staunton River Bridge,US,None
VA114,Cool Spring,US,None
VA115,Rutherford's Farm,US,None
VA116,Kernstown II,Confederate,None
VA117,Guard Hill,US,None
VA118,Berryville,Confederate,None
VA119,Opequon/Third Winchester,US,None
VA120,Fisher's Hill,US,None
VA121,Tom's Brook,US,None
VA122,Cedar Creek,Confederate,None
VA123,Waynesboro,US,None
VA124,Namozine Church,US,Confederate partial
VA125,Walkerton,US,None
WV001,Philippi,US,None
WV002,Hoke's Run,US,None
WV003,Rich Mountain,US,None
WV004,Kessler's Cross Lanes,Confederate,None
WV005,Cheat Mountain,Confederate,None
WV006,Carnifex Ferry,US,None
WV007,Greenbrier River,US,None
WV008,Camp Allegheny,US,None
WV009,Princeton Courthouse,Confederate,None
WV010,Harpers Ferry,Confederate,Union complete
WV012,Droop Mountain,US,None
WV013,Moorefield,US,None
WV014,Summit Point,Confederate,None
WV015,Smithfield Crossing,Confederate,None
WV016,Shepherdstown,US,None
