comm_id,dbpedia_url,commander,last_me,middle_me,first_me
CS1,http://dbpedia.org/resource/A._P._Hill,2153a0b4-6aab-42d2-b31e-56b074ec402e,Hill,,A.P.
CS10,http://dbpedia.org/resource/Braxton_Bragg,4b5a15e5-6c5d-492c-9ab7-32d50419cf80,Bragg,,Braxton
CS100,http://dbpedia.org/resource/Reuben_Lindsay_Walker,866c559c-b759-40a4-b31a-4e20e5f3f183,Walker,,Lindsay
CS102,http://dbpedia.org/resource/Louis_Hébert_(Confederate_Army_officer),68d8b0eb-8e55-447d-a5cf-a8cc6832b0ec,HÌ©bert,,Louis
CS103,http://dbpedia.org/resource/M._Jeff_Thompson,345c79c0-2a20-49cb-9e6c-1717bbf74b49,Thompson,Jeff,M.
CS105,http://dbpedia.org/resource/Matthew_Butler,1335cadd-d833-4e9b-ae7d-012211c3da64,Butler,C.,Matthew
CS106,http://dbpedia.org/resource/Micah_Jenkins,6e95f4cc-f78b-43cd-a623-6f33a09b7ded,Jenkins,,Micah
CS108,http://dbpedia.org/resource/Moses_Wright_Hannon,653ec648-38c6-4ce7-8937-7ff593df6a43,Hannon,W.,Moses
CS109,http://dbpedia.org/resource/than_Bedford_Forrest,02b4fa9a-541a-45c7-9097-ab1aee538c6c,Forrest,Bedford,than
CS11,http://dbpedia.org/resource/Bushrod_Johnson,d1b5da7b-0148-4ff1-b9ab-ad80b3eb0c21,Johnson,R.,Bushrod
CS110,http://dbpedia.org/resource/than_George_Evans,6bce5d35-7ced-46f5-8786-31eb932c1354,Evans,,than
CS111,http://dbpedia.org/resource/P._G._T._Beauregard,183d0a7d-f06a-4c7b-a575-7616e491618b,Beauregard,,P.G.T.
CS112,http://dbpedia.org/resource/Patrick_Cleburne,6aa89d0e-8209-4236-869e-6de6b4865ca0,Cleburne,R.,Patrick
CS114,http://dbpedia.org/resource/Phillippe_Landry,93806e7c-18a3-466d-a0fa-751c6af4d076,Landry,,Phillippe
CS115,http://dbpedia.org/resource/Pleasant_J._Philips,febc5475-788a-489f-a2df-ab0aa9ab65ee,Philips,J.,Pleasant
CS116,http://dbpedia.org/resource/Randall_L._Gibson,7171c4f3-6a55-4070-a7c9-86cf6fd8c183,Gibson,L.,Randall
CS117,http://dbpedia.org/resource/Richard_H._Anderson,306919f0-5ae8-4dee-ba37-0ea56b932b91,Anderson,,Richard
CS119,http://dbpedia.org/resource/Richard_S._Ewell,aa9a80fb-49e3-41d4-8ce5-3f5cbd961625,Ewell,S.,Richard
CS12,http://dbpedia.org/resource/Cadmus_M._Wilcox,a3f91ab6-c95a-4dfd-b5c6-a3cbb72c3f42,Wilcox,,Cadmus
CS120,http://dbpedia.org/resource/Richard_Taylor_(general),dd70b0b4-401c-47ce-b3fb-a2b68da3194c,Taylor,,Richard
CS122,http://dbpedia.org/resource/Robert_E._Lee,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,E.,Robert
CS124,http://dbpedia.org/resource/Robert_S._Garnett,386fe044-f4a0-4128-9e79-be5dcaa66241,Garnett,S.,Robert
CS126,http://dbpedia.org/resource/Stephen_Dodson_Ramseur,3e38cc65-7841-4322-8056-a0d2cd49e336,Ramseur,,S.D.
CS127,http://dbpedia.org/resource/Sam_Jones_(Confederate_Army_officer),3c4d96e5-9bc0-425b-b62c-9da5af232de6,Jones,,Sam
CS128,http://dbpedia.org/resource/Samuel_B._Maxey,3f0622ad-44c0-47f0-ae02-25b81a5bad3a,Maxey,Bell,Samuel
