name,belligerent,url_dbpedia
USS Maratanza (1861),US,http://dbpedia.org/resourse/USS_Maratanza_(1861)
USS Nansemond (1862),US,http://dbpedia.org/resourse/USS_Nansemond_(1862)
CSS_Fanny,Confederate,http://dbpedia.org/resourse/CSS_Fanny
USS Louisville (1862),US,http://dbpedia.org/resourse/USS_Louisville_(1862)
USS Saugus (1863),US,http://dbpedia.org/resourse/USS_Saugus_(1863)
USS Louisiana (1861),US,http://dbpedia.org/resourse/USS_Louisiana_(1861)
USS Nahant (1862),US,http://dbpedia.org/resourse/USS_Nahant_(1862)
USS Montgomery (1861),US,http://dbpedia.org/resourse/USS_Montgomery_(1861)
USS West End,US,http://dbpedia.org/resourse/USS_West_End
CSS_Curlew,Confederate,http://dbpedia.org/resourse/CSS_Curlew
USS Commodore Perry,US,http://dbpedia.org/resourse/USS_Commodore_Perry
CSS Virginia,Confederate,http://dbpedia.org/resourse/CSS_Virginia
USS_Ceres_(1856),US,http://dbpedia.org/resourse/USS_Ceres_(1856)
CS_Neptune,Confederate,http://dbpedia.org/resourse/CS_Neptune
USS Susquehanna (1850),US,http://dbpedia.org/resourse/USS_Susquehanna_(1850)
USS Keystone State (1853),US,http://dbpedia.org/resourse/USS_Keystone_State_(1853)
USS Picket,US,http://dbpedia.org/resourse/USS_Picket
USS Baron DeKalb (1861),US,http://dbpedia.org/resourse/USS_Baron_DeKalb_(1861)
USS Katahdin (1861),US,http://dbpedia.org/resourse/USS_Katahdin_(1861)
USS Isaac N. Seymour (1860),US,http://dbpedia.org/resourse/USS_Isaac_N._Seymour_(1860)
USS Pawnee (1859),US,http://dbpedia.org/resourse/USS_Pawnee_(1859)
USS_Massasoit_(1863),US,http://dbpedia.org/resourse/USS_Massasoit_(1863)
USS_Thomas_Freeborn,US,http://dbpedia.org/resourse/USS_Thomas_Freeborn
USS_Young_America_(1855),US,http://dbpedia.org/resourse/USS_Young_America_(1855)
USS Wissahickon (1861),US,http://dbpedia.org/resourse/USS_Wissahickon_(1861)
USS Anemone (1864),US,http://dbpedia.org/resourse/USS_Anemone_(1864)
USS Huron (1862),US,http://dbpedia.org/resourse/USS_Huron_(1862)
USS Lodona (1862),US,http://dbpedia.org/resourse/USS_Lodona_(1862)
USS Syracuse,US,http://dbpedia.org/resourse/USS_Syracuse
USS Monarch (1862),US,http://dbpedia.org/resourse/USS_Monarch_(1862)
USS St. Louis (1861),US,http://dbpedia.org/resourse/USS_St._Louis_(1861)
USS Yantic (IX-32),US,http://dbpedia.org/resourse/USS_Yantic_(IX-32)
CSS Neaffie,Confederate,http://dbpedia.org/resourse/CSS_Neaffie
USS Howquah (1863),US,http://dbpedia.org/resourse/USS_Howquah_(1863)
USS Hussar,US,http://dbpedia.org/resourse/USS_Hussar
USS_Water_Witch_(1851),US,http://dbpedia.org/resourse/USS_Water_Witch_(1851)
USS Britannia (1862),US,http://dbpedia.org/resourse/USS_Britannia_(1862)
USS_Nahant_(1862),US,http://dbpedia.org/resourse/USS_Nahant_(1862)
USS Chasseur,US,http://dbpedia.org/resourse/USS_Chasseur
USS_Port_Royal_(1862),US,http://dbpedia.org/resourse/USS_Port_Royal_(1862)
USS Patapsco (1862),US,http://dbpedia.org/resourse/USS_Patapsco_(1862)
USS_Pinola_(1861),US,http://dbpedia.org/resourse/USS_Pinola_(1861)
USS Glide (1862),US,http://dbpedia.org/resourse/USS_Glide_(1862)
USS_Catskill_(1862),US,http://dbpedia.org/resourse/USS_Catskill_(1862)
USS Fort Jackson (1862),US,http://dbpedia.org/resourse/USS_Fort_Jackson_(1862)
USS Maratanza (1862),US,http://dbpedia.org/resourse/USS_Maratanza_(1862)
Wyalusing (1863),US,http://dbpedia.org/resourse/Wyalusing_(1863)
CSS General Beauregard,Confederate,http://dbpedia.org/resourse/CSS_General_Beauregard
USS_Anacostia_(1856),US,http://dbpedia.org/resourse/USS_Anacostia_(1856)
USS New Ironsides (1862),US,http://dbpedia.org/resourse/USS_New_Ironsides_(1862)
USS Essex (1856),US,http://dbpedia.org/resourse/USS_Essex_(1856)
USS Quaker City (1861),US,http://dbpedia.org/resourse/USS_Quaker_City_(1861)
USS_New_Era_(1862),US,http://dbpedia.org/resourse/USS_New_Era_(1862)
CSS_Albemarle,Confederate,http://dbpedia.org/resourse/CSS_Albemarle
USS_Dragon_(1861),US,http://dbpedia.org/resourse/USS_Dragon_(1861)
USS John P. Jackson (1860),US,http://dbpedia.org/resourse/USS_John_P._Jackson_(1860)
USS Malvern (1860),US,http://dbpedia.org/resourse/USS_Malvern_(1860)
USS Nyack (1863),US,http://dbpedia.org/resourse/USS_Nyack_(1863)
USS Clifton (1861),US,http://dbpedia.org/resourse/USS_Clifton_(1861)
USS_Granite_City_(1863),US,http://dbpedia.org/resourse/USS_Granite_City_(1863)
USS Ranger,US,http://dbpedia.org/resourse/USS_Ranger
USS Lexington (1861),US,http://dbpedia.org/resourse/USS_Lexington_(1861)
USS Southfield (1857),US,http://dbpedia.org/resourse/USS_Southfield_(1857)
USS Vicksburg (1863),US,http://dbpedia.org/resourse/USS_Vicksburg_(1863)
USS_Patapsco_(1862),US,http://dbpedia.org/resourse/USS_Patapsco_(1862)
USS Wilderness (1864),US,http://dbpedia.org/resourse/USS_Wilderness_(1864)
USS Valley City (1859),US,http://dbpedia.org/resourse/USS_Valley_City_(1859)
USS_Monticello_(1859),US,http://dbpedia.org/resourse/USS_Monticello_(1859)
USS_Kensington_(1862),US,http://dbpedia.org/resourse/USS_Kensington_(1862)
USS_Chippewa_(1861),US,http://dbpedia.org/resourse/USS_Chippewa_(1861)
USS_Sachem_(1861),US,http://dbpedia.org/resourse/USS_Sachem_(1861)
USS Powhatan (1850),US,http://dbpedia.org/resourse/USS_Powhatan_(1850)
USS_Portsmouth_(1843),US,http://dbpedia.org/resourse/USS_Portsmouth_(1843)
USS Moccasin (1864),US,http://dbpedia.org/resourse/USS_Moccasin_(1864)
USS Albatross (1858),US,http://dbpedia.org/resourse/USS_Albatross_(1858)
USS Passaic (1862),US,http://dbpedia.org/resourse/USS_Passaic_(1862)
USS_St._Lawrence_(1848),US,http://dbpedia.org/resourse/USS_St._Lawrence_(1848)
USS Monadnock (1864),US,http://dbpedia.org/resourse/USS_Monadnock_(1864)
USS Ceres  (1856),US,http://dbpedia.org/resourse/USS_Ceres__(1856)
USS_Congress_(1841),US,http://dbpedia.org/resourse/USS_Congress_(1841)
USS Sciota (1861),US,http://dbpedia.org/resourse/USS_Sciota_(1861)
USS Iosco (1864),US,http://dbpedia.org/resourse/USS_Iosco_(1864)
Monticello (1859),US,http://dbpedia.org/resourse/Monticello_(1859)
USS_Cimarron_(1862),US,http://dbpedia.org/resourse/USS_Cimarron_(1862)
USS_Carondelet_(1861),US,http://dbpedia.org/resourse/USS_Carondelet_(1861)
USS Mohican (1859),US,http://dbpedia.org/resourse/USS_Mohican_(1859)
USS Bignonia (1863),US,http://dbpedia.org/resourse/USS_Bignonia_(1863)
USS Gettysburg (1858),US,http://dbpedia.org/resourse/USS_Gettysburg_(1858)
USS Sentinel,US,http://dbpedia.org/resourse/USS_Sentinel
USS_Sciota_(1861),US,http://dbpedia.org/resourse/USS_Sciota_(1861)
CSS Warrior,Confederate,http://dbpedia.org/resourse/CSS_Warrior
CSS Cotton Plant,Confederate,http://dbpedia.org/resourse/CSS_Cotton_Plant
CSS Colonel Lovell,Confederate,http://dbpedia.org/resourse/CSS_Colonel_Lovell
USS Harriet Lane,US,http://dbpedia.org/resourse/USS_Harriet_Lane
USS Rhode Island (1861),US,http://dbpedia.org/resourse/USS_Rhode_Island_(1861)
CSS_Palmetto_State,Confederate,http://dbpedia.org/resourse/CSS_Palmetto_State
USS Ottawa (1861),US,http://dbpedia.org/resourse/USS_Ottawa_(1861)
USS Maumee (1864),US,http://dbpedia.org/resourse/USS_Maumee_(1864)
USS_Clifton_(1861),US,http://dbpedia.org/resourse/USS_Clifton_(1861)
USS Shawmut (1863),US,http://dbpedia.org/resourse/USS_Shawmut_(1863)
USS Sagamore (1861),US,http://dbpedia.org/resourse/USS_Sagamore_(1861)
USS_Katahdin_(1861),US,http://dbpedia.org/resourse/USS_Katahdin_(1861)
CSS_Stonewall_Jackson,Confederate,http://dbpedia.org/resourse/CSS_Stonewall_Jackson
USS_Owasco_(1861),US,http://dbpedia.org/resourse/USS_Owasco_(1861)
USS_Varuna_(1861),US,http://dbpedia.org/resourse/USS_Varuna_(1861)
USS Kansas (1863),US,http://dbpedia.org/resourse/USS_Kansas_(1863)
USS_Aroostook_(1861),US,http://dbpedia.org/resourse/USS_Aroostook_(1861)
CSS General Sumter,Confederate,http://dbpedia.org/resourse/CSS_General_Sumter
USRC_Naugatuck,US,http://dbpedia.org/resourse/USRC_Naugatuck
USS_Hartford_(1858),US,http://dbpedia.org/resourse/USS_Hartford_(1858)
USS R. R. Cuyler (1860),US,http://dbpedia.org/resourse/USS_R._R._Cuyler_(1860)
USS Cincinnati (1861),US,http://dbpedia.org/resourse/USS_Cincinnati_(1861)
CSS General M. Jeff Thompson,Confederate,http://dbpedia.org/resourse/CSS_General_M._Jeff_Thompson
USS Banshee (1862),US,http://dbpedia.org/resourse/USS_Banshee_(1862)
USS Colorado (1856),US,http://dbpedia.org/resourse/USS_Colorado_(1856)
USS_Smith-Briggs,US,http://dbpedia.org/resourse/USS_Smith-Briggs
USS Montauk (1862),US,http://dbpedia.org/resourse/USS_Montauk_(1862)
USS Laurent Millaudon,Confederate,http://dbpedia.org/resourse/USS_Laurent_Millaudon
USS Mound City,US,http://dbpedia.org/resourse/USS_Mound_City
CSS_Ellis,Confederate,http://dbpedia.org/resourse/CSS_Ellis
USS_Rachel_Seaman_(1861),US,http://dbpedia.org/resourse/USS_Rachel_Seaman_(1861)
USS Chickasaw (1864),US,http://dbpedia.org/resourse/USS_Chickasaw_(1864)
USS Hetzel (1861),US,http://dbpedia.org/resourse/USS_Hetzel_(1861)
CS_Bayou_City,Confederate,http://dbpedia.org/resourse/CS_Bayou_City
USS Pontoosuc (1864),US,http://dbpedia.org/resourse/USS_Pontoosuc_(1864)
CSS Tennessee (1863),Confederate,http://dbpedia.org/resourse/CSS_Tennessee_(1863)
USS_Conestoga_(1861),US,http://dbpedia.org/resourse/USS_Conestoga_(1861)
USS_Paw_Paw_(1863),US,http://dbpedia.org/resourse/USS_Paw_Paw_(1863)
USS Osceola (1863),US,http://dbpedia.org/resourse/USS_Osceola_(1863)
USS_Weehawken_(1862),US,http://dbpedia.org/resourse/USS_Weehawken_(1862)
USS Emma (1863),US,http://dbpedia.org/resourse/USS_Emma_(1863)
USS Kennebec (1861),US,http://dbpedia.org/resourse/USS_Kennebec_(1861)
USS Monongahela (1862),US,http://dbpedia.org/resourse/USS_Monongahela_(1862)
USS_Peosta_(1857),US,http://dbpedia.org/resourse/USS_Peosta_(1857)
USS_Diana_(1862),Confederate,http://dbpedia.org/resourse/USS_Diana_(1862)
USS Stars and Stripes (1861),US,http://dbpedia.org/resourse/USS_Stars_and_Stripes_(1861)
USS Yantic (1864),US,http://dbpedia.org/resourse/USS_Yantic_(1864)
USS_Brooklyn_(1858),US,http://dbpedia.org/resourse/USS_Brooklyn_(1858)
USS Eolus (1864),US,http://dbpedia.org/resourse/USS_Eolus_(1864)
USS Port Royal (1862),US,http://dbpedia.org/resourse/USS_Port_Royal_(1862)
USS Lackawanna (1862),US,http://dbpedia.org/resourse/USS_Lackawanna_(1862)
USS Kineo (1861),US,http://dbpedia.org/resourse/USS_Kineo_(1861)
USS Carondelet (1861),US,http://dbpedia.org/resourse/USS_Carondelet_(1861)
USS Ossipee (1861),US,http://dbpedia.org/resourse/USS_Ossipee_(1861)
USS_Itasca_(1861),US,http://dbpedia.org/resourse/USS_Itasca_(1861)
USS Shenandoah (1862),US,http://dbpedia.org/resourse/USS_Shenandoah_(1862)
USS Black Hawk (1848),US,http://dbpedia.org/resourse/USS_Black_Hawk_(1848)
USS Chippewa (1861),US,http://dbpedia.org/resourse/USS_Chippewa_(1861)
USS_Commodore_(1863),US,http://dbpedia.org/resourse/USS_Commodore_(1863)
USS Seneca (1861),US,http://dbpedia.org/resourse/USS_Seneca_(1861)
USS_Louisville_(1861),US,http://dbpedia.org/resourse/USS_Louisville_(1861)
USS Mississippi (1841),US,http://dbpedia.org/resourse/USS_Mississippi_(1841)
USS Berberry (1864),US,http://dbpedia.org/resourse/USS_Berberry_(1864)
USS_Coeur_de_Lion_(1861),US,http://dbpedia.org/resourse/USS_Coeur_de_Lion_(1861)
USS_State_of_Georgia_(1851),US,http://dbpedia.org/resourse/USS_State_of_Georgia_(1851)
USS_Crusader_(1858),US,http://dbpedia.org/resourse/USS_Crusader_(1858)
CSS_Jamestown,Confederate,http://dbpedia.org/resourse/CSS_Jamestown
USS Underwriter (1852),US,http://dbpedia.org/resourse/USS_Underwriter_(1852)
CSS Selma (1856),Confederate,http://dbpedia.org/resourse/CSS_Selma_(1856)
CSS_Mississippi,Confederate,http://dbpedia.org/resourse/CSS_Mississippi
USS Canonicus (1863),US,http://dbpedia.org/resourse/USS_Canonicus_(1863)
USS_Princess_Royal,US,http://dbpedia.org/resourse/USS_Princess_Royal
USS_Kineo_(1861),US,http://dbpedia.org/resourse/USS_Kineo_(1861)
USS Wabash (1855),US,http://dbpedia.org/resourse/USS_Wabash_(1855)
CSS Morgan,Confederate,http://dbpedia.org/resourse/CSS_Morgan
USS Westfield (1861),US,http://dbpedia.org/resourse/USS_Westfield_(1861)
CSS_Cotton_Plant,Confederate,http://dbpedia.org/resourse/CSS_Cotton_Plant
CSS Defiance,Confederate,http://dbpedia.org/resourse/CSS_Defiance
USS_E._B._Hale_(1861),US,http://dbpedia.org/resourse/USS_E._B._Hale_(1861)
USS Cherokee (1859),US,http://dbpedia.org/resourse/USS_Cherokee_(1859)
USS_Lexington_(1861),US,http://dbpedia.org/resourse/USS_Lexington_(1861)
USS_Essex_(1856),US,http://dbpedia.org/resourse/USS_Essex_(1856)
USS Benton (1861),US,http://dbpedia.org/resourse/USS_Benton_(1861)
USS Shawsheen (1855),US,http://dbpedia.org/resourse/USS_Shawsheen_(1855)
USS Tahoma (1861),US,http://dbpedia.org/resourse/USS_Tahoma_(1861)
USS Advance (1862),US,http://dbpedia.org/resourse/USS_Advance_(1862)
USS Canandaigua (1862),US,http://dbpedia.org/resourse/USS_Canandaigua_(1862)
CSS Albemarle,Confederate,http://dbpedia.org/resourse/CSS_Albemarle
USS_Gemsbok_(1861),US,http://dbpedia.org/resourse/USS_Gemsbok_(1861)
USS Huron (1861),US,http://dbpedia.org/resourse/USS_Huron_(1861)
USS_Cambridge_(1860),US,http://dbpedia.org/resourse/USS_Cambridge_(1860)
