"side","type","func","special","ethnic","n"
"C","B","A","H",,14
"C","B","A","L",,22
"C","B","A","R",,3
"C","B","A",,,27
"C","B","C","R",,7
"C","B","C","S",,28
"C","B","C","T",,2
"C","B","C",,"I",4
"C","B","C",,,161
"C","B","I","R",,2
"C","B","I","S",,22
"C","B","I","T",,1
"C","B","I","V",,4
"C","B","I",,,126
"C","B","S",,,23
"C","B",,"D",,1
"C","B",,"G",,5
"C","B",,"J",,5
"C","B",,"M",,18
"C","B",,"R",,46
"C","B",,"S",,12
"C","B",,"T","I",1
"C","B",,"T",,5
"C","B",,"V",,5
"C","B",,"Z",,2
"C","B",,,"I",1
"C","B",,,,71
"C","C","A","H",,16
"C","C","A","L",,135
"C","C","A","T",,1
"C","C","A","V",,2
"C","C","A",,,55
"C","C","C","G",,1
"C","C","C","M",,4
"C","C","C","R",,7
"C","C","C","S",,7
"C","C","C","T",,4
"C","C","C","V",,1
"C","C","C",,,127
"C","C","E",,,1
"C","C","I","G",,2
"C","C","I","M",,1
"C","C","I","R",,1
"C","C","I","S",,5
"C","C","I","T",,3
"C","C","I","V",,1
"C","C","I",,"I",1
"C","C","I",,,69
"C","C",,"D",,1
"C","C",,"G",,12
"C","C",,"M",,28
"C","C",,"R",,19
"C","C",,"S",,14
"C","C",,"T",,18
"C","C",,"V",,17
"C","C",,"Y",,1
"C","C",,"Z",,1
"C","C",,,"I",1
"C","C",,,,135
"C","D","A",,,2
"C","D","I",,,1
"C","D",,,,5
"C","L","A",,,1
"C","L","C",,,1
"C","L",,"S",,2
"C","L",,"V",,2
"C","L",,,,9
"C","R","A","H",,7
"C","R","A","L",,4
"C","R","A","M",,2
"C","R","A","S",,5
"C","R","A",,,22
"C","R","C","M",,3
"C","R","C","R",,5
"C","R","C","S",,52
"C","R","C","T",,8
"C","R","C","V",,1
"C","R","C",,"I",2
"C","R","C",,,437
"C","R","E",,,11
"C","R","I","R",,5
"C","R","I","S",,48
"C","R","I","T",,20
"C","R","I","V",,5
"C","R","I",,"I",1
