cwsac_id,belligerent,commander_number,commander,name
VA068,Confederate,1,9e1353da-e14e-4a33-9169-19b95b173cd1,
VA068,Confederate,2,67a922f1-6dc9-4ba8-89aa-e33f842197e2,
VA068,US,1,460c9e8f-625e-490f-8eda-7385907b8d3f,
VA068,US,2,cb8dc6d1-211d-4278-875a-5f479f65d85b,August Kautz
VA072,Confederate,4,9e1353da-e14e-4a33-9169-19b95b173cd1,Mahone
VA086,Confederate,2,67a922f1-6dc9-4ba8-89aa-e33f842197e2,Fitzhugh Lee for VA086
TX003,US,2,65815655-0c83-4511-9e7b-2ce4d0ca632c,Renshaw
VA095,US,1,0739970d-f176-49aa-958c-f26397e326bb,A. A. Humphreys
VA095,Confederate,1,0dca3f2d-e93f-4908-bda9-bb23f411857b,Thomas Rosser
VA095,Confederate,2,9e1353da-e14e-4a33-9169-19b95b173cd1,William Mahone
SC009,US,1,0da38dda-60e3-47f7-a3fa-4f8c10e1900d,Quincy Gilmore
MO012,Confederate,1,9514b7b0-7398-44aa-89c2-0e8a1f09f32f,William W. Mackall
MO012,Confederate,2,398e7c38-3636-45b4-aa8f-600546e762ca,John P. McCown
MO012,US,1,60853683-b235-4e03-abcb-68edc8339fa5,John Pope
MO012,US,2,571ac77d-3839-4b5f-9d47-d7e83bacfe60,Andrew H. Foote
MO010,Confederate,1,73e2e794-9dab-40f5-b28f-25ad915208d4,Caleb Dorsey
MO010,US,1,84cac7af-39b5-4fda-af6a-303608eec2c3,Benjamin Prentiss
MO022,Confederate,1,874fad05-2f21-424a-8f03-1358747940d4,Joe Shelby
MO022,Confederate,2,bfab9af5-0976-464c-bd74-f04426f499ba,John G. Clark
MO022,US,1,c906863d-cc4c-4dff-9f12-cbe9abda060e,Chester Harding
WV009,Confederate,1,177215cb-88d2-431e-8beb-c53e83c3b83c,Humphrey Marshall
WV009,US,1,322caa07-991a-497a-91dc-38cead426f64,Jacob D. Cox
