BattlefieldCode,UnitCode,Comment,companies,batteries,detachment,section
AL001,UIL0080RI,,,,,
AL001,UIN0051RI,,,,,
AL001,UIN0073RI,,,,,
AL001,UOH0003RI01,,,,,
AL002,CAL0004RC01,,,,,
AL002,CAL0011RC,,,,,
AL002,CTN0021RC02,,,,,
AL002,UIL0009RI01,,,,,
AL003,CAL0001BA,,,,,
AL003,CAL0001R0V,,,,,
AL003,CAL0002BAL,,,,,
AL003,CAL0002RIR,,,,,
AL003,CAL0021RI,,,,,
AL003,UIL0077RI,,,,,
AL003,UIL0094RI,,,,,
AL003,UIN0001RAH,,,,,
AL003,UIN0067RI,,,,,
AL003,UMD0003RC,,,,,
AL003,UOH0017YAL,,,,,
AL003,UUR0005RA,,,,,
AL003,UUS0096RI00C,,,,,
AL003,UWI0020RI,,,,,
AL005,CAL0001R0V,,,,,
AL005,CAL0001RIR,,,,,
AL005,CAL0002BAL,,,,,
AL005,CAL0002RIR,,,,,
AL005,CAL0018RI,,,,,
AL005,CAL0021RI,,,,,
AL005,CAL0032RI01,,,,,
AL005,CAL0036RI,,,,,
AL005,CAL0038RI,,,,,
AL005,CLA0022RI02,,,,,
AL005,UCT0002YAL,,,,,
AL005,UFL0001RC01,,,,,
AL005,UIA0002YAL,,,,,
AL005,UIA0008RI ,,,,,
AL005,UIA0012RI ,,,,,
AL005,UIA0019RI ,,,,,
AL005,UIA0020RI,,,,,
AL005,UIA0021RI ,,,,,
AL005,UIA0023RI,,,,,
AL005,UIA0027RI,,,,,
AL005,UIA0029RI,,,,,
AL005,UIA0032RI,,,,,
AL005,UIA0033RI,,,,,
AL005,UIA0034RI,,,,,
AL005,UIA0035RI,,,,,
AL005,UIL0002RAL,,,,,
AL005,UIL0002RC,,,,,
AL005,UIL0008RI01,,,,,
AL005,UIL0011RI01,,,,,
AL005,UIL0028RI,,,,,
AL005,UIL0029RI,,,,,
AL005,UIL0033RI,,,,,
AL005,UIL0037RI,,,,,
AL005,UIL0046RI,,,,,
AL005,UIL0047RI,,,,,
AL005,UIL0058RI,,,,,
AL005,UIL0076RI,,,,,
AL005,UIL0077RI,,,,,
AL005,UIL0081RI,,,,,
AL005,UIL0091RI,,,,,
AL005,UIL0095RI,,,,,
AL005,UIL0097RI,,,,,
AL005,UIL0099RI,,,,,
AL005,UIL0108RI ,,,,,
AL005,UIL0114RI,,,,,
AL005,UIL0117RI,,,,,
AL005,UIL0119RI,,,,,
AL005,UIL0122RI,,,,,
AL005,UILCOGSYAL,,,,,
AL005,UIN0001RAH,,,,,
AL005,UIN0001YAL,,,,,
AL005,UIN0003YAL,,,,,
AL005,UIN0010RI01,,,,,
AL005,UIN0012RI01,,,,,
AL005,UIN0013RI,,,,,
AL005,UIN0014YAL,,,,,
AL005,UIN0024RI,,,,,
AL005,ULA0001RC,,,,,
AL005,UME0002RC,,,,,
AL005,UMI0001RAL,,,,,
AL005,UMI0006RAH,,,,,
AL005,UMN0005RI,,,,,
AL005,UMN0006RI,,,,,
AL005,UMN0007RI,,,,,
AL005,UMN0010RI,,,,,
AL005,UMO0001RAL,,,,,
AL005,UMO0011RI,,,,,
AL005,UMO0021RI,,,,,
AL005,UMO0030RI,,,,,
AL005,UMO0033RI,,,,,
AL005,UMO0040RI,,,,,
AL005,UMO0044RI,,,,,
AL005,UMO0049RI,,,,,
AL005,UNJ0002RC,,,,,
AL005,UNJ0034RI,,,,,
AL005,UNY0002RCU,,,,,
AL006,CAL0001R0V,,,,,
AL006,CAL0001RIR,,,,,
AL006,CAL0002BAL,,,,,
AL006,CAL0002RIR,,,,,
AL006,CAL0018RI,,,,,
AL006,CAL0021RI,,,,,
AL006,CAL0032RI01,,,,,
AL006,CAL0036RI,,,,,
AL006,CAL0038RI,,,,,
AL006,CLA0022RI02,,,,,
AL006,UCT0002YAL,,,,,
AL006,UIA0002YAL,,,,,
AL006,UIA0008RI,,,,,
AL006,UIA0012RI,,,,,
AL006,UIA0019RI,,,,,
AL006,UIA0020RI,,,,,
AL006,UIA0021RI,,,,,
AL006,UIA0023RI,,,,,
AL006,UIA0027RI,,,,,
AL006,UIA0029RI,,,,,
AL006,UIA0032RI,,,,,
AL006,UIA0033RI,,,,,
AL006,UIA0034RI,,,,,
AL006,UIA0035RI,,,,,
AL006,UIL0002RAL,,,,,
AL006,UIL0002RC,,,,,
AL006,UIL0008RI01,,,,,
AL006,UIL0011RI01,,,,,
AL006,UIL0028RI,,,,,
AL006,UIL0029RI,,,,,
AL006,UIL0033RI,,,,,
AL006,UIL0037RI,,,,,
AL006,UIL0046RI,,,,,
AL006,UIL0047RI,,,,,
