"cwsac_id","battle_name","battle_type_cwss","begin_date","end_date","state","theater_code","campaign_code","result","cas_kwm_mean","cas_kwm_var","partof_cwss","operation","forces_text","casualties_text","results_text","preservation","significance","cwsac1_url","partof_cwsac1","cwsac2_url","study_area","core_area","potnr_boundary","partof_cwsac2","interpretive_political","interpretive_commander_loss","interpretive_casualties","interpretive_tactics_strategy","interpretive_public_mind","interpretive_combat_arm","interpretive_military_firsts","interpretive_minority_troops","interpretive_economic","interpretive_archaelolgical","interpretive_logistics","interpretive_individual_bravery","interpretive_group_behavior","interpretive_joint_ops","interpretive_coop_armies","interpretive_naval","significance_jim","significance_ed","significance_bill","aad_url","battle_type_aad","partof_aad","shenandoah_url","partof_shenandoah","lat","long"
"AL001","Day's Gap","","1863-04-30","1863-04-30","AL","MW","MW63-03","Union Victory",88,0.0833333,TRUE,0,"Men from 51st Indiana Infantry, 73rd Indiana Infantry, 3rd Ohio Infantry, 80th Illinois Infantry, and 1st Middle Tennessee Cavalry [US]; three regiments [CS]","88 total (US 23; CS 65)","Union victory, although the raid ultimately failed.","III.3","C","http://www.nps.gov/hps/abpp/battles/al001.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf",5410.35,1084.76,2933.02,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"","D","C","http://aad.archives.gov/aad//AL001","Action",TRUE,NA,FALSE,34.3096,-87.011
"AL002","Athens I","Attack","1864-01-26","1864-01-26","AL","MW","MW64-02","Union Victory",50,8.33333,TRUE,0,"9th Illinois Mounted Infantry [US]; 1st Alabama Cavalry [CS]","50 total (US 20; CS 30)","Union victory (The Confederate force failed in its attempt to take Athens.)","IV.1","D","http://www.nps.gov/hps/abpp/battles/al002.htm",TRUE,NA,NA,NA,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//AL002","Attack",TRUE,NA,FALSE,34.8033,-86.9722
"AL003","Mobile Bay","Engagement","1864-08-02","1864-08-23","AL","MW","MW64-09","Union Victory",1827,0.0833333,TRUE,0,"Farragut's Fleet (14 wooden ships and 4 monitors) and U.S. army forces near Mobile [US]; Buchanan's Flotilla (3 gunboats and an ironclad), Fort Morgan Garrison, Fort Gaines Garrison, and Fort Powell Garrison [CS]","1,822 (US 322; CS 1,500)","Union victory","I.1","A","http://www.nps.gov/hps/abpp/battles/al003.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf",36916.7,16130.5,34927.4,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","","","http://aad.archives.gov/aad//AL003","Naval Operations",TRUE,NA,FALSE,30.241,-88.053
"AL004","Decatur","Demonstration","1864-10-26","1864-10-29","AL","MW","MW64-13","Union Victory",355,0.0833333,TRUE,0,"Garrison and other troops sent there (approx. 5,000 men) [US]; Army of Tennessee [CS]","605 total (US 155; CS 450)","Union victory (Confederate forces could not cross the river.)","IV.2","C","http://www.nps.gov/hps/abpp/battles/al004.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf",14623.5,1148.87,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","C","","http://aad.archives.gov/aad//AL004","Demonstration",TRUE,NA,FALSE,34.614,-86.986
"AL005","Spanish Fort","Siege and Capture","1865-03-27","1865-04-08","AL","MW","MW65-02","Union Victory",1398,0.0833333,TRUE,0,"XVI and XIII Corps [US]; Spanish Fort Garrison [CS]","1,401 (US 657; CS 744)","Union victory","IV.2","B","http://www.nps.gov/hps/abpp/battles/al005.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf",3742.16,2282.27,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","B","C","http://aad.archives.gov/aad//AL005","Siege & Capture",TRUE,NA,FALSE,30.6843,-87.9164
"AL006","Fort Blakely","Siege and Capture","1865-04-02","1865-04-09","AL","MW","MW65-02","Union Victory",4475,0.0833333,TRUE,0,"XIII and XVI Corps [US]; Fort Blakely Garrison [CS]","Total 4,475. April 9 only 3,529 (US 629; CS 2,900)","Union victory (Fort Blakely surrendered.)","III.1","A","http://www.nps.gov/hps/abpp/battles/al006.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf",6061.92,3743.28,4640.71,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"B","A","B","http://aad.archives.gov/aad//AL006","Siege & Capture",TRUE,NA,FALSE,30.7424,-87.927
"AL007","Selma","Raid","1865-04-02","1865-04-02","AL","MW","MW65-03","Union Victory",3059,0.0833333,TRUE,0,"Two cavalry divisions [US]; troops in city (approx. 5,000 men) [CS]","3,019 total (US 319; CS 2,700)","Union victory","IV.2","B","http://www.nps.gov/hps/abpp/battles/al007.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf",16158.3,4631.72,0,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"","","","http://aad.archives.gov/aad//AL007","Engagement",TRUE,NA,FALSE,32.424,-87.0237
"AR001","Pea Ridge","Battle","1862-03-06","1862-03-08","AR","TM","TM62-02","Union Victory",3384,0.0833333,TRUE,0,"Army of the Southwest [US]; Army of the West [CS]","5,949 total (US 1,349; CS 4,600)","Union victory","III.1","A","http://www.nps.gov/hps/abpp/battles/ar001.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf",9834.22,2078.97,8063.74,TRUE,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"","A","","http://aad.archives.gov/aad//AR001","Battle",TRUE,NA,FALSE,36.4532,-94.0158
"AR002","Saint Charles","Engagement","1862-06-17","1862-06-17","AR","TM","TM62-03","Union Victory",200,833.333,TRUE,0,"46th Indiana and Union Gunboat [US]; fifty men and C.S. boats [CS]","290 total (US 135; CS 155)","Union victory","III.3","C","http://www.nps.gov/hps/abpp/battles/ar002.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf",1830.99,853.69,1735.05,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"C","D","C","http://aad.archives.gov/aad//AR002","Engagement",TRUE,NA,FALSE,34.3715,-91.1261
"AR003","Hill's Plantation","No Data","1862-07-07","1862-07-07","AR","TM","TM62-04","Union Victory",313,0.0833333,TRUE,0,"1st and 2nd Brigade, 1st Division, Army of the Southwest [US]; unknown [CS]","308 total (US 63; CS 245)","Union victory","III.4","D","http://www.nps.gov/hps/abpp/battles/ar003.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf",3528.55,1025.92,3528.55,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//AR003","Action",TRUE,NA,FALSE,35.0365,-91.293
