"battle","belligerent","commander_number","PersonID","last_name","first_name","middle_name","middle_initial","rank","navy"
"AL001","Confederate",1,"02b4fa9a-541a-45c7-9097-ab1aee538c6c","Forrest","Nathan","Bedford","B.","Brigadier General",0
"AL002","Confederate",1,"653ec648-38c6-4ce7-8937-7ff593df6a43","Hannon","Moses","","W.","Lieutenant Colonel",0
"AL003","Confederate",1,"12c2d009-5e2f-47cb-b9e7-31e07bc73edd","Buchanan","Frankiln","","","Admiral",1
"AL003","Confederate",2,"0aae1532-be13-4465-b162-a89c8b8dda4a","Page","Richard","Lucian","L.","Brigadier General",0
"AL004","Confederate",1,"84b6d739-3384-4291-86ba-f75ae6637069","Hood","John","Bell","B.","General",0
"AL005","Confederate",1,"7171c4f3-6a55-4070-a7c9-86cf6fd8c183","Gibson","Randall","Lee","L.","Brigadier General",0
"AL006","Confederate",1,"b270d79d-e86c-43a2-889f-3346b6d2b18e","Liddell","St. John","Richardson","R.","Major General",0
"AL007","Confederate",1,"02b4fa9a-541a-45c7-9097-ab1aee538c6c","Forrest","Nathan","Bedford","B.","Lieutenant General",0
"AR001","Confederate",1,"a68145ec-a562-494d-8e95-c9bd2e0ff473","Van Dorn","Earl","","","Major General",0
"AR002","Confederate",1,"c44705ba-2251-4ab2-8ed8-449e7aa4a1f3","Fry","Joseph","","","Captain (Navy)",1
"AR003","Confederate",1,"839a5a85-49a8-41a6-b4a9-f76657c5d4fc","Hindman","Thomas","Carmichael","C.","Major General",0
"AR003","Confederate",2,"6370ad3b-9871-43c7-beb5-6db2824b3db7","Parsons","William","","H.","Colonel",0
"AR004","Confederate",1,"7b7bfdd4-920e-4d28-a2eb-44e33941d4b0","Marmaduke","John","","S.","Brigadier General",0
"AR005","Confederate",1,"839a5a85-49a8-41a6-b4a9-f76657c5d4fc","Hindman","Thomas","Carmichael","C.","Major General",0
"AR006","Confederate",1,"1a2052a6-2f63-45e6-a406-1f6eae7c8341","Churchill","Thomas","James","J.","Brigadier General",0
"AR007","Confederate",1,"7b7bfdd4-920e-4d28-a2eb-44e33941d4b0","Marmaduke","John","","S.","Brigadier General",0
"AR008","Confederate",1,"65f2acff-a023-45b9-8957-6b89af4343b7","Holmes","Theophilus","Hunter","H.","Lieutenant General",0
"AR009","Confederate",1,"74670315-8624-4010-bd86-1e4e2d5596f3","Cabell","William","Lewis","L.","Brigadier General",0
"AR010","Confederate",1,"7b7bfdd4-920e-4d28-a2eb-44e33941d4b0","Marmaduke","John","","S.","Brigadier General",0
"AR011","Confederate",1,"7b7bfdd4-920e-4d28-a2eb-44e33941d4b0","Marmaduke","John","","S.","Brigadier General",0
"AR012","Confederate",1,"7b7bfdd4-920e-4d28-a2eb-44e33941d4b0","Marmaduke","John","","S.","Brigadier General",0
"AR013","Confederate",1,"1cd425bc-311a-42c3-9ba2-a16bc1db7eea","Price","Sterling","","","Major General",0
"AR014","Confederate",1,"7b7bfdd4-920e-4d28-a2eb-44e33941d4b0","Marmaduke","John","","S.","Brigadier General",0
"AR014","Confederate",2,"3f0622ad-44c0-47f0-ae02-25b81a5bad3a","Maxey","Samuel","Bell","B.","Brigadier General",0
