"cwsac_id","belligerent","str_mean","cas_kwm_mean","str_var","cas_k_mean","cas_w_mean","cas_m_mean","cas_kw_mean","cas_km_mean","cas_wm_mean","str_mean_cwsac","str_var_cwsac","description","cas_k_var","cas_w_var","cas_m_var","cas_kw_var","cas_km_var","cas_wm_var","cas_kwm_var"
"AL001","Confederate",NA,65,NA,NA,NA,NA,NA,NA,NA,13814.8,1.78492e+07,"Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana",NA,NA,NA,NA,NA,NA,0.0833333
"AL001","US",2000,23,33585,NA,NA,NA,NA,NA,NA,2387.5,49593.7,"Elements of the 51st Indiana Infantry, 73rd Indiana Infantry, 3rd Ohio Infantry, 80th Illinois Infantry, and the 1st Middle Tennessee Cavalry (5th Tennessee Volunteer Cavalry Regiment)",NA,NA,NA,NA,NA,NA,0.0833333
"AL002","Confederate",100,30,419.458,NA,NA,NA,NA,NA,NA,13814.8,1.78492e+07,"Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana",NA,NA,NA,NA,NA,NA,5.58333
"AL002","US",700,20,419.458,NA,NA,NA,NA,NA,NA,6568.57,2.19748e+06,"110th USCT, 102th Ohio Infantry (detachment), 18th Michigan Infantry (detachment), 111th USCT, 4th Cavalry Division",NA,NA,NA,NA,NA,NA,5.58333
"AL003","Confederate",NA,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Buchanan’s Flotilla (CSS Tennessee, gunboats Selma, Morgan and Gaines), Fort Morgan garrison, Fort Gaines garrison, and Fort Powell garrison",NA,NA,NA,NA,NA,NA,419.458
"AL003","US",NA,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,"West Gulf Blockading Squadron and U.S. Army forces near Mobile",NA,NA,NA,NA,NA,NA,0.0833333
"AL004","Confederate",NA,200,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Tennessee",NA,NA,NA,NA,NA,NA,419.458
"AL004","US",5000,155,33585,NA,NA,NA,NA,NA,NA,3342.5,69431.2,"Garrison at Decatur; US Army Gunboat Stone River, USS General Thomas; detachments of 102 Ohio Infantry, 18th Michigan Infantry, 13th Wisconsin Infantry, 14th US Colored Infantry, 73rd Indiana Infantry, 68th Indiana Infantry, and 13th Indiana Cavalry",NA,NA,NA,NA,NA,NA,0.0833333
"AL005","Confederate",NA,741,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spanish Fort garrison",NA,NA,NA,NA,NA,NA,0.0833333
"AL005","US",NA,657,NA,NA,NA,NA,NA,NA,NA,54876.1,3.94571e+08,"Army of West Mississippi",NA,NA,NA,NA,NA,NA,0.0833333
"AL006","Confederate",4000,3700,33585,NA,NA,NA,NA,NA,NA,NA,NA,"Fort Blakely Garrison, CSS Huntsville, CSS Nashville, CSS Morgan",NA,NA,NA,NA,NA,NA,419.458
"AL006","US",16000,775,33585,NA,NA,NA,NA,NA,NA,54876.1,3.94571e+08,"Army of West Mississippi",NA,NA,NA,NA,NA,NA,0.0833333
"AL007","Confederate",5000,2700,33585,NA,NA,NA,NA,NA,NA,13814.8,1.78492e+07,"Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana; General Daniel W. Adams' state reserves; citizens of Selma who volunteered to man the defenses",NA,NA,NA,NA,NA,NA,419.458
"AL007","US",13500,359,419.458,NA,NA,NA,NA,NA,NA,13729.5,2.31795e+07,"Cavalry Corps, Military Division of the Mississippi",NA,NA,NA,NA,NA,NA,0.0833333
"AR001","Confederate",14000,2000,33585,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of the West",NA,NA,NA,NA,NA,NA,33585
"AR001","US",10250,1384,5.58333,NA,NA,NA,NA,NA,NA,54876.1,3.94571e+08,"Army of the Southwest",NA,NA,NA,NA,NA,NA,0.0833333
"AR002","Confederate",NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saint Chares batteries",NA,NA,NA,NA,NA,NA,5.58333
