,X,uri,fuzzy_name
181,667,,103rd Indiana Infantry Regiment
265,985,http://dbpedia.org/resource/10th_Kansas_Militia_Infantry_Regiment,10th Kansas Militia Infantry Regiment
268,993,http://dbpedia.org/resource/10th_Louisiana_Regiment_Infantry_(African_Descent),10th Louisiana Regiment Infantry (African Descent)
442,1750,,10th Ohio Battery
71,293,http://dbpedia.org/resource/10th_Rhode_Island_Battery,10th Rhode Island Battery
254,953,,10th Virginia Cavalry
547,2202,http://dbpedia.org/resource/111th_New_York_Volunteer_Infantry_Regiment,111th New York Volunteer Infantry Regiment
11,41,http://dbpedia.org/resource/11th_Independent_Battery_Wisconsin_Light_Artillery,11th Independent Battery Wisconsin Light Artillery
259,971,http://dbpedia.org/resource/11th_Kansas_Militia_Infantry_Regiment,11th Kansas Militia Infantry Regiment
511,2038,http://dbpedia.org/resource/11th_Regiment_Kansas_Volunteer_Infantry,11th Regiment Kansas Volunteer Infantry
299,1133,,11th Regiment Maryland Volunteer Infantry
145,548,,11th United States Colored Infantry
428,1677,http://dbpedia.org/resource/11th_Vermont_Infantry,11th Vermont Infantry
234,866,http://dbpedia.org/resource/12th_Kansas_Militia_Infantry_Regiment,12th Kansas Militia Infantry Regiment
306,1161,http://dbpedia.org/resource/13th_Kansas_Militia_Infantry_Regiment,13th Kansas Militia Infantry Regiment
404,1578,,13th Virginia Cavalry
310,1166,http://dbpedia.org/resource/141st_Field_Artillery_Regiment,141st Field Artillery Regiment
236,868,http://dbpedia.org/resource/14th_Kansas_Militia_Infantry_Regiment,14th Kansas Militia Infantry Regiment
176,659,,14th Michigan Volunteer Mounted Infantry Regiment
447,1769,http://dbpedia.org/resource/14th_Regiment_(New_York_State_Militia),14th Regiment (New York State Militia)
520,2088,,14th Regiment Kentucky Volunteer Infantry
225,827,http://dbpedia.org/resource/14th_Rhode_Island_Heavy_Artillery_(Colored),14th Rhode Island Heavy Artillery (Colored)
250,935,http://dbpedia.org/resource/15th_Kansas_Militia_Infantry_Regiment,15th Kansas Militia Infantry Regiment
479,1900,,15th Pennsylvania Cavalry
114,440,,15th Regiment Kentucky Volunteer Infantry
210,788,,15th Wisconsin Volunteer Regiment
146,568,http://dbpedia.org/resource/16th_Kansas_Militia_Infantry_Regiment,16th Kansas Militia Infantry Regiment
402,1567,,16th Regiment Kentucky Volunteer Infantry
533,2150,http://dbpedia.org/resource/16th_West_Virginia_Volunteer_Infantry_Regiment,16th West Virginia Volunteer Infantry Regiment
