from,to,relation
2370,http://dbpedia.org/resource/Second_Battle_of_Ream's_Station,=
2371,http://dbpedia.org/resource/Battle_of_Jonesborough,=
2369,http://dbpedia.org/resource/Battle_of_Summit_Point,=
2368,http://dbpedia.org/resource/Battle_of_Globe_Tavern,=
2361,http://dbpedia.org/resource/Second_Battle_of_Kernstown,=
2360,http://dbpedia.org/resource/Battle_of_Atlanta,=
2365,http://dbpedia.org/resource/Battle_of_the_Crater,=
2364,http://dbpedia.org/resource/Battle_of_Ezra_Church,=
2367,http://dbpedia.org/resource/Second_Battle_of_Deep_Bottom,=
2323,http://dbpedia.org/resource/Battle_of_Lookout_Mountain,>
2323,http://dbpedia.org/resource/Battle_of_Missionary_Ridge,>
2322,http://dbpedia.org/resource/Battle_of_Rogersville,=
2271,http://dbpedia.org/resource/Battle_of_Shiloh,=
2270,http://dbpedia.org/resource/First_Battle_of_Kernstown,=
2329,http://dbpedia.org/resource/Battle_of_Fort_Pillow,=
2328,http://dbpedia.org/resource/Battle_of_Pleasant_Hill,=
2376,http://dbpedia.org/resource/Battle_of_Byram's_Ford,>
2376,http://dbpedia.org/resource/Battle_of_Fort_Davidson,>
2376,http://dbpedia.org/resource/Battle_of_Glasgow,>
2376,http://dbpedia.org/resource/Battle_of_Little_Blue_River,>
2376,http://dbpedia.org/resource/Battle_of_Marais_des_Cygnes,>
2376,http://dbpedia.org/resource/Battle_of_Marmiton_River,>
2376,http://dbpedia.org/resource/Battle_of_Mine_Creek,>
2376,http://dbpedia.org/resource/Battle_of_Westport,>
2376,http://dbpedia.org/resource/Second_Battle_of_Independence,>
2376,http://dbpedia.org/resource/Second_Battle_of_Lexington,>
2376,http://dbpedia.org/resource/Second_Battle_of_Newtonia,>
2377,http://dbpedia.org/resource/Battle_of_Chaffin's_Farm,=
2374,http://dbpedia.org/resource/Battle_of_Opequon,=
2372,http://dbpedia.org/resource/Battle_of_Adairsville,>
2372,http://dbpedia.org/resource/Battle_of_Atlanta,>
2372,http://dbpedia.org/resource/Battle_of_Brown's_Mill,>
2372,http://dbpedia.org/resource/Battle_of_Dallas,>
2372,http://dbpedia.org/resource/Battle_of_Ezra_Church,>
2372,http://dbpedia.org/resource/Battle_of_Jonesborough,>
2372,http://dbpedia.org/resource/Battle_of_Kennesaw_Mountain,>
2372,http://dbpedia.org/resource/Battle_of_Kolb's_Farm,>
2372,http://dbpedia.org/resource/Battle_of_Lovejoy's_Station,>
2372,http://dbpedia.org/resource/Battle_of_Marietta,>
2372,http://dbpedia.org/resource/Battle_of_New_Hope_Church,>
2372,http://dbpedia.org/resource/Battle_of_Pace's_Ferry,>
2372,http://dbpedia.org/resource/Battle_of_Peachtree_Creek,>
2372,http://dbpedia.org/resource/Battle_of_Pickett's_Mill,>
2372,http://dbpedia.org/resource/Battle_of_Resaca,>
2372,http://dbpedia.org/resource/Battle_of_Rocky_Face_Ridge,>
2372,http://dbpedia.org/resource/Battle_of_Utoy_Creek,>
2372,http://dbpedia.org/resource/Second_Battle_of_Dalton,>
2279,http://dbpedia.org/resource/Battle_of_Oak_Grove,=
2278,http://dbpedia.org/resource/Battle_of_James_Island,=
2277,http://dbpedia.org/resource/Battle_of_Port_Republic,=
2276,http://dbpedia.org/resource/Battle_of_Cross_Keys,=
2275,http://dbpedia.org/resource/Battle_of_Seven_Pines,=
2274,http://dbpedia.org/resource/First_Battle_of_Winchester,=
2273,http://dbpedia.org/resource/Battle_of_Front_Royal,=
2272,http://dbpedia.org/resource/Battle_of_Williamsburg,=
2378,http://dbpedia.org/resource/Battle_of_Peebles'_Farm,=
2379,http://dbpedia.org/resource/Battle_of_Allatoona,=
2309,http://dbpedia.org/resource/Battle_of_Chancellorsville,=
2308,http://dbpedia.org/resource/Battle_of_Port_Gibson,=
2307,http://dbpedia.org/resource/Battle_of_Day's_Gap,>
2306,http://dbpedia.org/resource/Battle_of_Thompson's_Station,=
2305,http://dbpedia.org/resource/Battle_of_Fort_Hindman,=
2304,http://dbpedia.org/resource/Battle_of_Galveston,=
2303,http://dbpedia.org/resource/Battle_of_Stones_River,=
2302,http://dbpedia.org/resource/Battle_of_Chickasaw_Bayou,=
2394,http://dbpedia.org/resource/Battle_of_Fort_Stedman,=
2396,http://dbpedia.org/resource/Battle_of_Spanish_Fort,=
2397,"http://dbpedia.org/resource/Battle_of_Columbus,_Georgia",>
2397,http://dbpedia.org/resource/Battle_of_West_Point,>
2397,http://dbpedia.org/resource/Battle_of_Selma,>
2390,http://dbpedia.org/resource/Battle_of_Hatcher's_Run,=
2391,http://dbpedia.org/resource/Battle_of_Wyse_Fork,=
2392,http://dbpedia.org/resource/Battle_of_Averasborough,=
2393,http://dbpedia.org/resource/Battle_of_Bentonville,=
2398,http://dbpedia.org/resource/Battle_of_White_Oak_Road,=
2399,http://dbpedia.org/resource/Battle_of_Five_Forks,=
2319,http://dbpedia.org/resource/Second_Battle_of_Fort_Wagner,=
2314,http://dbpedia.org/resource/Battle_of_Brandy_Station,=
2315,http://dbpedia.org/resource/Second_Battle_of_Winchester,=
2316,http://dbpedia.org/resource/Battle_of_Hoover's_Gap,=
2317,http://dbpedia.org/resource/Battle_of_Gettysburg,=
2310,http://dbpedia.org/resource/Battle_of_Champion_Hill,=
2311,http://dbpedia.org/resource/Siege_of_Vicksburg,=
2312,http://dbpedia.org/resource/Siege_of_Port_Hudson,=
2313,http://dbpedia.org/resource/Battle_of_Milliken's_Bend,=
2400,http://dbpedia.org/resource/Third_Battle_of_Petersburg,=
2401,http://dbpedia.org/resource/Battle_of_Sayler's_Creek,=
2402,http://dbpedia.org/resource/Battle_of_High_Bridge,=
2403,http://dbpedia.org/resource/Battle_of_Cumberland_Church,=
2404,http://dbpedia.org/resource/Battle_of_Fort_Blakely,=
2325,http://dbpedia.org/resource/Battle_of_Bean's_Station,=
