ship,complement
http://dbpedia.org/resource/USS_Brandywine_(1825),480
http://dbpedia.org/resource/USS_Brooklyn_(1858),335
http://dbpedia.org/resource/USS_Essex_(1856),124
http://dbpedia.org/resource/USS_Housatonic_(1861),160
http://dbpedia.org/resource/CSS_Teaser,25
http://dbpedia.org/resource/USRC_Harriet_Lane_(1857),95
http://dbpedia.org/resource/USS_Agamenticus_(1863),150
http://dbpedia.org/resource/USS_Arizona_(1858),82
http://dbpedia.org/resource/USS_Atlanta_(1861),145
http://dbpedia.org/resource/USS_Augusta_(1853),157
http://dbpedia.org/resource/USS_Bainbridge_(1842),100
http://dbpedia.org/resource/USS_Baron_DeKalb_(1861),251
http://dbpedia.org/resource/USS_Cairo,251
http://dbpedia.org/resource/USS_Canonicus_(1863),85
http://dbpedia.org/resource/USS_Ceres_(1856),45
http://dbpedia.org/resource/USS_Congress_(1841),480
http://dbpedia.org/resource/USS_Delaware_(1820),820
http://dbpedia.org/resource/USS_Hartford_(1858),310
http://dbpedia.org/resource/USS_John_Adams_(1799),220
http://dbpedia.org/resource/USS_Juniata_(1862),160
http://dbpedia.org/resource/USS_Katahdin_(1861),114
http://dbpedia.org/resource/USS_Keokuk_(1862),92
http://dbpedia.org/resource/USS_Macedonian_(1836),489
http://dbpedia.org/resource/USS_Marblehead_(1861),114
http://dbpedia.org/resource/USS_Maumee_(1863),96
http://dbpedia.org/resource/USS_Ossipee_(1861),141
http://dbpedia.org/resource/USS_Potomac_(1822),480
http://dbpedia.org/resource/USS_Queen_of_the_West_(1854),120
http://dbpedia.org/resource/USS_Rhode_Island_(1860),257
http://dbpedia.org/resource/USS_Sachem_(1861),52
http://dbpedia.org/resource/USS_Sciota_(1861),114
Http://dbpedia.org/resource/USS_South_Carolina_(1860),115
http://dbpedia.org/resource/USS_Stars_and_Stripes_(1861),94
http://dbpedia.org/resource/USS_United_States_(1797),400
http://dbpedia.org/resource/USS_Vermont_(1848),820
http://dbpedia.org/resource/USS_Water_Witch_(1851),64
http://dbpedia.org/resource/American_submarine_Alligator_(1862),12
http://dbpedia.org/resource/CSS_Selma_(1856),65
http://dbpedia.org/resource/CSS_Tennessee_(1863),133
http://dbpedia.org/resource/USRC_Jackson_(1832),20
http://dbpedia.org/resource/USRC_Naugatuck,24
http://dbpedia.org/resource/USS_A._Houghton_(1852),27
http://dbpedia.org/resource/USS_Acacia_(1863),58
http://dbpedia.org/resource/USS_Adirondack_(1862),160
http://dbpedia.org/resource/USS_Adolph_Hugel_(1860),31
http://dbpedia.org/resource/USS_Advance_(1862),107
http://dbpedia.org/resource/USS_Agawam_(1863),145
http://dbpedia.org/resource/USS_Alabama_(1850),175
http://dbpedia.org/resource/USS_Alert_(1861),15
http://dbpedia.org/resource/USS_Alfred_Robb_(1860),30
http://dbpedia.org/resource/USS_Allegheny_(1847),190
http://dbpedia.org/resource/USS_Alpha_(1864),13
http://dbpedia.org/resource/USS_Althea_(1863),15
http://dbpedia.org/resource/USS_Amanda_(1856),71
http://dbpedia.org/resource/USS_Amaranthus_(1864),40
http://dbpedia.org/resource/USS_Anacostia_(1856),67
http://dbpedia.org/resource/USS_Anemone_(1864),30
http://dbpedia.org/resource/USS_Annie_(1863),7
http://dbpedia.org/resource/USS_Antona_(1863),56
http://dbpedia.org/resource/USS_Arethusa_(1864),32
http://dbpedia.org/resource/USS_Aries_(1863),90
http://dbpedia.org/resource/USS_Arkansas_(1863),88
http://dbpedia.org/resource/USS_Arletta_(1860),39
http://dbpedia.org/resource/USS_Aroostook_(1861),114
http://dbpedia.org/resource/USS_Arthur_(1855),86
http://dbpedia.org/resource/USS_Ascutney,102
http://dbpedia.org/resource/USS_Aster_(1864),30
http://dbpedia.org/resource/USS_Augusta_Dinsmore_(1863),70
http://dbpedia.org/resource/USS_Azalea_(1864),42
http://dbpedia.org/resource/USS_Bat_(1864),82
http://dbpedia.org/resource/USS_Beauregard_(1861),40
http://dbpedia.org/resource/USS_Belle_(1864),19
http://dbpedia.org/resource/USS_Ben_Morgan_(1826),35
http://dbpedia.org/resource/USS_Benton_(1861),176
http://dbpedia.org/resource/USS_Berberry_(1864),35
http://dbpedia.org/resource/USS_Bermuda_(1861),122
http://dbpedia.org/resource/USS_Bibb_(1853),35
http://dbpedia.org/resource/USS_Bienville,185
http://dbpedia.org/resource/USS_Bignonia_(1863),50
http://dbpedia.org/resource/USS_Bloomer_(1856),49
http://dbpedia.org/resource/USS_Breaker_(1862),3
http://dbpedia.org/resource/USS_Britannia_(1862),75
http://dbpedia.org/resource/USS_Brockenborough_(1862),4
http://dbpedia.org/resource/USS_C._P._Williams_(1861),35
http://dbpedia.org/resource/USS_Calypso_(1863),70
http://dbpedia.org/resource/USS_Cambridge_(1860),96
http://dbpedia.org/resource/USS_Camelia_(1862),40
http://dbpedia.org/resource/USS_Carnation_(1863),19
http://dbpedia.org/resource/USS_Carondelet_(1861),251
http://dbpedia.org/resource/USS_Carrabasset_(1864),45
http://dbpedia.org/resource/USS_Casco_(1864),69
http://dbpedia.org/resource/USS_Catalpa_(1864),37
http://dbpedia.org/resource/USS_Catawba_(1864),85
http://dbpedia.org/resource/USS_Catskill_(1862),87
http://dbpedia.org/resource/USS_Cayuga_(1861),114
http://dbpedia.org/resource/USS_Charles_Phelps_(1848),23
http://dbpedia.org/resource/USS_Charlotte_(1862),14
http://dbpedia.org/resource/USS_Chenango_(1863),171
http://dbpedia.org/resource/USS_Chickasaw_(1864),138
http://dbpedia.org/resource/USS_Chimo_(1864),65
http://dbpedia.org/resource/USS_Chippewa_(1861),114
http://dbpedia.org/resource/USS_Choctaw_(1856),106
http://dbpedia.org/resource/USS_Chocura_(1861),114
http://dbpedia.org/resource/USS_Clematis_(1863),46
http://dbpedia.org/resource/USS_Clinton_(1864),16
http://dbpedia.org/resource/USS_Clyde_(1863),67
http://dbpedia.org/resource/USS_Coeur_de_Lion_(1861),29
http://dbpedia.org/resource/USS_Cohasset_(1860),12
http://dbpedia.org/resource/USS_Colorado_(1856),674
http://dbpedia.org/resource/USS_Columbia_(1836),480
http://dbpedia.org/resource/USS_Columbia_(1862),100
http://dbpedia.org/resource/USS_Columbine_(1862),25
http://dbpedia.org/resource/USS_Columbus_(1819),780
http://dbpedia.org/resource/USS_Commodore_(1863),56
http://dbpedia.org/resource/USS_Commodore_Barney_(1859),96
http://dbpedia.org/resource/USS_Commodore_Jones_(1863),88
http://dbpedia.org/resource/USS_Commodore_McDonough_(1862),75
http://dbpedia.org/resource/USS_Commodore_Morris_(1862),106
http://dbpedia.org/resource/USS_Commodore_Perry,125
http://dbpedia.org/resource/USS_Commodore_Read_(1857),84
http://dbpedia.org/resource/USS_Conemaugh_(1862),125
http://dbpedia.org/resource/USS_Connecticut_(1861),166
http://dbpedia.org/resource/USS_Constellation_(1854),20
http://dbpedia.org/resource/USS_Cornubia_(1858),76
http://dbpedia.org/resource/USS_Corypheus_(1862),28
http://dbpedia.org/resource/USS_Courier_(1861),82
http://dbpedia.org/resource/USS_Covington_(1863),76
http://dbpedia.org/resource/USS_Cowslip_(1863),36
http://dbpedia.org/resource/USS_Crusader_(1858),92
http://dbpedia.org/resource/USS_Cumberland_(1842),400
http://dbpedia.org/resource/USS_Currituck_(1861),52
http://dbpedia.org/resource/USS_Daffodil_(1862),35
http://dbpedia.org/resource/USS_Dai_Ching_(1863),83
http://dbpedia.org/resource/USS_Dale_(1839),150
http://dbpedia.org/resource/USS_Dan_Smith_(1861),33
http://dbpedia.org/resource/USS_Dandelion_(1862),21
http://dbpedia.org/resource/USS_Darlington_(1862),23
http://dbpedia.org/resource/USS_Dawn_(1857),60
http://dbpedia.org/resource/USS_Daylight_(1859),57
