name,belligerent,url_dbpedia,title,url,notes
USS Queen of the West (1854),US,http://dbpedia.org/resource/USS_Queen_of_the_West_(1854),Queen of the West,http://www.history.navy.mil/research/histories/ship-histories/confederate_ships/queen-of-the-west-side-wheel-ram.html,
USS Susquehanna (1847),US,http://dbpedia.org/resource/USS_Susquehanna_(1847),Susquehanna,http://www.history.navy.mil/research/histories/ship-histories/danfs/s/susquehanna-i.html,
USS Gemsbok (1861),US,http://dbpedia.org/resource/USS_Gemsbok_(1861),Gemsbok,http://www.history.navy.mil/research/histories/ship-histories/danfs/g/gemsbok-i.html,
USS Granite City (1863),US,http://dbpedia.org/resource/USS_Granite_City_(1863),Granite City,http://www.history.navy.mil/research/histories/ship-histories/danfs/g/granite-city-side-wheel-steamer.html,
USS Alert (1861),US,http://dbpedia.org/resource/USS_Alert_(1861),Alert,http://www.history.navy.mil/research/histories/ship-histories/danfs/a/alert-ii.html,
USS Uncas (1843),US,http://dbpedia.org/resource/USS_Uncas_(1843),Uncas,http://www.history.navy.mil/research/histories/ship-histories/danfs/u/uncas-i.html,
USS John P. Jackson (1860),US,http://dbpedia.org/resource/USS_John_P._Jackson_(1860),John P. Jackson,http://www.history.navy.mil/research/histories/ship-histories/danfs/j/john-p-jackson.html,
USS Varuna (1861),US,http://dbpedia.org/resource/USS_Varuna_(1861),Varuna,http://www.history.navy.mil/research/histories/ship-histories/danfs/v/varuna-i.html,
USS Maratanza (1861),US,http://dbpedia.org/resource/USS_Maratanza_(1861),Maratanza,http://www.history.navy.mil/research/histories/ship-histories/danfs/m/maratanza-i.html,
USS Hussar,US,,Hussar,,Army gunboat
USS Cincinnati (1861),US,http://dbpedia.org/resource/USS_Cincinnati_(1861),Cincinnati,http://www.history.navy.mil/research/histories/ship-histories/danfs/c/cincinnati-i.html,
USS Monongahela (1862),US,http://dbpedia.org/resource/USS_Monongahela_(1862),Monongahela,http://www.history.navy.mil/research/histories/ship-histories/danfs/m/monongahela-i.html,
USS Tristram Shandy (1864),US,http://dbpedia.org/resource/USS_Tristram_Shandy_(1864),Tristram Shandy,http://www.history.navy.mil/research/histories/ship-histories/danfs/t/tristram-shandy.html,
USS Sassacus (1862),US,http://dbpedia.org/resource/Sassacus_(1862),Sassacus,http://www.history.navy.mil/research/histories/ship-histories/danfs/s/sassacus-i.html,
USS Choctaw (1856),US,http://dbpedia.org/resource/USS_Choctaw_(1856),Choctaw,http://www.history.navy.mil/research/histories/ship-histories/danfs/c/choctaw-i.html,
USS Sciota (1861),US,http://dbpedia.org/resource/USS_Sciota_(1861),Sciota,http://www.history.navy.mil/research/histories/ship-histories/danfs/s/sciota-i.html,
USS Cayuga (1861),US,http://dbpedia.org/resource/USS_Cayuga_(1861),Cayuga,http://www.history.navy.mil/research/histories/ship-histories/danfs/c/cayuga-i.html,
USS Ceres  (1856),US,http://dbpedia.org/resource/USS_Ceres__(1856),Ceres,http://www.history.navy.mil/research/histories/ship-histories/danfs/c/ceres.html,
USS Quaker City (1861),US,http://dbpedia.org/resource/USS_Quaker_City_(1861),Quaker City,http://www.history.navy.mil/research/histories/ship-histories/danfs/q/quaker-city.html,
USS Resolute (1860),US,http://dbpedia.org/resource/USS_Resolute_(1860),Resolute,http://www.history.navy.mil/research/histories/ship-histories/danfs/r/resolute-i.html,
USS Yankee (1861),US,http://dbpedia.org/resource/USS_Yankee_(1861),Yankee,http://www.history.navy.mil/research/histories/ship-histories/danfs/y/yankee-i.html,
USS Kineo (1861),US,http://dbpedia.org/resource/USS_Kineo_(1861),Kineo,http://www.history.navy.mil/research/histories/ship-histories/danfs/k/kineo-i.html,
USS Cairo (1861),US,http://dbpedia.org/resource/USS_Cairo_(1861),Cairo,http://www.history.navy.mil/research/histories/ship-histories/danfs/c/cairo.html,
USS Wissahickon (1861),US,http://dbpedia.org/resource/USS_Wissahickon_(1861),Wissahickon,http://www.history.navy.mil/research/histories/ship-histories/danfs/w/wissahickon-i.html,
USS Galena (1862),US,http://dbpedia.org/resource/USS_Galena_(1862),Galena,http://www.history.navy.mil/research/histories/ship-histories/danfs/g/galena-i.html,
USS Monadnock (1864),US,http://dbpedia.org/resource/USS_Monadnock_(1864),Monadnock,http://www.history.navy.mil/research/histories/ship-histories/danfs/m/monadnock-i.html,
USS Sachem (1861),US,http://dbpedia.org/resource/USS_Sachem_(1861),Sachem,http://www.history.navy.mil/research/histories/ship-histories/danfs/s/sachem-ii.html,
USS Fort Donelson,US,http://dbpedia.org/resource/USS_Fort_Donelson,Fort Donelson,http://www.history.navy.mil/research/histories/ship-histories/danfs/f/fort-donelson.html,
