page,year,date,locality,union_troops_engaged,union_killed,union_wounded,union_missing,confederate_killed,confederate_wounded,confederate_missing,remarks
34,1861,April 12th and 13th,"Fort Sumter, South Carolina","Battery E., 1st U. S. Artillery",,,,,,,"There were no casualties during the bombardment; but. in saluting the flag, before the evacuation, on April 15th, Private Daniel Hough was killed and three other artillerists were wounded by the premature explosion of a gun"
,,April 19th,"Streets of Baltimore, Maryland",6th Massachusetts State Militia and 26th Pennsylvania Volunteers,4,30,,9,,,"Casualty Lists, S. G. O., No. 555"
,,April 18th,"Harper's Ferry, Virginia",Detachment of Ordnance men,,,6,,,,Official Report of Lieutenant R. Jones
,,May 10th,"Camp Jackson, Missouri","1st, 3d, and 4th Mo. Reserve Corps and 3d Missouri Vols",,,,,,639,"Official Report of Capt. Nathaniel Lyon, 2d Infantry"
,,May 10th,"St. Louis, Missouri, corner of 5th and Walnut streets",5th Missouri U. S. Reserve Corps,4,,,27,,,"Report of Adjutant General of Missouri, 1865, p. 79"
,,June 1st,"Fairfax Court-house, Virginia","Company B, 2d U. S. Cavalry",1,4,1,1,14,5,Official Report of Lieut. C. II. Tompkins for the Union losses. Confederate report of Confed. losses
,,June 3d,"Phillippi, West Virginia","1st West Virginia. 16th Ohio. 7th Indiana, 9th Indiana, and 14th Ohio Volunteers",,2,2,,16,10,Official Report
,,June 10th,"Great Bethel, Virginia","1st, 2d, 3d, 5th, and 7th New York Vols., 4th Massachusetts , and a detachment of 2d U. S. Artillery",16,34,6,1,7,,"Casualty Lists. S. G. O., File A. 555. and Official Report of Major General B. F. Butler, U. S. V. Lieut. Greble, 2d Artillery, killed"
,,June 11th,"Romney, West Virginia",11th Indiana Volunteers,,1,,2,1,,"Indiana Adjutant General’s Report, Vol. 1, p. 31"
,,June 17th,"Vienna, Virginia",1st Ohio Volunteers,5,6,10,6,,,"Official Report of Brigadier General R. C. Schenck, U. S. V"
,,June 17th,"Boonville, Missouri","2d Missouri (three months) Volunteers, Batteries H and L, 1st Missouri Light Artillery",2,19,20,15,20,15,"Missouri Adjutant. General's Report, 1865, p. 405"
,,June 17th,"Edward’s Ferry, Virginia",1st Pennsylvania Volunteers (300 men),1,4,,,15,,Sundry unofficial reports
,,June 17th,"Independence, Missouri",Detachment of Missouri Volunteers,,,,,,,Unofficial reports
,,June 17th,"New Creek, West Virginia",Local Militia,,,,,,,"Rebellion Record, Vol. II, page 3"
,,June 18th,"Camp Cole, Missouri",Union Home Guards (800 men),15 25,20 52,30 23,4,20,30,Sundry unofficial reports
,,June 26th,Patterson Creek. Virginia,11th Indiana Volunteers,1,1,,7,2,,"Indiana Adjutant General’s Report, Vol. 2, p. 31. Casualty Lists. S. G. O., File A, No. 155. Also designated Kelly’s Island"
,,June 27th,"Mathias Point, Virginia",Crews of U. S. Gunboats Pawnee and Freeborn,1,4,,,,,"Official Report of Captain T. C. Rowan, U. S. N. C\bmmander T. H. Ward, U. S. N., was killed"
,,July 2d,"Falling Waters, Maryland",1st Wisconsin and 11th Pennsylvania Volunteers. Advance  of Brigadier General George H. Thomas's command,8,15,,31,50,10,"Appendix to Part I, of the Medical and Surgical History of the War. p. 10. This engagement is also designated Haynesville and Martinsburg"
